political_party_key	faction_key
3k_dlc06_political_party_nanman_ahuinan_ruler	3k_dlc06_faction_nanman_ahuinan
3k_dlc06_political_party_nanman_ahuinan_separatists_council	3k_dlc06_faction_nanman_ahuinan_separatists
3k_dlc06_political_party_nanman_dongtuna_ruler	3k_dlc06_faction_nanman_dongtuna
3k_dlc06_political_party_nanman_dongtuna_separatists_council	3k_dlc06_faction_nanman_dongtuna_separatists
3k_dlc06_political_party_nanman_jiangyang_ruler	3k_dlc06_faction_nanman_jiangyang
3k_dlc06_political_party_nanman_jiangyang_separatists_council	3k_dlc06_faction_nanman_jiangyang_separatists
3k_dlc06_political_party_nanman_jianning_ruler	3k_dlc06_faction_nanman_jianning
3k_dlc06_political_party_nanman_jianning_separatists_council	3k_dlc06_faction_nanman_jianning_separatists
3k_dlc06_political_party_nanman_jiaozhi_ruler	3k_dlc06_faction_nanman_jiaozhi
3k_dlc06_political_party_nanman_jiaozhi_separatists_council	3k_dlc06_faction_nanman_jiaozhi_separatists
3k_dlc06_political_party_nanman_jinhuansanjie_ruler	3k_dlc06_faction_nanman_jinhuansanjie
3k_dlc06_political_party_nanman_jinhuansanjie_separatists_council	3k_dlc06_faction_nanman_jinhuansanjie_separatists
3k_dlc06_political_party_nanman_king_duosi_ruler	3k_dlc06_faction_nanman_king_duosi
3k_dlc06_political_party_nanman_king_duosi_separatists_council	3k_dlc06_faction_nanman_king_duosi_separatists
3k_dlc06_political_party_nanman_king_mulu_ruler	3k_dlc06_faction_nanman_king_mulu
3k_dlc06_political_party_nanman_king_mulu_separatists_council	3k_dlc06_faction_nanman_king_mulu_separatists
3k_dlc06_political_party_nanman_king_shamoke_ruler	3k_dlc06_faction_nanman_king_shamoke
3k_dlc06_political_party_nanman_king_shamoke_separatists_council	3k_dlc06_faction_nanman_king_shamoke_separatists
3k_dlc06_political_party_nanman_king_wutugu_ruler	3k_dlc06_faction_nanman_king_wutugu
3k_dlc06_political_party_nanman_king_wutugu_separatists_council	3k_dlc06_faction_nanman_king_wutugu_separatists
3k_dlc06_political_party_nanman_lady_zhurong_ruler	3k_dlc06_faction_nanman_lady_zhurong
3k_dlc06_political_party_nanman_lady_zhurong_separatists_council	3k_dlc06_faction_nanman_lady_zhurong_separatists
3k_dlc06_political_party_nanman_mangyachang_ruler	3k_dlc06_faction_nanman_mangyachang
3k_dlc06_political_party_nanman_mangyachang_separatists_council	3k_dlc06_faction_nanman_mangyachang_separatists
3k_dlc06_political_party_nanman_meng_huo_ruler	3k_dlc06_faction_nanman_king_meng_huo
3k_dlc06_political_party_nanman_meng_huo_separatists_council	3k_dlc06_faction_nanman_king_meng_huo_separatists
3k_dlc06_political_party_nanman_rebels_ruler	3k_dlc06_faction_nanman_rebels
3k_dlc06_political_party_nanman_tu_an_ruler	3k_dlc06_faction_nanman_tu_an
3k_dlc06_political_party_nanman_tu_an_separatists_council	3k_dlc06_faction_nanman_tu_an_separatists
3k_dlc06_political_party_nanman_xi_ni_ruler	3k_dlc06_faction_nanman_xi_ni
3k_dlc06_political_party_nanman_xi_ni_separatists_council	3k_dlc06_faction_nanman_xi_ni_separatists
3k_dlc06_political_party_nanman_yang_feng_ruler	3k_dlc06_faction_nanman_yang_feng
3k_dlc06_political_party_nanman_yang_feng_separatists_council	3k_dlc06_faction_nanman_yang_feng_separatists
3k_dlc06_political_party_nanman_yongchang_ruler	3k_dlc06_faction_nanman_yongchang
3k_dlc06_political_party_nanman_yongchang_separatists_council	3k_dlc06_faction_nanman_yongchang_separatists
3k_dlc06_political_party_nanman_yunnan_ruler	3k_dlc06_faction_nanman_yunnan
3k_dlc06_political_party_nanman_yunnan_separatists_council	3k_dlc06_faction_nanman_yunnan_separatists
3k_dlc06_political_party_nanman_zangke_ruler	3k_dlc06_faction_nanman_zangke
3k_dlc06_political_party_nanman_zangke_separatists_council	3k_dlc06_faction_nanman_zangke_separatists
3k_dlc06_political_party_shi_xie_council	3k_main_faction_shi_separatists
3k_dlc06_political_party_shi_xie_ruler	3k_main_faction_shi_xie
3k_dlc07_political_party_liu_zhang_ruler	3k_main_faction_liu_yan
3k_dlc07_political_party_liu_zhang_separatists_council	3k_main_faction_liu_yan_separatists
3k_main_political_party_cao_cao_council	3k_main_faction_cao_separatists
3k_main_political_party_cao_cao_ruler	3k_main_faction_cao_cao
3k_main_political_party_dong_zhuo_council	3k_main_faction_dong_separatists
3k_main_political_party_dong_zhuo_ruler	3k_main_faction_dong_zhuo
3k_main_political_party_gongsun_zan_council	3k_main_faction_gongsun_separatists
3k_main_political_party_gongsun_zan_ruler	3k_main_faction_gongsun_zan
3k_main_political_party_kong_rong_council	3k_main_faction_kong_rong_separatists
3k_main_political_party_kong_rong_ruler	3k_main_faction_kong_rong
3k_main_political_party_liu_bei_council	3k_main_faction_han_separatists
3k_main_political_party_liu_bei_ruler	3k_main_faction_liu_bei
3k_main_political_party_liu_biao_council	3k_main_faction_liu_biao_separatists
3k_main_political_party_liu_biao_ruler	3k_main_faction_liu_biao
3k_main_political_party_ma_teng_council	3k_main_faction_ma_teng_separatists
3k_main_political_party_ma_teng_ruler	3k_main_faction_ma_teng
3k_main_political_party_sun_jian_council	3k_main_faction_sun_separatists
3k_main_political_party_sun_jian_ruler	3k_main_faction_sun_jian
3k_main_political_party_tao_qian_council	3k_main_faction_tao_qian_separatists
3k_main_political_party_tao_qian_ruler	3k_main_faction_tao_qian
3k_main_political_party_yellow_anding_ruler	3k_main_faction_yellow_turban_anding
3k_main_political_party_yellow_taishan_ruler	3k_main_faction_yellow_turban_taishan
3k_main_political_party_yellow_turban_ruler	3k_main_faction_yellow_turban_rebels
3k_main_political_party_yuan_shao_council	3k_main_faction_yuan_separatists
3k_main_political_party_yuan_shao_ruler	3k_main_faction_yuan_shao
3k_main_political_party_yuan_shu_council	3k_main_faction_yuan_shu_separatists
3k_main_political_party_yuan_shu_ruler	3k_main_faction_yuan_shu
3k_main_political_party_zhang_yan_council	3k_main_faction_zhang_yan_separatists
3k_main_political_party_zhang_yan_ruler	3k_main_faction_zhang_yan
3k_main_political_party_zheng_jiang_council	3k_main_faction_zheng_jiang_separatists
3k_main_political_party_zheng_jiang_ruler	3k_main_faction_zheng_jiang
ep_political_party_prince_of_changsha_council	ep_faction_prince_of_changsha_separatists
ep_political_party_prince_of_changsha_ruler	ep_faction_prince_of_changsha
ep_political_party_prince_of_chengdu_council	ep_faction_prince_of_chengdu_separatists
ep_political_party_prince_of_chengdu_ruler	ep_faction_prince_of_chengdu
ep_political_party_prince_of_chu_council	ep_faction_prince_of_chu_separatists
ep_political_party_prince_of_chu_ruler	ep_faction_prince_of_chu
ep_political_party_prince_of_donghai_council	ep_faction_prince_of_donghai_separatists
ep_political_party_prince_of_donghai_ruler	ep_faction_prince_of_donghai
ep_political_party_prince_of_hejian_council	ep_faction_prince_of_hejian_separatists
ep_political_party_prince_of_hejian_ruler	ep_faction_prince_of_hejian
ep_political_party_prince_of_qi_council	ep_faction_prince_of_qi_separatists
ep_political_party_prince_of_qi_ruler	ep_faction_prince_of_qi
ep_political_party_prince_of_runan_council	ep_faction_prince_of_runan_separatists
ep_political_party_prince_of_runan_ruler	ep_faction_prince_of_runan
ep_political_party_prince_of_zhao_council	ep_faction_prince_of_zhao_separatists
ep_political_party_prince_of_zhao_ruler	ep_faction_prince_of_zhao
