key	sort_order	frontend_faction_leader	frontend_character
ironic_template_historical_chen_dao_hero_earth	4	3k_main_political_party_liu_bei_ruler	ironic_template_historical_chen_dao_hero_earth
ironic_template_historical_gan_ji_hero_metal	1	3k_main_political_party_sheng_xian_190	ironic_template_historical_gan_ji_hero_metal
ironic_template_romance_zhang_gong_hero_wood	1	3k_main_political_party_ma_ai_190	ironic_template_romance_zhang_gong_hero_wood
ironic_template_romance_yang_feng_hero_fire	2	3k_main_political_party_ma_ai_190	ironic_template_romance_yang_feng_hero_fire
ironic_template_romance_su_ze_hero_water	3	3k_main_political_party_ma_ai_190	ironic_template_romance_su_ze_hero_water
ironic_template_historical_huang_hua_hero_earth	1	3k_main_political_party_huang_clan_190	ironic_template_historical_huang_hua_hero_earth
ironic_template_historical_zhao_ang_hero_water	2	3k_main_political_party_huang_clan_190	ironic_template_historical_zhao_ang_hero_water
3k_main_template_historical_wang_yi_hero_earth	3	3k_main_political_party_huang_clan_190	3k_main_template_historical_wang_yi_hero_earth
ironic_template_historical_wei_kang_hero_earth	1	3k_main_political_party_handan_shang_190	ironic_template_historical_wei_kang_hero_earth
ironic_template_historical_pang_yu_hero_wood	2	3k_main_political_party_handan_shang_190	ironic_template_historical_pang_yu_hero_wood
ironic_template_historical_zhao_e_hero_metal	3	3k_main_political_party_handan_shang_190	ironic_template_historical_zhao_e_hero_metal
3k_main_template_historical_zhang_meng_hero_fire	4	3k_main_political_party_handan_shang_190	3k_main_template_historical_zhang_meng_hero_fire
3k_ytr_template_historical_han_xian_hero_water	5	3k_main_political_party_yang_feng_190	3k_ytr_template_historical_han_xian_hero_water
ironic_template_historical_budugen_hero_metal	1	3k_main_political_party_xianbei_kuitou_190	ironic_template_historical_budugen_hero_metal
ironic_template_historical_chenglugui_hero_metal	1	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_chenglugui_hero_metal
ironic_template_historical_fulohan_hero_metal	2	3k_main_political_party_xianbei_kuitou_190	ironic_template_historical_fulohan_hero_metal
ironic_template_historical_kebineng_hero_metal	3	3k_main_political_party_xianbei_kuitou_190	ironic_template_historical_kebineng_hero_metal
ironic_template_historical_mohuba_hero_metal	2	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_mohuba_hero_metal
ironic_template_historical_qlianman_hero_metal	4	3k_main_political_party_xianbei_kuitou_190	ironic_template_historical_qlianman_hero_metal
ironic_template_historical_Suli_hero_metal	3	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_Suli_hero_metal
ironic_template_historical_tufa_pigu_hero_metal	4	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_tufa_pigu_hero_metal
ironic_template_historical_mike_hero_metal	5	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_mike_hero_metal
ironic_template_historical_jueji_hero_metal	6	3k_main_political_party_xianbei_tuoba_190	ironic_template_historical_jueji_hero_metal
ironic_template_historical_agui_hero_wood	1	3k_main_political_party_di_tribes_190	ironic_template_historical_agui_hero_wood
ironic_template_fictional_lady_yang_hero_wood	2	3k_main_political_party_di_tribes_190	ironic_template_fictional_lady_yang_hero_wood
ironic_template_historical_qiang_duan_hero_wood	3	3k_main_political_party_di_tribes_190	ironic_template_historical_qiang_duan_hero_wood
ironic_template_historical_yang_qianwan_hero_wood	4	3k_main_political_party_di_tribes_190	ironic_template_historical_yang_qianwan_hero_wood
ironic_template_historical_lu_qian_hero_metal	1	3k_main_political_party_bian_rang_190	ironic_template_historical_lu_qian_hero_metal
3k_main_template_historical_liu_shang_hero_metal	1	3k_main_political_party_liu_yao_190	3k_main_template_historical_liu_shang_hero_metal
3k_main_template_historical_xue_li_hero_metal	2	3k_main_political_party_liu_yao_190	3k_main_template_historical_xue_li_hero_metal
3k_main_template_generated_lady_liu_pingming_hero_metal	3	3k_main_political_party_liu_yao_190	3k_main_template_generated_lady_liu_pingming_hero_metal
ironic_template_historical_zhang_ying_hero_wood	4	3k_main_political_party_liu_yao_190	ironic_template_historical_zhang_ying_hero_wood
3k_main_template_historical_liu_ji_hero_fire	5	3k_main_political_party_liu_yao_190	3k_main_template_historical_liu_ji_hero_fire
3k_main_template_generated_lady_liu_jiejie_hero_earth	6	3k_main_political_party_liu_yao_190	3k_main_template_generated_lady_liu_jiejie_hero_earth
3k_main_template_historical_chen_heng_hero_metal	7	3k_main_political_party_liu_yao_190	3k_main_template_historical_chen_heng_hero_metal
3k_main_template_historical_liu_shao_hero_wood	8	3k_main_political_party_liu_yao_190	3k_main_template_historical_liu_shao_hero_wood
3k_main_template_historical_gao_dai_hero_water	2	3k_main_political_party_sheng_xian_190	3k_main_template_historical_gao_dai_hero_water
3k_main_template_historical_xu_gong_hero_fire	3	3k_main_political_party_sheng_xian_190	3k_main_template_historical_xu_gong_hero_fire
3k_main_template_historical_xu_zhao_hero_earth	4	3k_main_political_party_sheng_xian_190	3k_main_template_historical_xu_zhao_hero_earth
ironic_template_historical_kuang_gan_hero_water	5	3k_main_political_party_sheng_xian_190	ironic_template_historical_kuang_gan_hero_water
ironic_template_historical_xie_mi_hero_water	6	3k_main_political_party_sheng_xian_190	ironic_template_historical_xie_mi_hero_water
ironic_template_historical_xu_sheng_hero_earth	7	3k_main_political_party_sheng_xian_190	ironic_template_historical_xu_sheng_hero_earth
ironic_template_historical_rong_fang_hero_earth	1	3k_main_political_party_wu_jing_190	ironic_template_historical_rong_fang_hero_earth
3k_main_template_historical_ling_tong_hero_wood	2	3k_main_political_party_wu_jing_190	3k_main_template_historical_ling_tong_hero_wood
3k_main_template_historical_zhu_huan_hero_fire	3	3k_main_political_party_wu_jing_190	3k_main_template_historical_zhu_huan_hero_fire
3k_main_template_historical_pan_zhang_hero_fire	4	3k_main_political_party_wu_jing_190	3k_main_template_historical_pan_zhang_hero_fire
ironic_template_historical_xu_kun_hero_wood	5	3k_main_political_party_wu_jing_190	ironic_template_historical_xu_kun_hero_wood
3k_main_template_historical_ling_cao_hero_fire	7	3k_main_political_party_wu_jing_190	3k_main_template_historical_ling_cao_hero_fire
ironic_template_historical_sun_shi_hero_earth	8	3k_main_political_party_wu_jing_190	ironic_template_historical_sun_shi_hero_earth
3k_main_template_historical_yu_fan_hero_water	1	3k_main_political_party_wang_lang_190	3k_main_template_historical_yu_fan_hero_water
3k_main_template_historical_bu_zhi_hero_fire	2	3k_main_political_party_wang_lang_190	3k_main_template_historical_bu_zhi_hero_fire
3k_main_template_historical_he_qi_hero_fire	3	3k_main_political_party_wang_lang_190	3k_main_template_historical_he_qi_hero_fire
3k_main_template_generated_lady_wang_qinmeng_hero_earth	4	3k_main_political_party_wang_lang_190	3k_main_template_generated_lady_wang_qinmeng_hero_earth
3k_main_template_historical_gu_yong_hero_water	5	3k_main_political_party_wang_lang_190	3k_main_template_historical_gu_yong_hero_water
3k_main_template_historical_dong_xi_hero_fire	6	3k_main_political_party_wang_lang_190	3k_main_template_historical_dong_xi_hero_fire
3k_dlc05_template_historical_zhou_bo_hero_earth	2	3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_template_historical_zhou_bo_hero_earth
ironic_template_historical_yan_lan_hero_water	3	3k_main_political_party_white_tiger_yan_ruler	ironic_template_historical_yan_lan_hero_water
ironic_template_historical_zhuang_zhen_hero_wood	4	3k_main_political_party_white_tiger_yan_ruler	ironic_template_historical_zhuang_zhen_hero_wood
3k_dlc05_template_historical_huanglong_luo_hero_fire	5	3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_template_historical_huanglong_luo_hero_fire
ironic_template_historical_yan_xia_hero_metal	6	3k_main_political_party_white_tiger_yan_ruler	ironic_template_historical_yan_xia_hero_metal
3k_main_template_historical_kan_ze_hero_water	1	3k_main_political_party_zhu_hao_190	3k_main_template_historical_kan_ze_hero_water
ironic_template_historical_zhu_lian_hero_metal	2	3k_main_political_party_zhu_hao_190	ironic_template_historical_zhu_lian_hero_metal
ironic_template_historical_zhu_min_hero_earth	3	3k_main_political_party_zhu_hao_190	ironic_template_historical_zhu_min_hero_earth
3k_main_template_historical_lu_dai_hero_fire	1	3k_main_political_party_wang_sheng_190	3k_main_template_historical_lu_dai_hero_fire
ironic_template_historical_zu_ting_hero_wood	1	3k_main_political_party_zu_lang_190	ironic_template_historical_zu_ting_hero_wood
ironic_template_historical_zu_cui_hero_water	2	3k_main_political_party_zu_lang_190	ironic_template_historical_zu_cui_hero_water
ironic_template_historical_ouhou_cai_hero_metal	3	3k_main_political_party_zu_lang_190	ironic_template_historical_ouhou_cai_hero_metal
3k_main_template_historical_zou_lin_hero_wood	4	3k_main_political_party_zu_lang_190	3k_main_template_historical_zou_lin_hero_wood
ironic_template_historical_ke_wu_hero_fire	1	ironic_main_song_jian_faction_leader	ironic_template_historical_ke_wu_hero_fire
ironic_template_historical_dang_lianhua_hero_earth	2	ironic_main_song_jian_faction_leader	ironic_template_historical_dang_lianhua_hero_earth
ironic_template_historical_guo_xian_hero_metal	3	ironic_main_song_jian_faction_leader	ironic_template_historical_guo_xian_hero_metal
ironic_template_historical_yang_kui_hero_earth	4	ironic_main_song_jian_faction_leader	ironic_template_historical_yang_kui_hero_earth
ironic_template_historical_hua_ji_hero_wood	1	3k_main_political_party_hua_xin_190	ironic_template_historical_hua_ji_hero_wood
3k_main_template_historical_zheng_tai_hero_water	2	3k_main_political_party_hua_xin_190	3k_main_template_historical_zheng_tai_hero_water
ironic_template_historical_teng_ling_hero_earth	3	3k_main_political_party_hua_xin_190	ironic_template_historical_teng_ling_hero_earth
ironic_template_historical_jiang_gan_hero_water	4	3k_main_political_party_hua_xin_190	ironic_template_historical_jiang_gan_hero_water
ironic_template_historical_sima_hui_hero_water	1	3k_main_political_party_zhuge_xuan_190	ironic_template_historical_sima_hui_hero_water
3k_main_template_historical_zhuge_jin_hero_water	2	3k_main_political_party_zhuge_xuan_190	3k_main_template_historical_zhuge_jin_hero_water
3k_main_template_historical_zhuge_dan_hero_fire	3	3k_main_political_party_zhuge_xuan_190	3k_main_template_historical_zhuge_dan_hero_fire
ironic_template_historical_puyang_lian_hero_earth	5	3k_main_political_party_zhuge_xuan_190	ironic_template_historical_puyang_lian_hero_earth
3k_main_template_historical_zhuge_liang_hero_water	6	3k_main_political_party_zhuge_xuan_190	3k_main_template_historical_zhuge_liang_hero_water
ironic_template_historical_pang_degong_hero_earth	7	3k_main_political_party_zhuge_xuan_190	ironic_template_historical_pang_degong_hero_earth
ironic_template_historical_qu_chuntao_hero_water	1	3k_main_political_party_you_tu_190	ironic_template_historical_qu_chuntao_hero_water
ironic_template_historical_tong_jie_hero_metal	1	3k_main_political_party_tong_zhi_190	ironic_template_historical_tong_jie_hero_metal
ironic_template_historical_tong_yin_hero_fire	2	3k_main_political_party_tong_zhi_190	ironic_template_historical_tong_yin_hero_fire
ironic_template_historical_ke_ren_hero_metal	4	3k_main_political_party_tong_zhi_190	ironic_template_historical_ke_ren_hero_metal
ironic_template_historical_wan_bing_hero_metal	1	ironic_faction_yellow_turban_wu_huan_190	ironic_template_historical_wan_bing_hero_metal
3k_dlc07_template_generated_chen_bai_hero_earth	2	ironic_faction_yellow_turban_wu_huan_190	3k_dlc07_template_generated_chen_bai_hero_earth
3k_dlc06_template_historical_cheng_bing_hero_water	1	3k_main_political_party_shi_huang_190	3k_dlc06_template_historical_cheng_bing_hero_water
3k_main_template_historical_xue_zong_hero_water	2	3k_main_political_party_shi_huang_190	3k_main_template_historical_xue_zong_hero_water
ironic_template_historical_lai_xun_hero_water	1	3k_main_political_party_lai_gong_190	ironic_template_historical_lai_xun_hero_water
ironic_template_historical_wu_chen_hero_wood	1	3k_main_political_party_wu_ju_190	ironic_template_historical_wu_chen_hero_wood
ironic_template_historical_pan_juan_hero_water	1	3k_main_political_party_pan_lin_190	ironic_template_historical_pan_juan_hero_water
ironic_template_historical_pan_shun_hero_wood	2	3k_main_political_party_pan_lin_190	ironic_template_historical_pan_shun_hero_wood
ironic_template_historical_liu_ai_hero_metal	1	3k_main_political_party_liu_xun_190	ironic_template_historical_liu_ai_hero_metal
3k_dlc04_template_historical_lady_wang_song_water	2	3k_main_political_party_liu_xun_190	3k_dlc04_template_historical_lady_wang_song_water
3k_main_template_historical_li_shu_hero_water	3	3k_main_political_party_liu_xun_190	3k_main_template_historical_li_shu_hero_water
3k_main_template_historical_jiang_qin_hero_fire	4	3k_main_political_party_liu_xun_190	3k_main_template_historical_jiang_qin_hero_fire
3k_main_template_historical_liu_ye_hero_water	5	3k_main_political_party_liu_xun_190	3k_main_template_historical_liu_ye_hero_water
ironic_template_historical_liu_xian_ironic_hero_fire	1	3k_main_political_party_liu_pan_190	ironic_template_historical_liu_xian_ironic_hero_fire
ironic_template_historical_liu_du_hero_water	2	3k_main_political_party_liu_pan_190	ironic_template_historical_liu_du_hero_water
3k_main_template_historical_li_yan_hero_fire	3	3k_main_political_party_liu_pan_190	3k_main_template_historical_li_yan_hero_fire
3k_main_template_historical_du_ji_hero_fire	4	3k_main_political_party_liu_pan_190	3k_main_template_historical_du_ji_hero_fire
3k_main_template_historical_xiang_chong_hero_fire	5	3k_main_political_party_liu_pan_190	3k_main_template_historical_xiang_chong_hero_fire
3k_main_template_historical_liu_ba_hero_water	1	3k_main_political_party_zhang_xian_190	3k_main_template_historical_liu_ba_hero_water
ironic_template_historical_xing_daorong_ironic_hero_wood	2	3k_main_political_party_zhang_xian_190	ironic_template_historical_xing_daorong_ironic_hero_wood
3k_main_template_historical_wang_xiang_hero_water	3	3k_main_political_party_zhang_xian_190	3k_main_template_historical_wang_xiang_hero_water
3k_main_template_historical_han_ji_hero_water	4	3k_main_political_party_zhang_xian_190	3k_main_template_historical_han_ji_hero_water
ironic_template_historical_nangong_xinyu_hero_water	1	3k_main_political_party_fei_zhan_190	ironic_template_historical_nangong_xinyu_hero_water
ironic_template_historical_nangong_zixiao_hero_wood	2	3k_main_political_party_fei_zhan_190	ironic_template_historical_nangong_zixiao_hero_wood
3k_main_template_historical_pan_jun_hero_fire	1	3k_main_political_party_zhang_jin_190	3k_main_template_historical_pan_jun_hero_fire
3k_main_template_historical_jiang_wan_hero_earth	2	3k_main_political_party_zhang_jin_190	3k_main_template_historical_jiang_wan_hero_earth
3k_main_template_historical_jin_xuan_hero_earth	3	3k_main_political_party_zhang_jin_190	3k_main_template_historical_jin_xuan_hero_earth
3k_main_template_historical_huan_lin_hero_wood	1	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_historical_huan_lin_hero_wood
3k_main_template_historical_zhang_min_hero_water	2	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_historical_zhang_min_hero_water
3k_dlc06_template_historical_shi_xin_hero_wood	3	3k_dlc06_political_party_shi_xie_ruler_190	3k_dlc06_template_historical_shi_xin_hero_wood
3k_main_template_historical_shi_yi_hero_metal	4	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_historical_shi_yi_hero_metal
3k_main_template_historical_shi_hui_hero_earth	5	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_historical_shi_hui_hero_earth
