key	sort_order	frontend_faction_leader	frontend_character
3k_dlc05_template_historical_ma_chao_hero_fire	18	3k_dlc05_political_party_ma_teng_ruler	3k_main_template_historical_ma_chao_hero_fire
3k_dlc05_template_historical_sun_quan_hero_earth	9	3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_template_historical_sun_quan_hero_earth
3k_dlc05_template_historical_wen_chou_hero_wood	5	3k_dlc05_political_party_yuan_shao_ruler	3k_main_template_historical_wen_chou_hero_wood
3k_dlc05_template_historical_xiahou_dun_hero_wood	1	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_dun_hero_wood
3k_dlc05_template_historical_xiahou_yuan_hero_fire	2	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_yuan_hero_fire
3k_dlc05_template_historical_xun_yu_hero_water	4	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xun_yu_hero_water
3k_dlc05_template_historical_yan_liang_hero_fire	4	3k_dlc05_political_party_yuan_shao_ruler	3k_main_template_historical_yan_liang_hero_fire
3k_dlc05_template_historical_yan_yu_hero_wood	6	3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_template_historical_yan_yu_hero_wood
3k_dlc05_template_historical_yue_jin_hero_metal	5	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_yue_jin_hero_metal
3k_dlc05_template_historical_zhang_fei_hero_fire	5	3k_dlc05_political_party_liu_bei_ruler	3k_main_template_historical_zhang_fei_hero_fire
3k_dlc05_template_historical_zhang_he_hero_fire	14	3k_dlc05_political_party_yuan_shao_ruler	3k_main_template_historical_zhang_he_hero_fire
3k_dlc05_template_historical_zhang_liao_hero_metal	17	3k_dlc05_political_party_lu_bu_ruler	3k_main_template_historical_zhang_liao_hero_metal
3k_dlc05_template_historical_zhao_yun_hero_metal	6	3k_dlc05_political_party_liu_bei_ruler	3k_main_template_historical_zhao_yun_hero_metal
3k_dlc05_template_historical_zhou_yu_hero_water	6	3k_dlc05_political_party_sun_ce_ruler	3k_main_template_historical_zhou_yu_hero_water
3k_dlc05_ytr_template_historical_gong_du_hero_wood	7	3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_template_historical_gong_du_hero_wood
3k_dlc05_ytr_template_historical_he_man_hero_metal	9	3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_template_historical_he_man_hero_metal
3k_dlc05_ytr_template_historical_huang_shao_hero_metal	8	3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_template_historical_huang_shao_hero_metal
3k_dlc07_template_historical_cao_ren_hero_earth	4	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_cao_ren_hero_earth
3k_dlc07_template_historical_cheng_pu_hero_metal	8	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_cheng_pu_hero_metal
3k_dlc07_template_historical_fa_zheng_hero_water	4	3k_dlc07_political_party_liu_zhang_ruler	3k_dlc05_template_historical_fa_zheng_hero_water
3k_dlc07_template_historical_gan_ning_hero_fire	14	3k_dlc07_political_party_liu_biao_ruler	3k_main_template_historical_gan_ning_hero_fire
3k_dlc07_template_historical_guan_yu_hero_wood	4	3k_dlc07_political_party_liu_bei_ruler	3k_main_template_historical_guan_yu_hero_wood
3k_dlc07_template_historical_huang_gai_hero_fire	7	3k_dlc07_political_party_sun_ce_ruler	3k_cp01_template_historical_huang_gai_hero_fire
3k_dlc07_template_historical_huang_zhong_hero_metal	13	3k_dlc07_political_party_liu_biao_ruler	3k_main_template_historical_huang_zhong_hero_metal
3k_dlc07_template_historical_king_duosi_hero_nanman	4	3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_template_historical_king_duosi_hero_nanman
3k_dlc07_template_historical_king_wutugu_hero_nanman	5	3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_template_historical_king_wutugu_hero_nanman
3k_dlc07_template_historical_lady_zhurong_hero_nanman	5	3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc07_template_historical_lady_zhurong_hero_nanman
3k_dlc07_template_historical_ma_chao_hero_fire	18	3k_dlc07_political_party_ma_teng_ruler	3k_main_template_historical_ma_chao_hero_fire
3k_dlc07_template_historical_sun_quan_hero_earth	9	3k_dlc07_political_party_sun_ce_ruler	3k_dlc05_template_historical_sun_quan_hero_earth
3k_dlc07_template_historical_wen_chou_hero_wood	5	3k_dlc07_political_party_yuan_shao_ruler	3k_main_template_historical_wen_chou_hero_wood
3k_dlc07_template_historical_xiahou_dun_hero_wood	1	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_dun_hero_wood_blinded
3k_dlc07_template_historical_xiahou_yuan_hero_fire	2	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_yuan_hero_fire
3k_dlc07_template_historical_xun_yu_hero_water	3	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xun_yu_hero_water
3k_dlc07_template_historical_yan_liang_hero_fire	4	3k_dlc07_political_party_yuan_shao_ruler	3k_main_template_historical_yan_liang_hero_fire
3k_dlc07_template_historical_yuan_shang_hero_earth	2	3k_dlc07_political_party_yuan_shao_ruler	3k_main_template_historical_yuan_shang_hero_earth
3k_dlc07_template_historical_yue_jin_hero_metal	5	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_yue_jin_hero_metal
3k_dlc07_template_historical_zhang_fei_hero_fire	5	3k_dlc07_political_party_liu_bei_ruler	3k_main_template_historical_zhang_fei_hero_fire
3k_dlc07_template_historical_zhang_he_hero_fire	3	3k_dlc07_political_party_yuan_shao_ruler	3k_main_template_historical_zhang_he_hero_fire
3k_dlc07_template_historical_zhao_yun_hero_metal	6	3k_dlc07_political_party_liu_bei_ruler	3k_main_template_historical_zhao_yun_hero_metal
3k_dlc07_template_historical_zhou_yu_hero_water	6	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_zhou_yu_hero_water
3k_main_template_historical_guan_yu_hero_wood	4	3k_main_political_party_liu_bei_ruler	3k_main_template_historical_guan_yu_hero_wood
3k_main_template_historical_huang_zhong_hero_metal	13	3k_main_political_party_liu_biao_ruler	3k_main_template_historical_huang_zhong_hero_metal
3k_main_template_historical_ji_ling_hero_fire	14	3k_dlc05_political_party_yuan_shu_ruler	3k_main_template_historical_ji_ling_hero_fire
3k_main_template_historical_jia_xu_hero_water	18	3k_main_political_party_dong_zhuo_ruler	3k_main_template_historical_jia_xu_hero_water
3k_main_template_historical_lady_sun_shangxiang_hero_fire	8	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_lady_sun_shangxiang_hero_fire
3k_main_template_historical_li_ru_hero_water	1	3k_main_political_party_dong_zhuo_ruler	3k_main_template_historical_li_ru_hero_water
3k_main_template_historical_liu_zhang_hero_earth_faction_heir	4	3k_main_political_party_liu_yan_ruler	3k_dlc05_template_historical_liu_zhang_hero_earth_faction_heir
3k_main_template_historical_lu_bu_hero_fire	2	3k_main_political_party_dong_zhuo_ruler	3k_main_template_historical_lu_bu_hero_fire
3k_main_template_historical_ma_chao_hero_fire	18	3k_main_political_party_ma_teng_ruler	3k_main_template_historical_ma_chao_hero_fire
3k_main_template_historical_sun_ce_hero_fire	6	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_ce_hero_fire
3k_main_template_historical_sun_quan_hero_earth	7	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_quan_hero_earth
3k_main_template_historical_wen_chou_hero_wood	5	3k_main_political_party_yuan_shao_ruler	3k_main_template_historical_wen_chou_hero_wood
3k_main_template_historical_xiahou_dun_hero_wood	1	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_dun_hero_wood
3k_main_template_historical_xiahou_yuan_hero_fire	2	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_yuan_hero_fire
3k_main_template_historical_yan_liang_hero_fire	4	3k_main_political_party_yuan_shao_ruler	3k_main_template_historical_yan_liang_hero_fire
3k_main_template_historical_yan_yu_hero_wood	6	3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_template_historical_yan_yu_hero_wood
3k_main_template_historical_zhang_fei_hero_fire	5	3k_main_political_party_liu_bei_ruler	3k_main_template_historical_zhang_fei_hero_fire
3k_main_template_historical_zhang_liao_hero_metal	17	3k_main_political_party_dong_zhuo_ruler	3k_main_template_historical_zhang_liao_hero_metal
3k_main_template_historical_zhao_yun_hero_metal	3	3k_main_political_party_gongsun_zan_ruler	3k_main_template_historical_zhao_yun_hero_metal
3k_ytr_template_historical_he_man_hero_metal	9	3k_main_political_party_yellow_turban_ruler	3k_ytr_template_historical_he_man_hero_metal
3k_ytr_template_historical_pei_yuanshao_hero_wood	10	3k_main_political_party_yellow_taishan_ruler	3k_ytr_template_historical_pei_yuanshao_hero_wood
3k_ytr_template_historical_zhang_kai_hero_wood	20	3k_main_political_party_yellow_anding_ruler	3k_ytr_template_historical_zhang_kai_hero_wood
