member	max_range	min_range	context
ironic_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	30	21	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	40	31	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	50	41	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	60	51	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_hard	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_legndary	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_normal	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_very_hard	70	61	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_easy	100	71	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_hard	100	71	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_legndary	100	71	value
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_normal	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_very_hard	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_easy	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_hard	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_legndary	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_normal	100	71	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_very_hard	100	71	value
