member	max_range	min_range	context
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_5	60	50	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_bao	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_jue	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_liang	10	0	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_bao	20	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_jue	20	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_liang	20	11	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_bao	30	21	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_jue	30	21	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_liang	30	21	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_bao	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_jue	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_liang	50	31	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_bao	100	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_jue	100	51	value
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_liang	100	51	value
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_1	25	0	value
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_2	50	26	value
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_3	75	51	value
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_4	100	76	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_1	4	0	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_2	14	5	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_3	29	15	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_4	49	30	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_5	74	50	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_6	99	75	value
3k_dlc04_campaign_group_member_pooled_resource_governance_level_7	100	100	value
3k_dlc04_campaign_group_member_pooled_resource_political_influence_level_1	800	0	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_0	9	0	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_1	19	10	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_2	29	20	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_3	39	30	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_4	49	40	value
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_5	60	50	value
3k_dlc04_campaign_group_member_post_battle_effects_victory_1_decisive_liu_chong	45	30	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_2_close_liu_chong	29	15	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_2_decisive_liu_chong	29	15	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_2_heroic_liu_chong	29	15	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_3_close_liu_chong	14	0	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_3_decisive_liu_chong	14	0	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_3_heroic_liu_chong	14	0	relative_strength
3k_dlc04_campaign_group_member_post_battle_effects_victory_3_pyrrhic_liu_chong	14	0	relative_strength
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_han_chinese	30	0	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_yellow_turban	30	0	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_han_chinese	55	31	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_yellow_turban	55	31	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_han_chinese	75	56	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_yellow_turban	75	56	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_han_chinese	90	76	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_yellow_turban	90	76	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_han_chinese	100	91	value
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_yellow_turban	100	91	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_easy	19	0	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_hard	19	0	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_legendary	19	0	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_normal	19	0	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_very_hard	19	0	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_easy	39	20	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_hard	39	20	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_legendary	39	20	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_normal	39	20	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_very_hard	39	20	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_easy	59	40	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_hard	59	40	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_legendary	59	40	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_normal	59	40	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_very_hard	59	40	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_easy	79	60	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_hard	79	60	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_legendary	79	60	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_normal	79	60	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_very_hard	79	60	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_easy	100	80	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_hard	100	80	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_legendary	100	80	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_normal	100	80	value
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_very_hard	100	80	value
3k_dlc05_campaign_group_member_governor_independence_trigger_hua_xin	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_hua_xin_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_lu_bu_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_huang	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_huang_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_wu	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_wu_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_yi	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_shi_yi_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_sun_ce	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_sun_ce_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_tian_kai	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_tian_kai_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_white_tiger_yan	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_white_tiger_yan_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_wu_jing	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_wu_jing_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xu_gong	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xu_gong_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xu_zhao	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xu_zhao_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xue_li	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_xue_li_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_yang_feng	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_yang_feng_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_yuan_tan	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_yuan_tan_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zang_ba	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zang_ba_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zheng_jiang	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zheng_jiang_separatists	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zhu_fu	9999	25	value
3k_dlc05_campaign_group_member_governor_independence_trigger_zhu_fu_separatists	9999	25	value
3k_dlc05_campaign_group_member_military_supply_abundant_bandits	100	75	value
3k_dlc05_campaign_group_member_military_supply_empty_bandits	1	-2147483647	value
3k_dlc05_campaign_group_member_military_supply_high_bandits	74	50	value
3k_dlc05_campaign_group_member_military_supply_low_bandits	24	2	value
3k_dlc05_campaign_group_member_military_supply_normal_bandits	49	25	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_idle_dragon	30	0	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_10	100	91	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_4	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_5	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_6	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_7	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_8	80	71	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_9	90	81	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_1	1	0	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_10	10	10	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_100	10000	100	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_11	11	11	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_12	12	12	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_13	13	13	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_14	14	14	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_15	15	15	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_16	16	16	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_17	17	17	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_18	18	18	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_19	19	19	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_2	2	2	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_20	20	20	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_21	21	21	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_22	22	22	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_23	23	23	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_24	24	24	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_25	25	25	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_26	26	26	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_27	27	27	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_28	28	28	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_29	29	29	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_3	3	3	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_30	30	30	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_31	31	31	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_32	32	32	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_33	33	33	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_34	34	34	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_35	35	35	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_36	36	36	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_37	37	37	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_38	38	38	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_39	39	39	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_4	4	4	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_40	40	40	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_41	41	41	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_42	42	42	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_43	43	43	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_44	44	44	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_45	45	45	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_46	46	46	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_47	47	47	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_48	48	48	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_49	49	49	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_5	5	5	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_50	50	50	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_51	51	51	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_52	52	52	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_53	53	53	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_54	54	54	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_55	55	55	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_56	56	56	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_57	57	57	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_58	58	58	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_59	59	59	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_6	6	6	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_60	60	60	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_61	61	61	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_62	62	62	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_63	63	63	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_64	64	64	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_65	65	65	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_66	66	66	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_67	67	67	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_68	68	68	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_69	69	69	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_7	7	7	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_70	70	70	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_71	71	71	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_72	72	72	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_73	73	73	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_74	74	74	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_75	75	75	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_76	76	76	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_77	77	77	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_78	78	78	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_79	79	79	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_8	8	8	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_80	80	80	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_81	81	81	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_82	82	82	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_83	83	83	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_84	84	84	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_85	85	85	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_86	86	86	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_87	87	87	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_88	88	88	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_89	89	89	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_9	9	9	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_90	90	90	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_91	91	91	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_92	92	92	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_93	93	93	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_94	94	94	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_95	95	95	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_96	96	96	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_97	97	97	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_98	98	98	value
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_99	99	99	value
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_1	0	0	value
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_2	20	1	value
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_3	50	21	value
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_4	79	51	value
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_5	100	80	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	10	0	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	20	11	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	30	21	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	40	31	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	50	41	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	60	51	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	70	61	value
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	70	61	value
