member	pooled_resource
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_7_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_easy	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_hard	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_legndary	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_normal	3k_dlc05_pooled_resource_reckless_luck
ironic_campaign_group_member_pooled_resource_reckless_luck_level_8_very_hard	3k_dlc05_pooled_resource_reckless_luck
