member	pooled_resource
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_2	3k_dlc04_pooled_resource_dynasty_influence
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_3	3k_dlc04_pooled_resource_dynasty_influence
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_4	3k_dlc04_pooled_resource_dynasty_influence
3k_dlc04_campaign_group_member_pooled_resource_dynasty_power_level_5	3k_dlc04_pooled_resource_dynasty_influence
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_bao	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_jue	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_1_zhang_liang	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_bao	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_jue	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_2_zhang_liang	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_bao	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_jue	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_3_zhang_liang	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_bao	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_jue	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_4_zhang_liang	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_bao	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_jue	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fervour_level_5_zhang_liang	3k_dlc04_pooled_resource_fervour
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_1	3k_dlc04_pooled_resource_fortitude
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_2	3k_dlc04_pooled_resource_fortitude
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_3	3k_dlc04_pooled_resource_fortitude
3k_dlc04_campaign_group_member_pooled_resource_fortitude_level_4	3k_dlc04_pooled_resource_fortitude
3k_dlc04_campaign_group_member_pooled_resource_governance_level_1	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_2	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_3	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_4	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_5	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_6	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_governance_level_7	3k_dlc04_pooled_resource_liu_biao_governance
3k_dlc04_campaign_group_member_pooled_resource_political_influence_level_0	3k_dlc04_pooled_resource_political_influence
3k_dlc04_campaign_group_member_pooled_resource_political_influence_level_1	3k_dlc04_pooled_resource_political_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_0	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_1	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_2	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_3	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_4	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_member_pooled_resource_warlords_power_level_5	3k_dlc04_pooled_resource_warlords_influence
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_han_chinese	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_yellow_turban	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_han_chinese	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_yellow_turban	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_han_chinese	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_yellow_turban	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_han_chinese	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_yellow_turban	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_han_chinese	3k_dlc04_pooled_resource_fervour_regional
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_yellow_turban	3k_dlc04_pooled_resource_fervour_regional
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_idle_dragon	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_10	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_4	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_5	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_6	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_7	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_8	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_momentum_level_9	3k_dlc05_pooled_resource_lu_bu_momentum
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_1	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_10	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_100	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_11	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_12	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_13	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_14	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_15	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_16	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_17	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_18	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_19	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_2	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_20	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_21	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_22	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_23	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_24	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_25	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_26	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_27	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_28	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_29	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_3	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_30	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_31	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_32	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_33	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_34	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_35	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_36	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_37	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_38	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_39	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_4	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_40	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_41	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_42	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_43	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_44	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_45	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_46	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_47	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_48	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_49	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_5	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_50	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_51	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_52	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_53	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_54	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_55	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_56	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_57	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_58	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_59	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_6	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_60	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_61	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_62	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_63	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_64	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_65	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_66	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_67	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_68	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_69	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_7	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_70	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_71	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_72	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_73	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_74	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_75	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_76	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_77	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_78	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_79	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_8	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_80	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_81	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_82	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_83	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_84	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_85	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_86	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_87	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_88	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_89	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_9	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_90	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_91	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_92	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_93	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_94	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_95	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_96	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_97	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_98	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_lu_bu_personal_victories_level_99	3k_dlc05_pooled_resource_lu_bu_personal_victories
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_1	3k_dlc05_pooled_resource_mercenary_activity
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_2	3k_dlc05_pooled_resource_mercenary_activity
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_3	3k_dlc05_pooled_resource_mercenary_activity
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_4	3k_dlc05_pooled_resource_mercenary_activity
3k_dlc05_campaign_group_member_pooled_resource_mercenary_activity_level_5	3k_dlc05_pooled_resource_mercenary_activity
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	3k_dlc05_pooled_resource_reckless_luck
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	3k_dlc05_pooled_resource_reckless_luck
