id	set_id	culture	faction	sub_culture	campaign
1288806114	3k_main_default		3k_main_faction_huang_zu		
1292465142	3k_main_default		3k_main_faction_han_sui_separatists		
1299242612	3k_main_default		3k_dlc07_faction_zhang_xiu_separatists		
1301832939	3k_main_shu_han		3k_main_faction_liu_bei		
1310713490	3k_main_default		3k_dlc06_faction_yunnan		
1310754203	3k_main_default		3k_main_faction_kuaiji_separatists		
1326485884	3k_main_default		3k_dlc04_faction_han_fu_separatists		
1332286223	3k_main_default		3k_main_faction_lu_zhi		
133504120	3k_main_default		3k_main_faction_penchang		
1342237705	3k_main_default		3k_main_faction_xiangyang_separatists		
1346359101	3k_main_default		3k_main_faction_jianye_separatists		
1348224856	3k_main_default		3k_main_faction_wuwei_separatists		
1349775248	3k_main_default		3k_main_faction_kuaiji		
1352421400	3k_main_default		3k_main_faction_weijun_separatists		
136133336	3k_main_default		3k_dlc04_faction_ding_yuan		
1363223218	3k_main_default		3k_dlc05_faction_yuan_tan		
1365528336	3k_main_default		3k_dlc04_faction_lu_zhi		
1366871101	3k_dlc06_nanman			3k_dlc06_subculture_nanman	
1368402535	3k_main_default		3k_dlc05_faction_shi_wu_separatists		
1368612992	3k_main_default		3k_main_faction_cai_mao_separatists		
1369074265	3k_main_default		3k_dlc06_faction_xiapi		
1375046838	3k_main_default		3k_main_faction_dongjun_separatists		
1383153659	3k_dlc05_bandit_white_tiger_yan		3k_dlc05_faction_white_tiger_yan		
1390769466	3k_main_default		3k_main_faction_dong_separatists		
1392319096	3k_main_default		3k_main_faction_anding_separatists		
1398504025	3k_main_default		3k_dlc04_faction_wang_rui		
1410056246	3k_main_default		3k_main_faction_guangling_separatists		
14146468	3k_main_default		3k_dlc05_faction_shi_yi		
14247003	3k_main_default		3k_main_faction_wudu		
1428793681	3k_main_default		3k_main_faction_nanyang_separatists		
1432045939	3k_main_default		3k_dlc04_faction_bian_zhang_separatists		
1434353374	3k_main_default		3k_main_faction_jingzhou		
1436493295	3k_main_default		3k_dlc05_faction_xue_li		
1439865730	3k_main_default		3k_main_faction_liu_dai_separatists		
1443579666	3k_main_default		3k_main_faction_sun_separatists		
144511988	3k_main			3k_main_subculture_yellow_turban	
1448590961	3k_main_default		3k_dlc05_faction_sheng_xian		
1450475261	3k_main_default		3k_main_faction_xindu_separatists		
1453916441	3k_main_ma_teng		3k_main_faction_ma_teng		
1458516202	3k_main_default		3k_dlc04_faction_dong_separatists		
1459885669	3k_main_default		3k_main_faction_gongsun_du		
1463172838	3k_main_default		3k_dlc05_faction_xue_li_separatists		
1478257345	3k_main_default		3k_main_faction_gaoliang_separatists		
148099781	3k_main_default		3k_main_faction_lujiang		
1488715252	3k_main_dong_zhuo		3k_main_faction_dong_zhuo		
1492419130	3k_main_default		3k_dlc06_faction_liaodong		
1495203974	3k_ytr_he_yi		3k_dlc04_faction_zhang_jue		
1517466586	3k_main_default		3k_main_faction_dongou_separatists		
1519628376	3k_main_default		3k_dlc07_faction_zhang_xiu		
1521536255	3k_main_default		3k_main_faction_jianan_separatists		
1528202895	3k_main_default		3k_main_faction_hanzhong		
1531989028	3k_main_default		3k_main_faction_anping_separatists		
1533606102	3k_main_default		3k_dlc04_faction_empress_he_separatists		
1543052105	3k_main_default		3k_main_faction_han_separatists		
154379203	3k_dlc05_bandit			3k_dlc05_subculture_bandits	
1558489006	3k_main_default		3k_dlc04_faction_wei		
1570006209	3k_main_default		3k_dlc04_faction_liu_xun_separatists		
1574706610	3k_main_default		3k_main_faction_wang_kuang		
1577286386	3k_main_default		3k_main_faction_shoufang_separatists		
1580106589	3k_main_default		3k_main_faction_jincheng		
1586735013	3k_main_default		3k_main_faction_han_empire		
1593729477	3k_main_default		3k_dlc04_faction_yizhou_island_separatists		
1630721906	3k_ytr_he_yi		3k_dlc04_faction_zhang_liang_separatists		
1643616263	3k_main_default		3k_main_faction_liu_dai		
1652614350	3k_main_default		3k_main_faction_donghai_separatists		
1654226715	3k_main_default		3k_dlc05_faction_wu_jing		
1657788292	3k_main_buddhist_default		3k_main_faction_shi_separatists		
166528212	3k_main_default		3k_main_faction_kong_rong_separatists		
1681241110	3k_main_default		3k_main_faction_luoyang		
1692040229	3k_main_default		3k_main_faction_yangzhou		
169344031	3k_main_default		3k_main_faction_yu		
1699750482	3k_main_gongsun_zan		3k_main_faction_gongsun_zan		
1700636706	3k_main_default		3k_dlc04_faction_wei_separatists		
1717779407	3k_main_default		3k_dlc04_faction_prince_liu_chong		
1718465766	3k_main_default		3k_main_faction_xindu		
1719769962	3k_main_default		3k_main_faction_guangling		
172885670	3k_main_default		3k_dlc06_faction_liaodong_separatists		
1737014718	3k_main_default		3k_main_faction_henei_separatists		
1741513883	3k_main_default		3k_main_faction_fuling_separatists		
1746255486	3k_main_default		3k_main_faction_daijun		
1747498884	3k_main_default		3k_main_faction_liu_biao_separatists		
1753835720	3k_main_default		3k_dlc04_faction_dong		
1753944898	3k_main_default		3k_main_faction_donglai_separatists		
1763172454	3k_main_default		3k_dlc05_faction_xu_gong_separatists		
1767338740	3k_main_default		3k_dlc04_faction_qiao_mao		
1770401363	3k_main_default		3k_main_faction_jiangxia_separatists		
1773921366	3k_main_default		3k_main_faction_ba		
1782154163	3k_main_default		3k_main_faction_gao_gan_separatists		
178562475	3k_main_default		3k_main_faction_shangdang		
1790421024	3k_main_default		3k_main_faction_han_fu		
1794678958	3k_main_default		3k_dlc06_faction_jiuzhen		
1795460746	3k_main_default		3k_main_faction_nanyang		
1796835049	3k_main_default		3k_main_faction_cangwu_separatists		
1797441604	3k_main_default		3k_main_faction_jianan		
1798907679	3k_main_default		3k_main_faction_langye		
1801796755	3k_main_default		3k_dlc05_faction_lu_bu_separatists		
1803153570	3k_main_default		3k_dlc07_faction_li_shu		
1813989395	3k_main_default		3k_dlc04_faction_lu_kang_separatists		
1819081757	3k_main_default		3k_dlc05_faction_tian_kai_separatists		
1829731685	3k_main_default		3k_main_faction_liu_yao_separatists		
1845221628	3k_main_default		3k_main_faction_wuling		
1856247707	3k_main_default		3k_main_faction_yangzhou_separatists		
1859191511	3k_ytr_he_yi		3k_dlc04_faction_zhang_bao		
186218694	3k_main_default		3k_main_faction_liu_yu		
1864870342	3k_main_default		3k_dlc04_faction_cao_song		
1865611745	3k_main_default		3k_dlc07_faction_yuan_xi		
187132062	3k_ytr_he_yi		3k_main_faction_yellow_turban_rebels		
1894858335	3k_main_default		3k_main_faction_xiangyang		
1904485516	3k_main_default		3k_dlc05_faction_wu_jing_separatists		
1911585063	3k_main_default		3k_dlc06_faction_xiapi_separatists		
1912109537	3k_main_default		3k_main_faction_cao_separatists		
1917487684	3k_main_default		3k_dlc04_faction_chen_gui		
1919377248	3k_main_default		3k_main_faction_daijun_separatists		
192161938	3k_main_default		3k_main_faction_penchang_separatists		
1925640085	3k_main_default		3k_main_faction_nanhai		
1926603164	3k_main_default		3k_main_faction_gao_gan		
1928482384	3k_main_default		3k_main_faction_xihe_separatists		
1939378860	3k_ytr_he_yi		3k_main_faction_yellow_turban_generic		
1940562714	3k_main_default		3k_dlc05_faction_zhu_fu		
1943804218	3k_main_default		3k_main_faction_han_sui		
1945844754	3k_main_default		3k_dlc07_faction_yuan_xi_separatists		
1947281445	3k_main_default		3k_dlc06_faction_jiuzhen_separatists		
1951765062	3k_main_default		3k_main_faction_runan		
1962636522	3k_main_default		3k_main_faction_yuzhang_separatists		
196418599	3k_main_default		3k_dlc04_faction_zhou_xin_separatists		
1994544297	3k_main_buddhist_default		3k_main_faction_zhang_lu		
2000847135	3k_main_default		3k_main_faction_jianning_separatists		
2002669832	3k_main_default		3k_dlc04_faction_dong_he_separatists		
2003215917	3k_main_default		3k_dlc05_faction_shi_yi_separatists		
2037208507	3k_main_default		3k_main_faction_han_empire_separatists		
2039767665	3k_main_default		3k_main_faction_baxi		
2050021928	3k_main_default		3k_dlc05_faction_xu_gong		
2050763740	3k_main_default		3k_main_faction_shoufang		
2058441668	3k_main_sun_wu		3k_dlc05_faction_sun_ce		
2068252241	3k_main_default		3k_dlc04_faction_ding_yuan_separatists		
2071059973	3k_main_zheng_jiang		3k_main_faction_zheng_jiang		
2074960219	3k_main_default		3k_main_faction_lingling_separatists		
2103658571	3k_main_default		3k_main_faction_yuzhang		
2126291607	3k_ytr_huang_shao		3k_main_faction_yellow_turban_taishan		
2127612170	3k_main_default		3k_dlc04_faction_liu_xun		
2133077696	3k_main_default		3k_main_faction_taiyuan_separatists		
2136348079	3k_main_default		3k_main_faction_donghai		
236754223	3k_main_default		3k_main_faction_shangdang_separatists		
246730784	3k_main_default		3k_main_faction_xihe		
250951240	3k_ytr_he_yi		3k_dlc04_faction_zhang_jue_separatists		
253501494	3k_main_liu_biao		3k_main_faction_liu_biao		
267753982	3k_main_default		3k_main_faction_liu_yan_separatists		
268059986	3k_main_default		3k_main_faction_tong'an_separatists		
274387502	3k_main_default		3k_dlc04_faction_prince_liu_chong_separatists		
281164999	3k_main_default		3k_main_faction_donglai		
281561922	3k_main_buddhist_default		3k_main_faction_shi_xie		
285665204	3k_main_default		3k_dlc07_faction_chen_deng_separatists		
288164529	3k_main_default		3k_dlc04_faction_wang_rui_separatists		
298395748	3k_main_default		3k_main_faction_gaoliang		
308212993	3k_main_default		3k_dlc04_faction_bian_zhang		
308534680	3k_main_default		3k_dlc04_faction_yuan_yi		
309746247	3k_main_default		3k_dlc04_faction_dong_he		
311410167	3k_main_default		3k_dlc04_faction_liang_rebels		
318552318	3k_main_default		3k_main_faction_yulin_separatists		
321465454	3k_main_default		3k_main_faction_hepu		
324904867	3k_main_default		3k_main_faction_taishan_separatists		
32845353	3k_main_kong_rong		3k_main_faction_kong_rong		
329111992	3k_main_cao_wei		3k_main_faction_cao_cao		
331895212	3k_main_default		3k_dlc04_faction_dai		
332501916	3k_main_default		3k_main_faction_gongsun_du_separatists		
334276268	3k_main_default		3k_dlc04_faction_yuan_yi_separatists		
343331783	3k_main_default		3k_main_faction_changan_separatists		
344528680	3k_main_default		3k_main_faction_jia_long_separatists		
345371870	3k_main_default		3k_main_faction_zangke		
365300359	3k_main_default		3k_main_faction_liu_yu_separatists		
371093554	3k_main_default		3k_main_faction_tao_qian_separatists		
379795796	3k_main_yuan_shao		3k_main_faction_yuan_shao		
382705770	3k_main_default		3k_main_faction_yanmen		
389614072	3k_main_default		3k_main_faction_lingling		
400954313	3k_main_default		3k_dlc04_faction_chu_gong_separatists		
402826533	3k_main_default		3k_main_faction_changsha_separatists		
418213688	3k_main_default		3k_dlc06_faction_yongchang_separatists		
428483227	3k_main_default		3k_main_faction_baxi_separatists		
432658366	3k_main_default		3k_main_faction_wuling_separatists		
433500042	3k_main_default		3k_main_faction_youbeiping_separatists		
437726385	3k_main_default		3k_main_faction_anping		
444354597	3k_main_default		3k_main_faction_luoyang_separatists		
453927210	3k_main_default		3k_main_faction_chen		
467092441	3k_main_default		3k_dlc05_faction_hua_xin_separatists		
467549508	3k_main_default		3k_main_faction_jincheng_separatists		
472953608	3k_main_default		3k_main_faction_yuan_shu_separatists		
477653896	3k_main_default		3k_main_faction_jianye		
480350388	3k_main_yuan_shu		3k_main_faction_yuan_shu		
482881760	3k_main_default		3k_dlc06_faction_yongchang		
490685679	3k_main_default		3k_main_faction_hedong		
49325965	3k_ytr_gong_du		3k_main_faction_yellow_turban_anding		
499521287	3k_main_default		3k_main_faction_cai_mao		
513604765	3k_main_default		3k_dlc05_faction_shi_huang_separatists		
51400100	3k_main_default		3k_main_faction_rebels		
528062826	3k_main_default		3k_dlc04_faction_lu_kang		
532927639	3k_main_default		3k_main_faction_jiaozhi		
53559235	3k_main_default		3k_main_faction_yizhou		
536221953	3k_main_default		3k_main_faction_badong_separatists		
550562423	3k_main_default		3k_main_faction_yuan_separatists		
553871427	3k_main_default		3k_main_faction_pingyuan_separatists		
563932256	3k_main_default		3k_main_faction_lujiang_separatists		
565367959	3k_main_default		3k_main_faction_wang_kuang_separatists		
575913370	3k_main_default		3k_main_faction_shangyong_separatists		
577345154	3k_main_default		3k_main_faction_tao_qian		
58788084	3k_main_default		3k_main_faction_luling		
593806518	3k_main_default		3k_dlc04_faction_xin_xuan		
601065243	3k_main_default		3k_main_faction_luling_separatists		
611531032	3k_main_default		3k_main_faction_zhongshan		
617578281	3k_main_default		3k_main_faction_ma_teng_separatists		
6210	3k_main			3k_main_chinese	
622063066	3k_main_default		3k_main_faction_yulin		
641666625	3k_main_default		3k_dlc04_faction_qiao_mao_separatists		
642252577	3k_main_default		3k_main_faction_beihai		
661589373	3k_main_default		3k_main_faction_weijun		
662063216	3k_main_default		3k_main_faction_liu_yao		
665062838	3k_main_default		3k_main_faction_zhang_yang		
674302473	3k_main_default		3k_main_faction_gongsun_separatists		
67611168	3k_main_default		3k_main_faction_shangyong		
681291990	3k_main_default		3k_main_faction_kong_zhou		
681966133	3k_main_default		3k_dlc04_faction_rebels		
686219852	3k_main_default		3k_main_faction_youzhou_separatists		
692067301	3k_main_default		3k_dlc07_faction_zhang_meng_separatists		
694778139	3k_main_default		3k_dlc04_faction_liu_hong_separatists		
695163639	3k_main_default		3k_main_faction_wudu_separatists		
71131514	3k_main_default		3k_main_faction_youbeiping		
712268421	3k_main_default		3k_main_faction_zhang_chao_separatists		
727265210	3k_main_default		3k_dlc04_faction_lu_zhi_separatists		
729721864	3k_main_default		3k_dlc07_faction_zhang_meng		
746877275	3k_ytr_he_yi		3k_dlc04_faction_zhang_bao_separatists		
75137348	3k_main_default		3k_main_faction_ye_separatists		
753553440	3k_main_default		3k_main_faction_anding		
755695523	3k_main_default		3k_main_faction_dongjun		
756448609	3k_main_default		3k_main_faction_tong'an		
756950658	3k_main_default		3k_dlc04_faction_cao_song_separatists		
764083022	3k_main_default		3k_dlc07_faction_chen_deng		
771148296	3k_main_default		3k_dlc04_faction_xin_xuan_separatists		
77150579	3k_main_default		3k_main_faction_langye_separatists		
774768937	3k_main_default		3k_dlc05_faction_tian_kai		
776976008	3k_main_default		3k_main_faction_yanmen_separatists		
78765740	3k_main_default		3k_main_faction_ba_separatists		
789878069	3k_main_default		3k_dlc04_faction_chu_gong		
795650388	3k_main_default		3k_main_faction_zhongshan_separatists		
801932521	3k_main_default		3k_main_faction_beihai_separatists		
803118759	3k_main_default		3k_main_faction_jia_long		
803492885	3k_main_default		3k_dlc04_faction_ying_shao_separatists		
803896812	3k_main_default		3k_dlc05_faction_shi_wu		
813420024	3k_main_default		3k_main_faction_zhang_yang_separatists		
818116024	3k_main_default		3k_main_faction_jiangyang_separatists		
82284185	3k_main_default		3k_dlc05_faction_zhu_fu_separatists		
829713224	3k_main_sun_wu		3k_main_faction_sun_jian		
846856428	3k_main_default		3k_main_faction_dongou		
847699369	3k_main_default		3k_main_faction_kong_zhou_separatists		
864233552	3k_main_default		3k_main_faction_poyang_separatists		
866922953	3k_main_default		3k_main_faction_jiangxia		
871281407	3k_main_zhang_yan		3k_main_faction_zhang_yan		
874846230	3k_main_default		3k_main_faction_yizhou_separatists		
876289468	3k_main_default		3k_dlc05_faction_yuan_tan_separatists		
879074603	3k_main_default		3k_dlc05_faction_sun_ce_separatists		
880484250	3k_main_default		3k_dlc04_faction_dai_separatists		
88252579	ep_default				8p_start_pos
885859543	3k_main_default		3k_main_faction_changsha		
891296959	3k_main_default		3k_dlc04_faction_zhou_xin		
895356506	3k_main_default		3k_main_faction_changan		
907051892	3k_main_default		3k_main_faction_jianning		
918275389	3k_main_default		3k_main_faction_chen_separatists		
923879263	3k_main_default		3k_main_faction_yu_separatists		
931291308	3k_main_default		3k_dlc07_faction_shi_hui_separatists		
932517311	3k_main_default		3k_dlc04_faction_ying_shao		
93525069	3k_main_default		3k_main_faction_wuwei		
935971812	3k_main_default		3k_dlc04_faction_yizhou_island		
943070078	3k_main_default		3k_dlc05_faction_shi_huang		
948830301	3k_main_default		3k_main_faction_liu_bei_separatists		
949203774	3k_main_default		3k_main_faction_pingyuan		
950417739	3k_main_default		3k_main_faction_runan_separatists		
952196278	3k_main_default		3k_main_faction_hedong_separatists		
953590903	3k_main_zheng_jiang		3k_main_faction_zheng_jiang_separatists		
965647191	3k_main_default		3k_main_faction_fuling		
966240115	3k_main_default		3k_main_faction_badong		
980981735	3k_main_default		3k_main_faction_jingzhou_separatists		
98211923	3k_main_default		3k_main_faction_wang_lang_separatists		
995072849	3k_main_default		3k_main_faction_cangwu		
996203542	3k_main_default		3k_dlc05_faction_xu_zhao		
