id	building_superchain	slot_template
371250904	3k_district_military_security	3k_districts_port
391503064	3k_district_artisan_private_workshops	3k_districts_port
401390176	3k_district_market_inn	3k_districts_black_mountain
413095142	3k_ytr_district_artisan_yellow_turban_healing	3k_districts_port
42675369	3k_district_government_black_mountain	3k_districts
436223078	3k_ytr_district_artisan_yellow_turban_garden	3k_districts_black_mountain
440915498	3k_ytr_district_artisan_yellow_turban_garden	3k_districts_port
444907282	3k_dlc06_district_market_land_city	3k_districts_port
465846300	3k_dlc06_district_artisan_state_workshops	3k_districts_port
472789771	3k_ytr_district_artisan_yellow_turban_healing	3k_districts_black_mountain
485999774	3k_district_military_security	3k_districts
524221002	3k_dlc06_district_market_land_city	3k_districts
537100344	3k_district_military_conscription	3k_districts_black_mountain
543518016	3k_resource_metal_craftsmen_animal	3k_resource_metal_craftsmen_animal
546254044	3k_dlc06_city	3k_dlc06_city_nanman
579520288	3k_district_artisan_labourers	3k_districts_black_mountain
716854723	3k_district_military_security	3k_districts_black_mountain
728068145	3k_district_residential_bandits	3k_districts_port
730349275	3k_dlc06_district_military_security	3k_districts_port
732454496	3k_district_government_temples	3k_districts_black_mountain
744234865	3k_dlc06_district_residential_markets	3k_districts_port
745145091	3k_district_government_black_mountain	3k_districts_black_mountain
808138880	3k_resource_metal_craftsmen_weapon	3k_resource_metal_craftsmen_weapon
818081254	3k_district_government_black_mountain	3k_districts_port
825112809	3k_ytr_district_artisan_yellow_turban_caches	3k_districts_port
839648504	3k_district_artisan_sun_jian_fealty	3k_districts
868817040	3k_district_residential_housing	3k_districts
87011538	3k_dlc06_district_artisan_private_workshops	3k_districts_port
884970738	3k_district_market_schools	3k_districts_black_mountain
910519607	3k_dlc06_district_government_temples	3k_districts
920957341	3k_district_artisan_private_workshops	3k_districts
938708414	3k_district_government_temples	3k_districts
984654687	3k_resource_metal_craftsmen_armour	3k_resource_metal_craftsmen_armour
993241972	3k_dlc06_gate_pass	3k_dlc06_gate
