campaign_group	effect_type	effect_bundle
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_zhang_bao	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_5_zhang_bao
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_zhang_jue	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_5_zhang_jue
3k_dlc04_campaign_group_pooled_resource_fervour_level_5_zhang_liang	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fervour_level_5_zhang_liang
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_han_chinese	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_1_han_chinese
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_1_yellow_turban	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_1_yellow_turban
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_han_chinese	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_2_han_chinese
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_2_yellow_turban	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_2_yellow_turban
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_han_chinese	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_3_han_chinese
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_3_yellow_turban	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_3_yellow_turban
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_han_chinese	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_4_han_chinese
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_4_yellow_turban	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_4_yellow_turban
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_han_chinese	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_5_han_chinese
3k_dlc04_campaign_group_pooled_resource_fervour_regional_level_5_yellow_turban	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_fervour_regional_level_5_yellow_turban
3k_dlc04_campaign_group_pooled_resource_fortitude_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fortitude_level_1
3k_dlc04_campaign_group_pooled_resource_fortitude_level_2	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fortitude_level_2
3k_dlc04_campaign_group_pooled_resource_fortitude_level_3	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fortitude_level_3
3k_dlc04_campaign_group_pooled_resource_fortitude_level_4	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_fortitude_level_4
3k_dlc04_campaign_group_pooled_resource_governance_1	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_1
3k_dlc04_campaign_group_pooled_resource_governance_2	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_2
3k_dlc04_campaign_group_pooled_resource_governance_3	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_3
3k_dlc04_campaign_group_pooled_resource_governance_4	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_4
3k_dlc04_campaign_group_pooled_resource_governance_5	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_5
3k_dlc04_campaign_group_pooled_resource_governance_6	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_6
3k_dlc04_campaign_group_pooled_resource_governance_7	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_governance_level_7
3k_dlc04_campaign_group_pooled_resource_political_influence_level_0	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_political_influence_level_0
3k_dlc04_campaign_group_pooled_resource_political_influence_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc04_effect_bundle_pooled_resource_political_influence_level_1
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_0	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_0
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_1	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_1
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_2	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_2
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_3	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_3
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_4	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_4
3k_dlc04_campaign_group_pooled_resource_warlords_power_level_5	ABSOLUTE_VALUE	3k_dlc04_effect_bundle_pooled_resource_warlords_power_level_5
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_idle_dragon	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_0
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_10	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_10
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_4	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_4
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_5	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_5
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_6	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_6
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_7	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_7
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_8	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_8
3k_dlc05_campaign_group_pooled_resource_lu_bu_momentum_level_9	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_pooled_resource_lu_bu_momentum_level_9
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_100	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_100
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_10	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_10
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_11	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_11
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_12	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_12
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_13	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_13
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_14	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_14
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_15	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_15
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_16	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_16
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_17	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_17
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_18	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_18
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_19	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_19
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_1	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_1
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_20	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_20
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_21	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_21
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_22	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_22
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_23	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_23
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_24	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_24
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_25	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_25
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_26	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_26
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_27	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_27
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_28	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_28
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_29	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_29
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_2	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_2
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_30	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_30
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_31	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_31
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_32	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_32
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_33	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_33
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_34	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_34
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_35	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_35
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_36	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_36
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_37	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_37
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_38	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_38
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_39	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_39
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_3	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_3
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_40	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_40
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_41	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_41
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_42	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_42
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_43	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_43
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_44	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_44
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_45	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_45
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_46	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_46
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_47	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_47
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_48	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_48
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_49	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_49
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_4	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_4
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_50	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_50
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_51	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_51
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_52	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_52
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_53	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_53
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_54	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_54
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_55	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_55
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_56	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_56
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_57	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_57
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_58	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_58
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_59	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_59
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_5	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_5
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_60	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_60
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_61	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_61
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_62	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_62
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_63	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_63
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_64	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_64
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_65	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_65
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_66	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_66
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_67	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_67
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_68	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_68
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_69	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_69
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_6	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_6
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_70	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_70
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_71	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_71
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_72	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_72
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_73	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_73
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_74	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_74
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_75	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_75
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_76	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_76
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_77	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_77
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_78	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_78
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_79	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_79
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_7	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_7
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_80	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_80
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_81	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_81
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_82	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_82
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_83	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_83
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_84	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_84
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_85	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_85
