frontend_leader	political_party
3k_dlc07_political_party_yellow_anding_ruler	3k_main_political_party_yellow_anding_ruler
3k_dlc07_political_party_yuan_shao_ruler	3k_main_political_party_yuan_shao_ruler
3k_dlc07_political_party_zhang_yan_ruler	3k_dlc05_political_party_zhang_yan_ruler
3k_dlc07_political_party_zheng_jiang_ruler	3k_main_political_party_zheng_jiang_ruler
3k_main_political_party_cao_cao_ruler	3k_main_political_party_cao_cao_ruler
3k_main_political_party_dong_zhuo_ruler	3k_main_political_party_dong_zhuo_ruler
3k_main_political_party_gongsun_zan_ruler	3k_main_political_party_gongsun_zan_ruler
3k_main_political_party_kong_rong_ruler	3k_main_political_party_kong_rong_ruler
3k_main_political_party_liu_bei_ruler	3k_main_political_party_liu_bei_ruler
3k_main_political_party_liu_biao_ruler	3k_main_political_party_liu_biao_ruler
3k_main_political_party_liu_yan_ruler	3k_dlc07_political_party_liu_zhang_ruler
3k_main_political_party_ma_teng_ruler	3k_main_political_party_ma_teng_ruler
3k_main_political_party_sun_jian_ruler	3k_main_political_party_sun_jian_ruler
3k_main_political_party_tao_qian_ruler	3k_main_political_party_tao_qian_ruler
3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_political_party_190_white_tiger_yan_ruler
3k_main_political_party_yellow_anding_ruler	3k_main_political_party_yellow_anding_ruler
3k_main_political_party_yellow_taishan_ruler	3k_main_political_party_yellow_taishan_ruler
3k_main_political_party_yellow_turban_ruler	3k_main_political_party_yellow_turban_ruler
3k_main_political_party_yuan_shao_ruler	3k_main_political_party_yuan_shao_ruler
3k_main_political_party_yuan_shu_ruler	3k_main_political_party_yuan_shu_ruler
3k_main_political_party_zhang_yan_ruler	3k_main_political_party_zhang_yan_ruler
3k_main_political_party_zheng_jiang_ruler	3k_main_political_party_zheng_jiang_ruler
ep_political_party_prince_of_changsha_ruler	ep_political_party_prince_of_changsha_ruler
ep_political_party_prince_of_chengdu_ruler	ep_political_party_prince_of_chengdu_ruler
ep_political_party_prince_of_chu_ruler	ep_political_party_prince_of_chu_ruler
ep_political_party_prince_of_donghai_ruler	ep_political_party_prince_of_donghai_ruler
ep_political_party_prince_of_hejian_ruler	ep_political_party_prince_of_hejian_ruler
ep_political_party_prince_of_qi_ruler	ep_political_party_prince_of_qi_ruler
ep_political_party_prince_of_runan_ruler	ep_political_party_prince_of_runan_ruler
ep_political_party_prince_of_zhao_ruler	ep_political_party_prince_of_zhao_ruler
