frontend_leader	political_party
ironic_faction_zhao_fan_gathering	ironic_faction_zhao_fan_gathering
ironic_faction_sun_ben_gathering	ironic_faction_sun_ben_gathering
ironic_faction_lei_xu_gathering	ironic_faction_lei_xu_gathering
ironic_faction_liu_shan_gathering	ironic_faction_liu_shan_gathering
ironic_faction_guan_yu_gathering	ironic_faction_guan_yu_gathering
ironic_faction_zu_lang_gathering	ironic_faction_zu_lang_gathering
ironic_faction_zhu_jun_gathering	ironic_faction_zhu_jun_gathering
3k_main_political_party_wu_jing_190	3k_main_political_party_wu_jing_190
3k_main_political_party_wang_sheng_190	3k_main_political_party_wang_sheng_190
3k_main_political_party_tong_zhi_190	3k_main_political_party_tong_zhi_190
3k_main_political_party_liu_xun_190	3k_main_political_party_liu_xun_190
ironic_faction_yellow_turban_wu_huan_190	ironic_faction_yellow_turban_wu_huan_190
3k_main_political_party_fei_zhan_190	3k_main_political_party_fei_zhan_190
3k_main_political_party_su_dai_190	3k_main_political_party_su_dai_190
3k_main_political_party_you_tu_190	3k_main_political_party_you_tu_190
3k_main_political_party_pan_lin_190	3k_main_political_party_pan_lin_190
3k_main_political_party_zu_lang_190	3k_main_political_party_zu_lang_190
3k_main_political_party_zhao_wei_190	3k_main_political_party_zhao_wei_190
3k_main_political_party_ni_xiaode_190	3k_main_political_party_ni_xiaode_190
3k_main_political_party_buyeo_190	3k_main_political_party_buyeo_190
3k_main_political_party_gaya_190	3k_main_political_party_gaya_190
3k_main_political_party_korea_ye_190	3k_main_political_party_korea_ye_190
3k_main_political_party_tamno_190	3k_main_political_party_tamno_190
3k_main_political_party_hu_mao_190	3k_main_political_party_hu_mao_190
