key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
3k_main_political_party_faction_nanman_yunnan_190	3k_dlc06_template_generic_nanman_common_metal_02	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_ahuinan_190	3k_dlc06_template_historical_ahuinan_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_mangyachang_190	3k_dlc06_template_historical_mangyachang_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_zangke_190	3k_dlc06_template_generic_nanman_common_earth_01	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_jinhuansanjie_190	3k_dlc06_template_historical_jinhuansanjie_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_dongtuna_190	3k_dlc06_template_historical_dongtuna_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_tu_an_190	3k_dlc06_template_historical_tu_an_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_xi_ni_190	3k_dlc06_template_historical_xi_ni_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_king_wutugu_190	3k_dlc06_template_historical_king_wutugu_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_jiaozhi_190	3k_dlc06_template_generic_nanman_common_water_02	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_yang_feng_190	3k_dlc06_template_historical_yang_feng_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_king_duosi_190	3k_dlc06_template_historical_king_duosi_hero_nanman	faction_leader	3k_dlc06_hero_nanman	
3k_main_political_party_faction_nanman_yongchang_190	3k_dlc06_template_generic_nanman_common_fire_02	faction_leader	3k_dlc06_hero_nanman	
ironic_faction_cao_ren_gathering	3k_main_template_historical_cao_ren_hero_earth	faction_leader		
ironic_faction_ma_chao_gathering	3k_main_template_historical_ma_chao_hero_fire	faction_leader		
ironic_faction_sun_quan_gathering	3k_main_template_historical_sun_quan_hero_earth	faction_leader		
ironic_faction_xiahou_yuan_gathering	3k_main_template_historical_xiahou_yuan_hero_fire	faction_leader		
ironic_faction_zhang_liao_gathering	3k_main_template_historical_zhang_liao_hero_metal	faction_leader		
ironic_faction_chen_lan_gathering	3k_main_template_historical_chen_lan_hero_wood	faction_leader		
ironic_faction_yellow_turban_xu_he_gathering	3k_ytr_template_historical_xu_he_hero_metal	faction_leader		
ironic_faction_zhou_yu_gathering	3k_main_template_historical_zhou_yu_hero_water	faction_leader		
ironic_faction_zhong_yao_gathering	3k_main_template_historical_zhong_yao_hero_water	faction_leader		
ironic_faction_du_ji_gathering	3k_main_template_historical_du_ji_hero_fire	faction_leader		
ironic_faction_zhuge_liang_gathering	3k_main_template_historical_zhuge_liang_hero_water	faction_leader		
ironic_faction_han_xuan_gathering	ironic_template_historical_han_xuan_hero_water	faction_leader		
ironic_faction_liu_du_gathering	ironic_template_historical_liu_du_hero_water	faction_leader		
ironic_faction_zhao_fan_gathering	ironic_template_historical_zhao_fan_hero_water	faction_leader		
ironic_faction_sun_ben_gathering	ironic_template_historical_sun_ben_hero_fire	faction_leader		
ironic_faction_lei_xu_gathering	ironic_template_historical_lei_xu_hero_metal	faction_leader		
ironic_faction_liu_shan_gathering	3k_main_template_historical_liu_shan_hero_earth	faction_leader		
ironic_faction_guan_yu_gathering	3k_main_template_historical_guan_yu_hero_wood	faction_leader		
ironic_faction_zu_lang_gathering	ironic_template_historical_zu_lang_hero_wood	faction_leader	3k_main_hero_wood	ironic_zu_lang_independence_effect_bundle
ironic_faction_zhu_jun_gathering	3k_main_template_historical_zhu_jun_hero_fire	faction_leader		
3k_main_political_party_wu_jing_190	3k_main_template_historical_wu_jing_hero_fire	faction_leader	3k_main_hero_fire	ironic_family_persistence_effect_bundle
3k_main_political_party_wang_sheng_190	ironic_template_historical_wang_sheng_hero_earth	faction_leader	3k_main_hero_earth	ironic_languor_effect_bundle
3k_main_political_party_tong_zhi_190	ironic_template_historical_tong_zhi_hero_water	faction_leader	3k_main_hero_strategist_water	
3k_main_political_party_liu_xun_190	3k_dlc04_template_historical_liu_xun_fire	faction_leader	3k_main_hero_fire	
ironic_faction_yellow_turban_wu_huan_190	3k_main_template_historical_wu_huan_hero_metal	faction_leader	3k_ytr_hero_scholar	ironic_wu_huan_resource_desc
3k_main_political_party_fei_zhan_190	ironic_template_historical_fei_zhan_hero_fire	faction_leader		
3k_main_political_party_su_dai_190	ironic_template_historical_su_dai_hero_wood	faction_leader	3k_main_hero_wood	ep_frontend_leader_prince_of_changsha_specialisation
3k_main_political_party_you_tu_190	3k_main_template_historical_you_tu_hero_wood	faction_leader	3k_main_hero_wood	ironic_enforcement_effect_bundle
3k_main_political_party_pan_lin_190	3k_dlc05_template_historical_pan_lin_hero_water	faction_leader		
3k_main_political_party_zu_lang_190	ironic_template_historical_zu_lang_hero_wood	faction_leader	3k_main_hero_wood	ironic_zu_lang_independence_effect_bundle
3k_main_political_party_zhao_wei_190	3k_main_template_historical_zhao_wei_hero_water	faction_leader	3k_main_hero_strategist_water	ep_frontend_leader_prince_of_chengdu_specialisation
3k_main_political_party_ni_xiaode_190	ironic_template_historical_ni_xiaode_hero_fire	faction_leader	3k_main_hero_fire	ep_frontend_leader_prince_of_hejian_specialisation
3k_main_political_party_buyeo_190	ironic_template_historical_ganwigeo_hero_fire	faction_leader	3k_main_hero_fire	
3k_main_political_party_gaya_190	ironic_template_historical_kim_suro_hero_earth	faction_leader	3k_main_hero_earth	
3k_main_political_party_korea_ye_190	ironic_template_historical_yeonbul_hero_metal	faction_leader	3k_main_hero_metal	
3k_main_political_party_tamno_190	ironic_template_historical_munseong_hero_water	faction_leader	3k_main_hero_strategist_water	
3k_main_political_party_hu_mao_190	3k_dlc05_template_historical_hu_mao_hero_metal	faction_leader		
