key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
3k_main_template_historical_zhang_he_hero_fire	3k_main_template_historical_zhang_he_hero_fire			
3k_main_template_historical_xun_yu_hero_water	3k_main_template_historical_xun_yu_hero_water			
3k_main_template_generated_han_tong_hero_wood	3k_main_template_generated_han_tong_hero_wood			
3k_main_template_historical_han_hao_hero_wood	3k_main_template_historical_han_hao_hero_wood			
3k_mtu_template_historical_lady_wang_liting_hero_metal	3k_mtu_template_historical_lady_wang_liting_hero_metal			
3k_main_template_generated_lady_wang_fangyue_hero_water	3k_main_template_generated_lady_wang_fangyue_hero_water			
3k_main_template_historical_sui_gu_hero_metal	3k_main_template_historical_sui_gu_hero_metal			
3k_main_template_historical_yang_chou_hero_water	3k_main_template_historical_yang_chou_hero_water			
3k_main_template_generated_lady_zhang_yanyan_hero_earth	3k_main_template_generated_lady_zhang_yanyan_hero_earth			
3k_main_template_historical_xu_huang_hero_metal	3k_main_template_historical_xu_huang_hero_metal			
3k_dlc05_template_historical_zhang_fang_hero_earth	3k_dlc05_template_historical_zhang_fang_hero_earth			
3k_main_template_historical_yu_du_hero_fire	3k_main_template_historical_yu_du_hero_fire			
3k_main_template_historical_wang_dang_hero_water	3k_main_template_historical_wang_dang_hero_water			
3k_main_template_historical_gongsun_xu_hero_metal	3k_main_template_historical_gongsun_xu_hero_metal			
3k_main_template_historical_yan_gang_hero_metal	3k_main_template_historical_yan_gang_hero_metal			
3k_main_template_historical_gongsun_gong_hero_earth	3k_main_template_historical_gongsun_gong_hero_earth			
3k_main_template_historical_gongsun_kang_hero_earth	3k_main_template_historical_gongsun_kang_hero_earth			
3k_main_template_generated_lady_gongsun_tingping_hero_metal	3k_main_template_generated_lady_gongsun_tingping_hero_metal			
3k_main_template_historical_liang_mao_hero_water	3k_main_template_historical_liang_mao_hero_water			
3k_main_template_historical_shi_yi_hero_water	3k_main_template_historical_shi_yi_hero_water			
3k_main_template_historical_sun_shao_hero_metal	3k_main_template_historical_sun_shao_hero_metal			
3k_main_template_historical_wang_xiu_hero_earth	3k_main_template_historical_wang_xiu_hero_earth			
3k_main_template_historical_zheng_yan_hero_wood	3k_main_template_historical_zheng_yan_hero_wood			
3k_dlc04_template_historical_chen_deng_yuanlong_water	3k_dlc04_template_historical_chen_deng_yuanlong_water			
3k_dlc04_template_historical_chen_su_water	3k_dlc04_template_historical_chen_su_water			
ironic_template_historical_sun_guan_hero_wood	ironic_template_historical_sun_guan_hero_wood			
3k_main_template_historical_yu_jin_hero_metal	3k_main_template_historical_yu_jin_hero_metal			
3k_main_template_historical_bao_xin_hero_metal	3k_main_template_historical_bao_xin_hero_metal			
3k_main_template_historical_cheng_yu_hero_water	3k_main_template_historical_cheng_yu_hero_water			
3k_main_template_historical_bao_xun_hero_water	3k_main_template_historical_bao_xun_hero_water			
3k_main_template_historical_tao_ying_hero_wood	3k_main_template_historical_tao_ying_hero_wood			
3k_main_template_historical_zang_ba_hero_wood	3k_main_template_historical_zang_ba_hero_wood			
3k_main_template_historical_mi_zhu_hero_water	3k_main_template_historical_mi_zhu_hero_water			
3k_main_template_historical_sun_qian_hero_water	3k_main_template_historical_sun_qian_hero_water			
3k_main_template_generated_ze_bu_hero_wood	3k_main_template_generated_ze_bu_hero_wood			
3k_main_template_generated_lady_ze_yue_hero_metal	3k_main_template_generated_lady_ze_yue_hero_metal			
3k_main_template_generated_lady_ze_ningqin_hero_metal	3k_main_template_generated_lady_ze_ningqin_hero_metal			
3k_main_template_historical_zhang_miao_hero_water	3k_main_template_historical_zhang_miao_hero_water			
3k_main_template_historical_zang_hong_hero_metal	3k_main_template_historical_zang_hong_hero_metal			
3k_main_template_generated_lady_zhang_zhumeng_hero_metal	3k_main_template_generated_lady_zhang_zhumeng_hero_metal			
3k_main_template_historical_huang_she_hero_metal	3k_main_template_historical_huang_she_hero_metal			
3k_main_template_historical_zhang_hu_hero_metal	3k_main_template_historical_zhang_hu_hero_metal			
3k_main_template_historical_su_fei_hero_fire	3k_main_template_historical_su_fei_hero_fire			
ironic_template_historical_huang_chengyan_hero_water	ironic_template_historical_huang_chengyan_hero_water			
3k_main_template_historical_lady_huang_yueying_hero_wood	3k_main_template_historical_lady_huang_yueying_hero_wood			
3k_main_template_historical_cai_he_hero_metal	3k_main_template_historical_cai_he_hero_metal			
ironic_template_historical_chen_ying_z_hero_fire	ironic_template_historical_chen_ying_z_hero_fire			
3k_main_template_historical_zhang_yun_hero_water	3k_main_template_historical_zhang_yun_hero_water			
ironic_template_historical_zhao_fan_hero_water	ironic_template_historical_zhao_fan_hero_water			
3k_main_template_historical_liu_qi_hero_earth	3k_main_template_historical_liu_qi_hero_earth			
3k_main_template_historical_liu_cong_hero_earth	3k_main_template_historical_liu_cong_hero_earth			
3k_main_template_historical_kuai_liang_hero_water	3k_main_template_historical_kuai_liang_hero_water			
3k_main_template_historical_kuai_yue_hero_water	3k_main_template_historical_kuai_yue_hero_water			
3k_main_template_historical_zhang_fu_hero_wood	3k_main_template_historical_zhang_fu_hero_wood			
ironic_template_historical_zhang_wei_hero_earth	ironic_template_historical_zhang_wei_hero_earth			
3k_main_template_historical_yang_bo_hero_metal	3k_main_template_historical_yang_bo_hero_metal			
3k_main_template_historical_yan_pu_hero_water	3k_main_template_historical_yan_pu_hero_water			
3k_main_template_historical_chen_chao_hero_fire	3k_main_template_historical_chen_chao_hero_fire			
3k_main_template_historical_ren_qi_hero_fire	3k_main_template_historical_ren_qi_hero_fire			
3k_main_template_historical_zhao_wei_hero_water	3k_main_template_historical_zhao_wei_hero_water			
3k_main_template_generated_lady_jia_minxiang_hero_earth	3k_main_template_generated_lady_jia_minxiang_hero_earth			
ironic_template_historical_wu_kuang_hero_metal	ironic_template_historical_wu_kuang_hero_metal			
3k_main_template_historical_zhang_ren_hero_fire	3k_main_template_historical_zhang_ren_hero_fire			
ironic_template_historical_yan_yan_hero_metal	ironic_template_historical_yan_yan_hero_metal			
3k_main_template_historical_lu_xun_hero_water	3k_main_template_historical_lu_xun_hero_water			
3k_dlc04_template_historical_lu_jun_jicai_earth	3k_dlc04_template_historical_lu_jun_jicai_earth			
3k_dlc04_template_historical_lu_jun_earth	3k_dlc04_template_historical_lu_jun_earth			
3k_dlc04_template_historical_lu_shang_fire	3k_dlc04_template_historical_lu_shang_fire			
3k_main_template_generated_han_xin_hero_fire	3k_main_template_generated_han_xin_hero_fire			
3k_main_template_historical_ma_wan_hero_fire	3k_main_template_historical_ma_wan_hero_fire			
3k_main_template_historical_cheng_yi_hero_wood	3k_main_template_historical_cheng_yi_hero_wood			
3k_main_template_historical_liang_xing_hero_metal	3k_main_template_historical_liang_xing_hero_metal			
ironic_template_historical_chen_dao_hero_earth	ironic_template_historical_chen_dao_hero_earth			
ironic_template_historical_gan_ji_hero_metal	ironic_template_historical_gan_ji_hero_metal			
ironic_template_romance_zhang_gong_hero_wood	ironic_template_romance_zhang_gong_hero_wood			
ironic_template_romance_yang_feng_hero_fire	ironic_template_romance_yang_feng_hero_fire			
ironic_template_romance_su_ze_hero_water	ironic_template_romance_su_ze_hero_water			
ironic_template_historical_huang_hua_hero_earth	ironic_template_historical_huang_hua_hero_earth			
ironic_template_historical_zhao_ang_hero_water	ironic_template_historical_zhao_ang_hero_water			
3k_main_template_historical_wang_yi_hero_earth	3k_main_template_historical_wang_yi_hero_earth			
ironic_template_historical_wei_kang_hero_earth	ironic_template_historical_wei_kang_hero_earth			
ironic_template_historical_pang_yu_hero_wood	ironic_template_historical_pang_yu_hero_wood			
ironic_template_historical_zhao_e_hero_metal	ironic_template_historical_zhao_e_hero_metal			
3k_main_template_historical_zhang_meng_hero_fire	3k_main_template_historical_zhang_meng_hero_fire			
3k_ytr_template_historical_han_xian_hero_water	3k_ytr_template_historical_han_xian_hero_water			
ironic_template_historical_budugen_hero_metal	ironic_template_historical_budugen_hero_metal			
ironic_template_historical_chenglugui_hero_metal	ironic_template_historical_chenglugui_hero_metal			
ironic_template_historical_fulohan_hero_metal	ironic_template_historical_fulohan_hero_metal			
ironic_template_historical_kebineng_hero_metal	ironic_template_historical_kebineng_hero_metal			
ironic_template_historical_mohuba_hero_metal	ironic_template_historical_mohuba_hero_metal			
ironic_template_historical_qlianman_hero_metal	ironic_template_historical_qlianman_hero_metal			
ironic_template_historical_Suli_hero_metal	ironic_template_historical_Suli_hero_metal			
ironic_template_historical_tufa_pigu_hero_metal	ironic_template_historical_tufa_pigu_hero_metal			
ironic_template_historical_mike_hero_metal	ironic_template_historical_mike_hero_metal			
ironic_template_historical_jueji_hero_metal	ironic_template_historical_jueji_hero_metal			
ironic_template_historical_agui_hero_wood	ironic_template_historical_agui_hero_wood			
ironic_template_fictional_lady_yang_hero_wood	ironic_template_fictional_lady_yang_hero_wood			
ironic_template_historical_qiang_duan_hero_wood	ironic_template_historical_qiang_duan_hero_wood			
ironic_template_historical_yang_qianwan_hero_wood	ironic_template_historical_yang_qianwan_hero_wood			
ironic_template_historical_lu_qian_hero_metal	ironic_template_historical_lu_qian_hero_metal			
3k_main_template_historical_liu_shang_hero_metal	3k_main_template_historical_liu_shang_hero_metal			
3k_main_template_historical_xue_li_hero_metal	3k_main_template_historical_xue_li_hero_metal			
3k_main_template_generated_lady_liu_pingming_hero_metal	3k_main_template_generated_lady_liu_pingming_hero_metal			
ironic_template_historical_zhang_ying_hero_wood	ironic_template_historical_zhang_ying_hero_wood			
3k_main_template_historical_liu_ji_hero_fire	3k_main_template_historical_liu_ji_hero_fire			
3k_main_template_generated_lady_liu_jiejie_hero_earth	3k_main_template_generated_lady_liu_jiejie_hero_earth			
3k_main_template_historical_chen_heng_hero_metal	3k_main_template_historical_chen_heng_hero_metal			
3k_main_template_historical_liu_shao_hero_wood	3k_main_template_historical_liu_shao_hero_wood			
3k_main_template_historical_gao_dai_hero_water	3k_main_template_historical_gao_dai_hero_water			
3k_main_template_historical_xu_gong_hero_fire	3k_main_template_historical_xu_gong_hero_fire			
3k_main_template_historical_xu_zhao_hero_earth	3k_main_template_historical_xu_zhao_hero_earth			
ironic_template_historical_kuang_gan_hero_water	ironic_template_historical_kuang_gan_hero_water			
ironic_template_historical_xie_mi_hero_water	ironic_template_historical_xie_mi_hero_water			
ironic_template_historical_xu_sheng_hero_earth	ironic_template_historical_xu_sheng_hero_earth			
ironic_template_historical_rong_fang_hero_earth	ironic_template_historical_rong_fang_hero_earth			
3k_main_template_historical_ling_tong_hero_wood	3k_main_template_historical_ling_tong_hero_wood			
3k_main_template_historical_zhu_huan_hero_fire	3k_main_template_historical_zhu_huan_hero_fire			
3k_main_template_historical_pan_zhang_hero_fire	3k_main_template_historical_pan_zhang_hero_fire			
ironic_template_historical_xu_kun_hero_wood	ironic_template_historical_xu_kun_hero_wood			
3k_main_template_historical_ling_cao_hero_fire	3k_main_template_historical_ling_cao_hero_fire			
ironic_template_historical_sun_shi_hero_earth	ironic_template_historical_sun_shi_hero_earth			
3k_main_template_historical_yu_fan_hero_water	3k_main_template_historical_yu_fan_hero_water			
3k_main_template_historical_bu_zhi_hero_fire	3k_main_template_historical_bu_zhi_hero_fire			
3k_main_template_historical_he_qi_hero_fire	3k_main_template_historical_he_qi_hero_fire			
3k_main_template_generated_lady_wang_qinmeng_hero_earth	3k_main_template_generated_lady_wang_qinmeng_hero_earth			
3k_main_template_historical_gu_yong_hero_water	3k_main_template_historical_gu_yong_hero_water			
3k_main_template_historical_dong_xi_hero_fire	3k_main_template_historical_dong_xi_hero_fire			
3k_dlc05_template_historical_zhou_bo_hero_earth	3k_dlc05_template_historical_zhou_bo_hero_earth			
ironic_template_historical_yan_lan_hero_water	ironic_template_historical_yan_lan_hero_water			
ironic_template_historical_zhuang_zhen_hero_wood	ironic_template_historical_zhuang_zhen_hero_wood			
3k_dlc05_template_historical_huanglong_luo_hero_fire	3k_dlc05_template_historical_huanglong_luo_hero_fire			
ironic_template_historical_yan_xia_hero_metal	ironic_template_historical_yan_xia_hero_metal			
3k_main_template_historical_kan_ze_hero_water	3k_main_template_historical_kan_ze_hero_water			
ironic_template_historical_zhu_lian_hero_metal	ironic_template_historical_zhu_lian_hero_metal			
ironic_template_historical_zhu_min_hero_earth	ironic_template_historical_zhu_min_hero_earth			
3k_main_template_historical_lu_dai_hero_fire	3k_main_template_historical_lu_dai_hero_fire			
ironic_template_historical_zu_ting_hero_wood	ironic_template_historical_zu_ting_hero_wood			
ironic_template_historical_zu_cui_hero_water	ironic_template_historical_zu_cui_hero_water			
ironic_template_historical_ouhou_cai_hero_metal	ironic_template_historical_ouhou_cai_hero_metal			
3k_main_template_historical_zou_lin_hero_wood	3k_main_template_historical_zou_lin_hero_wood			
ironic_template_historical_ke_wu_hero_fire	ironic_template_historical_ke_wu_hero_fire			
ironic_template_historical_dang_lianhua_hero_earth	ironic_template_historical_dang_lianhua_hero_earth			
ironic_template_historical_guo_xian_hero_metal	ironic_template_historical_guo_xian_hero_metal			
ironic_template_historical_yang_kui_hero_earth	ironic_template_historical_yang_kui_hero_earth			
ironic_template_historical_hua_ji_hero_wood	ironic_template_historical_hua_ji_hero_wood			
3k_main_template_historical_zheng_tai_hero_water	3k_main_template_historical_zheng_tai_hero_water			
ironic_template_historical_teng_ling_hero_earth	ironic_template_historical_teng_ling_hero_earth			
ironic_template_historical_jiang_gan_hero_water	ironic_template_historical_jiang_gan_hero_water			
ironic_template_historical_sima_hui_hero_water	ironic_template_historical_sima_hui_hero_water			
3k_main_template_historical_zhuge_jin_hero_water	3k_main_template_historical_zhuge_jin_hero_water			
3k_main_template_historical_zhuge_dan_hero_fire	3k_main_template_historical_zhuge_dan_hero_fire			
ironic_template_historical_puyang_lian_hero_earth	ironic_template_historical_puyang_lian_hero_earth			
3k_main_template_historical_zhuge_liang_hero_water	3k_main_template_historical_zhuge_liang_hero_water			
ironic_template_historical_pang_degong_hero_earth	ironic_template_historical_pang_degong_hero_earth			
ironic_template_historical_qu_chuntao_hero_water	ironic_template_historical_qu_chuntao_hero_water			
ironic_template_historical_tong_jie_hero_metal	ironic_template_historical_tong_jie_hero_metal			
ironic_template_historical_tong_yin_hero_fire	ironic_template_historical_tong_yin_hero_fire			
ironic_template_historical_ke_ren_hero_metal	ironic_template_historical_ke_ren_hero_metal			
ironic_template_historical_wan_bing_hero_metal	ironic_template_historical_wan_bing_hero_metal			
3k_dlc07_template_generated_chen_bai_hero_earth	3k_dlc07_template_generated_chen_bai_hero_earth			
3k_dlc06_template_historical_cheng_bing_hero_water	3k_dlc06_template_historical_cheng_bing_hero_water			
3k_main_template_historical_xue_zong_hero_water	3k_main_template_historical_xue_zong_hero_water			
ironic_template_historical_lai_xun_hero_water	ironic_template_historical_lai_xun_hero_water			
ironic_template_historical_wu_chen_hero_wood	ironic_template_historical_wu_chen_hero_wood			
ironic_template_historical_pan_juan_hero_water	ironic_template_historical_pan_juan_hero_water			
ironic_template_historical_pan_shun_hero_wood	ironic_template_historical_pan_shun_hero_wood			
ironic_template_historical_liu_ai_hero_metal	ironic_template_historical_liu_ai_hero_metal			
3k_dlc04_template_historical_lady_wang_song_water	3k_dlc04_template_historical_lady_wang_song_water			
3k_main_template_historical_li_shu_hero_water	3k_main_template_historical_li_shu_hero_water			
3k_main_template_historical_jiang_qin_hero_fire	3k_main_template_historical_jiang_qin_hero_fire			
3k_main_template_historical_liu_ye_hero_water	3k_main_template_historical_liu_ye_hero_water			
ironic_template_historical_liu_xian_ironic_hero_fire	ironic_template_historical_liu_xian_ironic_hero_fire			
ironic_template_historical_liu_du_hero_water	ironic_template_historical_liu_du_hero_water			
3k_main_template_historical_li_yan_hero_fire	3k_main_template_historical_li_yan_hero_fire			
3k_main_template_historical_du_ji_hero_fire	3k_main_template_historical_du_ji_hero_fire			
3k_main_template_historical_xiang_chong_hero_fire	3k_main_template_historical_xiang_chong_hero_fire			
3k_main_template_historical_liu_ba_hero_water	3k_main_template_historical_liu_ba_hero_water			
ironic_template_historical_xing_daorong_ironic_hero_wood	ironic_template_historical_xing_daorong_ironic_hero_wood			
3k_main_template_historical_wang_xiang_hero_water	3k_main_template_historical_wang_xiang_hero_water			
3k_main_template_historical_han_ji_hero_water	3k_main_template_historical_han_ji_hero_water			
ironic_template_historical_nangong_xinyu_hero_water	ironic_template_historical_nangong_xinyu_hero_water			
ironic_template_historical_nangong_zixiao_hero_wood	ironic_template_historical_nangong_zixiao_hero_wood			
3k_main_template_historical_pan_jun_hero_fire	3k_main_template_historical_pan_jun_hero_fire			
3k_main_template_historical_jiang_wan_hero_earth	3k_main_template_historical_jiang_wan_hero_earth			
3k_main_template_historical_jin_xuan_hero_earth	3k_main_template_historical_jin_xuan_hero_earth			
3k_main_template_historical_huan_lin_hero_wood	3k_main_template_historical_huan_lin_hero_wood			
3k_main_template_historical_zhang_min_hero_water	3k_main_template_historical_zhang_min_hero_water			
3k_dlc06_template_historical_shi_xin_hero_wood	3k_dlc06_template_historical_shi_xin_hero_wood			
3k_main_template_historical_shi_yi_hero_metal	3k_main_template_historical_shi_yi_hero_metal			
3k_main_template_historical_shi_hui_hero_earth	3k_main_template_historical_shi_hui_hero_earth			
ironic_template_historical_shi_fen_hero_water	ironic_template_historical_shi_fen_hero_water			
3k_main_template_generated_lady_shi_jiejin_hero_water	3k_main_template_generated_lady_shi_jiejin_hero_water			
3k_main_template_historical_huan_zhi_hero_wood	3k_main_template_historical_huan_zhi_hero_wood			
3k_mtu_template_historical_lady_trieu_hero_wood	3k_mtu_template_historical_lady_trieu_hero_wood			
ironic_template_historical_liu_he_hero_earth	ironic_template_historical_liu_he_hero_earth			
3k_main_template_historical_ma_liang_hero_water	3k_main_template_historical_ma_liang_hero_water			
3k_main_template_historical_ma_su_hero_water	3k_main_template_historical_ma_su_hero_water			
3k_main_template_historical_gao_pei_hero_fire	3k_main_template_historical_gao_pei_hero_fire			
3k_main_template_historical_zhang_song_hero_water	3k_main_template_historical_zhang_song_hero_water			
ironic_template_historical_leng_bao_hero_wood	ironic_template_historical_leng_bao_hero_wood			
ironic_template_historical_linghu_na_hero_earth	ironic_template_historical_linghu_na_hero_earth			
3k_main_template_historical_wang_fu_hero_water	3k_main_template_historical_wang_fu_hero_water			
3k_main_template_historical_wang_shi_hero_fire	3k_main_template_historical_wang_shi_hero_fire			
3k_main_template_historical_yong_kai_hero_fire	3k_main_template_historical_yong_kai_hero_fire			
ironic_template_historical_ma_zhong_hero_wood	ironic_template_historical_ma_zhong_hero_wood			
3k_dlc07_template_generated_lady_liu_zhang_water	3k_dlc07_template_generated_lady_liu_zhang_water			
3k_dlc07_template_generated_liu_xun_metal	3k_dlc07_template_generated_liu_xun_metal			
3k_dlc07_template_historical_liu_mao_hero_water	3k_dlc07_template_historical_liu_mao_hero_water			
3k_main_template_generated_lady_liu_mengan_hero_water	3k_main_template_generated_lady_liu_mengan_hero_water			
3k_main_template_historical_huang_quan_hero_fire	3k_main_template_historical_huang_quan_hero_fire			
3k_main_template_historical_lei_tong_hero_fire	3k_main_template_historical_lei_tong_hero_fire			
3k_main_template_historical_liu_zhang_hero_earth	3k_main_template_historical_liu_zhang_hero_earth			
3k_main_template_historical_peng_yang_hero_water	3k_main_template_historical_peng_yang_hero_water			
3k_main_template_historical_wang_lei_hero_water	3k_main_template_historical_wang_lei_hero_water			
3k_main_template_historical_wu_lan_hero_fire	3k_main_template_historical_wu_lan_hero_fire			
3k_main_template_historical_wu_yi_hero_fire	3k_main_template_historical_wu_yi_hero_fire			
3k_main_template_historical_zhu_gui_hero_water	3k_main_template_historical_zhu_gui_hero_water			
ironic_template_historical_fei_yi_hero_earth	ironic_template_historical_fei_yi_hero_earth			
ironic_template_historical_lady_wu_xian	ironic_template_historical_lady_wu_xian			
ironic_template_historical_liu_gui_hero_wood	ironic_template_historical_liu_gui_hero_wood			
ironic_template_historical_wu_ban_hero_fire	ironic_template_historical_wu_ban_hero_fire			
ironic_template_historical_zhang_ni_hero_wood	ironic_template_historical_zhang_ni_hero_wood			
ironic_template_historical_zhang_yi_hero_metal	ironic_template_historical_zhang_yi_hero_metal			
ironic_template_historical_cao_anmin_hero_water	ironic_template_historical_cao_anmin_hero_water			
3k_main_template_historical_cao_xiu_hero_fire	3k_main_template_historical_cao_xiu_hero_fire			
ironic_template_historical_xi_zhicai_hero_water	ironic_template_historical_xi_zhicai_hero_water			
ironic_template_historical_lady_xiahou_hero_water	ironic_template_historical_lady_xiahou_hero_water			
3k_dlc04_template_historical_cao_de_earth	3k_dlc04_template_historical_cao_de_earth			
ironic_template_historical_cao_qinghe_hero_earth	ironic_template_historical_cao_qinghe_hero_earth			
3k_main_template_historical_cao_ren_hero_earth	3k_main_template_historical_cao_ren_hero_earth			
3k_main_template_historical_cao_zhen_hero_earth	3k_main_template_historical_cao_zhen_hero_earth			
3k_main_template_historical_cao_zhang_hero_wood	3k_main_template_historical_cao_zhang_hero_wood			
ironic_template_historical_wen_qin_hero_earth	ironic_template_historical_wen_qin_hero_earth			
3k_main_template_historical_cao_pi_hero_earth	3k_main_template_historical_cao_pi_hero_earth			
3k_main_template_historical_cao_ang_hero_wood	3k_main_template_historical_cao_ang_hero_wood			
3k_main_template_historical_xiahou_ba_hero_fire	3k_main_template_historical_xiahou_ba_hero_fire			
3k_main_template_historical_li_dian_hero_metal	3k_main_template_historical_li_dian_hero_metal			
3k_main_template_historical_cao_song_hero_earth	3k_main_template_historical_cao_song_hero_earth			
3k_main_template_historical_lady_bian_huilan_hero_wood	3k_main_template_historical_lady_bian_huilan_hero_wood			
ironic_template_historical_zu_mao_hero_wood	ironic_template_historical_zu_mao_hero_wood			
ironic_template_historical_sun_shao_hero_fire	ironic_template_historical_sun_shao_hero_fire			
ironic_template_historical_sun_lang_hero_fire	ironic_template_historical_sun_lang_hero_fire			
ironic_template_historical_sun_kuang_hero_earth	ironic_template_historical_sun_kuang_hero_earth			
ironic_template_historical_sun_jing_hero_wood	ironic_template_historical_sun_jing_hero_wood			
ironic_template_historical_sun_hao_hero_water	ironic_template_historical_sun_hao_hero_water			
ironic_template_historical_sun_fu_hero_earth	ironic_template_historical_sun_fu_hero_earth			
ironic_template_historical_sun_ben_hero_fire	ironic_template_historical_sun_ben_hero_fire			
3k_mtu_template_historical_lady_wu_minyu_hero_earth	3k_mtu_template_historical_lady_wu_minyu_hero_earth			
3k_main_template_historical_zhu_zhi_hero_metal	3k_main_template_historical_zhu_zhi_hero_metal			
3k_main_template_historical_zhu_ran_hero_fire	3k_main_template_historical_zhu_ran_hero_fire			
3k_main_template_historical_sun_yu_hero_fire	3k_main_template_historical_sun_yu_hero_fire			
3k_main_template_historical_sun_yi_hero_fire	3k_main_template_historical_sun_yi_hero_fire			
3k_main_template_historical_sun_jiao_hero_fire	3k_main_template_historical_sun_jiao_hero_fire			
3k_main_template_historical_sun_he_hero_fire	3k_main_template_historical_sun_he_hero_fire			
3k_main_template_historical_lu_su_hero_water	3k_main_template_historical_lu_su_hero_water			
3k_main_template_historical_lu_fan_hero_water	3k_main_template_historical_lu_fan_hero_water			
3k_main_template_historical_han_dang_hero_fire	3k_main_template_historical_han_dang_hero_fire			
3k_main_template_historical_cheng_pu_hero_metal	3k_main_template_historical_cheng_pu_hero_metal			
3k_dlc04_template_historical_ying_xun_jiyu_fire	3k_dlc04_template_historical_ying_xun_jiyu_fire			
ironic_template_historical_song_xian_hero_metal	ironic_template_historical_song_xian_hero_metal			
ironic_template_historical_wei_xu_hero_metal	ironic_template_historical_wei_xu_hero_metal			
3k_main_template_historical_cao_xing_hero_wood	3k_main_template_historical_cao_xing_hero_wood			
3k_dlc05_template_historical_hou_cheng_hero_wood	3k_dlc05_template_historical_hou_cheng_hero_wood			
3k_main_template_historical_hao_meng_hero_fire	3k_main_template_historical_hao_meng_hero_fire			
ironic_template_historical_deng_xian_ironic_hero_wood	ironic_template_historical_deng_xian_ironic_hero_wood			
