member	player_game_difficulty_type
3k_dlc04_campaign_group_progression_group_cao_cao_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_cao_cao_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_dong_zhuo_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_empress_he_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_empress_he_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_empress_he_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_empress_he_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_empress_he_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_empress_he_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_empress_he_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_empress_he_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_empress_he_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_empress_he_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_han_chinese_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_empire_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_han_empire_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_empire_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_han_empire_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_han_empire_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_empire_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_han_empire_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_han_empire_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_han_empire_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_han_empire_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_bei_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_biao_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_liu_chong_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_lu_zhi_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_sun_jian_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_tao_qian_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_ai_easy	AI_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_ai_hard	AI_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_easy	HUMAN_IN_EASY_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_hard	HUMAN_IN_HARD_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_campaign_group_progression_group_yellow_turban_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_dlc05_campaign_group_progression_group_ai_liu_chong_easy	AI_IN_EASY_GAME
3k_dlc04_dlc05_campaign_group_progression_group_ai_liu_chong_hard	AI_IN_HARD_GAME
3k_dlc04_dlc05_campaign_group_progression_group_ai_liu_chong_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_dlc05_campaign_group_progression_group_ai_liu_chong_normal	AI_IN_NORMAL_GAME
3k_dlc04_dlc05_campaign_group_progression_group_ai_liu_chong_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_dlc05_campaign_group_progression_group_liu_chong_easy	HUMAN_IN_EASY_GAME
3k_dlc04_dlc05_campaign_group_progression_group_liu_chong_hard	HUMAN_IN_HARD_GAME
3k_dlc04_dlc05_campaign_group_progression_group_liu_chong_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_dlc05_campaign_group_progression_group_liu_chong_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_dlc05_campaign_group_progression_group_liu_chong_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_ai_easy	AI_IN_EASY_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_ai_hard	AI_IN_HARD_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_ai_legendary	AI_IN_LEGENDARY_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_ai_normal	AI_IN_NORMAL_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_human_easy	HUMAN_IN_EASY_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_human_hard	HUMAN_IN_HARD_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_human_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_human_normal	HUMAN_IN_NORMAL_GAME
3k_dlc04_main_campaign_progression_levels_liu_chong_human_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_0_to_20_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_20_to_40_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_40_to_60_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_60_to_80_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_faction_support_human_bandit_80_to_100_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_military_force_effect_own_bandits_human_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_military_force_effect_own_bandits_human_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_military_force_effect_own_bandits_human_legendary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_military_force_effect_own_bandits_human_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_military_force_effect_own_bandits_human_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_1_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_2_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_3_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_4_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_5_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_6_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_legndary	HUMAN_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_normal	HUMAN_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_7_very_hard	HUMAN_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_easy	AI_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_hard	AI_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_legndary	AI_IN_LEGENDARY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_normal	AI_IN_NORMAL_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_ai_very_hard	AI_IN_VERY_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_easy	HUMAN_IN_EASY_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_hard	HUMAN_IN_HARD_GAME
3k_dlc05_campaign_group_member_pooled_resource_reckless_luck_level_8_legndary	HUMAN_IN_LEGENDARY_GAME
