permission	permission_group
3k_main_unit_permission_technologies	ironic_zhang_xian_faction
3k_main_unit_permission_world_leader	ironic_zhang_xian_faction
ironic_zhu_fu_faction	ironic_zhu_fu_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhu_fu_faction
3k_main_unit_permission_generals	ironic_zhu_fu_faction
3k_main_unit_permission_special_character_permissions	ironic_zhu_fu_faction
3k_main_unit_permission_technologies	ironic_zhu_fu_faction
3k_main_unit_permission_world_leader	ironic_zhu_fu_faction
3k_ytr_unit_earth_yellow_turban_horsemen	ironic_wu_huan_ytr_faction
3k_ytr_unit_metal_yellow_technologies	ironic_wu_huan_ytr_faction
3k_ytr_unit_metal_yellow_turban_warriors	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_archery_masters	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_arm_of_the_supreme_peace	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_bringers_of_righteousness	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_chanters	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_default_unit_no_requirement	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_guardians_of_the_land	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_horseback_huntsmen	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_men_of_the_forest	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_militia_of_virtue	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_peoples_warband	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_reclaimers	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_scholar_warriors	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_trebuchets	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_venerable_wu	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_virtuous_noblemen	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_watchmen_of_the_peace	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_white_wave_horsemen	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_white_wave_veterans	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_yellow_sky_heralds	ironic_wu_huan_ytr_faction
3k_ytr_unit_permission_yellow_turbans_youxia	ironic_wu_huan_ytr_faction
3k_ytr_unit_water_yellow_turban_archers	ironic_wu_huan_ytr_faction
3k_ytr_unit_wood_yellow_turban_spearmen	ironic_wu_huan_ytr_faction
