permission	permission_group
3k_main_unit_permission_world_leader	ironic_zhang_chao_faction
3k_main_unit_permission_default_units_no_requirement	ironic_ying_shao_faction
3k_main_unit_permission_generals	ironic_ying_shao_faction
3k_main_unit_permission_special_character_permissions	ironic_ying_shao_faction
3k_main_unit_permission_technologies	ironic_ying_shao_faction
3k_main_unit_permission_world_leader	ironic_ying_shao_faction
3k_main_unit_permission_default_units_no_requirement	ironic_lu_kang_faction
3k_main_unit_permission_generals	ironic_lu_kang_faction
3k_main_unit_permission_special_character_permissions	ironic_lu_kang_faction
3k_main_unit_permission_technologies	ironic_lu_kang_faction
3k_main_unit_permission_world_leader	ironic_lu_kang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_ze_rong_faction
3k_main_unit_permission_generals	ironic_ze_rong_faction
3k_main_unit_permission_special_character_permissions	ironic_ze_rong_faction
3k_main_unit_permission_technologies	ironic_ze_rong_faction
3k_main_unit_permission_world_leader	ironic_ze_rong_faction
ironic_kong_zhou_faction	ironic_kong_zhou_faction
3k_main_unit_permission_default_units_no_requirement	ironic_kong_zhou_faction
3k_main_unit_permission_generals	ironic_kong_zhou_faction
3k_main_unit_permission_special_character_permissions	ironic_kong_zhou_faction
3k_main_unit_permission_technologies	ironic_kong_zhou_faction
3k_main_unit_permission_world_leader	ironic_kong_zhou_faction
ironic_xianbei_faction	ironic_xianbei_faction
ironic_di_faction	ironic_di_faction
3k_dlc05_unit_permission_bandit_network	ironic_di_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_di_faction
3k_dlc05_unit_permission_generals_bandits	ironic_di_faction
3k_main_unit_permission_special_character_permissions	ironic_di_faction
3k_main_unit_permission_world_leader	ironic_di_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_di_faction
3k_dlc05_unit_permission_bandit_network	ironic_xianbei_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_xianbei_faction
3k_dlc05_unit_permission_generals_bandits	ironic_xianbei_faction
3k_main_unit_permission_special_character_permissions	ironic_xianbei_faction
3k_main_unit_permission_world_leader	ironic_xianbei_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_xianbei_faction
ironic_tribal_units	ironic_di_faction
ironic_tribal_units	ironic_xianbei_faction
ironic_tribal_units	ironic_wuhuan_tribe_faction
ironic_tribal_units	ironic_xiongnu_unique_units
ironic_liu_yao_faction	ironic_liu_yao_faction
ironic_wu_jing_faction	ironic_wu_jing_faction
ironic_wang_lang_faction	ironic_wang_lang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_liu_yao_faction
3k_main_unit_permission_generals	ironic_liu_yao_faction
3k_main_unit_permission_special_character_permissions	ironic_liu_yao_faction
3k_main_unit_permission_technologies	ironic_liu_yao_faction
3k_main_unit_permission_world_leader	ironic_liu_yao_faction
3k_main_unit_permission_default_units_no_requirement	ironic_wu_jing_faction
3k_main_unit_permission_generals	ironic_wu_jing_faction
3k_main_unit_permission_special_character_permissions	ironic_wu_jing_faction
3k_main_unit_permission_technologies	ironic_wu_jing_faction
3k_main_unit_permission_world_leader	ironic_wu_jing_faction
3k_main_unit_permission_default_units_no_requirement	ironic_wang_lang_faction
3k_main_unit_permission_generals	ironic_wang_lang_faction
3k_main_unit_permission_special_character_permissions	ironic_wang_lang_faction
3k_main_unit_permission_technologies	ironic_wang_lang_faction
3k_main_unit_permission_world_leader	ironic_wang_lang_faction
ironic_zu_lang_faction	ironic_zu_lang_faction
ironic_tong_zhi_faction	ironic_tong_zhi_faction
ironic_wang_sheng_faction	ironic_wang_sheng_faction
ironic_hua_xin_faction	ironic_hua_xin_faction
ironic_zhu_hao_faction	ironic_zhu_hao_faction
ironic_zhuge_xuan_faction	ironic_zhuge_xuan_faction
ironic_sheng_xian_faction	ironic_sheng_xian_faction
ironic_ma_ai_faction	ironic_ma_ai_faction
ironic_handan_shang_faction	ironic_handan_shang_faction
ironic_huang_ang_faction	ironic_huang_ang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_tong_zhi_faction
3k_main_unit_permission_generals	ironic_tong_zhi_faction
3k_main_unit_permission_special_character_permissions	ironic_tong_zhi_faction
3k_main_unit_permission_technologies	ironic_tong_zhi_faction
3k_main_unit_permission_world_leader	ironic_tong_zhi_faction
3k_main_unit_permission_default_units_no_requirement	ironic_wang_sheng_faction
3k_main_unit_permission_generals	ironic_wang_sheng_faction
3k_main_unit_permission_special_character_permissions	ironic_wang_sheng_faction
3k_main_unit_permission_technologies	ironic_wang_sheng_faction
3k_main_unit_permission_world_leader	ironic_wang_sheng_faction
3k_main_unit_permission_default_units_no_requirement	ironic_hua_xin_faction
3k_main_unit_permission_generals	ironic_hua_xin_faction
3k_main_unit_permission_special_character_permissions	ironic_hua_xin_faction
3k_main_unit_permission_technologies	ironic_hua_xin_faction
3k_main_unit_permission_world_leader	ironic_hua_xin_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhu_hao_faction
3k_main_unit_permission_generals	ironic_zhu_hao_faction
3k_main_unit_permission_special_character_permissions	ironic_zhu_hao_faction
3k_main_unit_permission_technologies	ironic_zhu_hao_faction
3k_main_unit_permission_world_leader	ironic_zhu_hao_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhuge_xuan_faction
3k_main_unit_permission_generals	ironic_zhuge_xuan_faction
3k_main_unit_permission_special_character_permissions	ironic_zhuge_xuan_faction
3k_main_unit_permission_technologies	ironic_zhuge_xuan_faction
3k_main_unit_permission_world_leader	ironic_zhuge_xuan_faction
3k_main_unit_permission_default_units_no_requirement	ironic_sheng_xian_faction
3k_main_unit_permission_generals	ironic_sheng_xian_faction
3k_main_unit_permission_special_character_permissions	ironic_sheng_xian_faction
3k_main_unit_permission_technologies	ironic_sheng_xian_faction
3k_main_unit_permission_world_leader	ironic_sheng_xian_faction
3k_main_unit_permission_default_units_no_requirement	ironic_ma_ai_faction
3k_main_unit_permission_generals	ironic_ma_ai_faction
3k_main_unit_permission_special_character_permissions	ironic_ma_ai_faction
3k_main_unit_permission_technologies	ironic_ma_ai_faction
3k_main_unit_permission_world_leader	ironic_ma_ai_faction
3k_main_unit_permission_default_units_no_requirement	ironic_handan_shang_faction
3k_main_unit_permission_generals	ironic_handan_shang_faction
3k_main_unit_permission_special_character_permissions	ironic_handan_shang_faction
3k_main_unit_permission_technologies	ironic_handan_shang_faction
3k_main_unit_permission_world_leader	ironic_handan_shang_faction
3k_main_unit_permission_default_units_no_requirement	ironic_huang_ang_faction
3k_main_unit_permission_generals	ironic_huang_ang_faction
3k_main_unit_permission_special_character_permissions	ironic_huang_ang_faction
3k_main_unit_permission_technologies	ironic_huang_ang_faction
3k_main_unit_permission_world_leader	ironic_huang_ang_faction
3k_dlc05_unit_permission_bandit_network	ironic_zu_lang_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_zu_lang_faction
3k_dlc05_unit_permission_generals_bandits	ironic_zu_lang_faction
3k_main_unit_permission_special_character_permissions	ironic_zu_lang_faction
3k_main_unit_permission_world_leader	ironic_zu_lang_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_zu_lang_faction
ironic_pan_lin_faction	ironic_pan_lin_faction
3k_dlc05_unit_permission_bandit_network	ironic_pan_lin_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_pan_lin_faction
3k_dlc05_unit_permission_generals_bandits	ironic_pan_lin_faction
3k_main_unit_permission_special_character_permissions	ironic_pan_lin_faction
3k_main_unit_permission_world_leader	ironic_pan_lin_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_pan_lin_faction
ironic_you_tu_faction	ironic_you_tu_faction
3k_dlc05_unit_permission_bandit_network	ironic_you_tu_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_you_tu_faction
3k_dlc05_unit_permission_generals_bandits	ironic_you_tu_faction
3k_main_unit_permission_special_character_permissions	ironic_you_tu_faction
3k_main_unit_permission_world_leader	ironic_you_tu_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_you_tu_faction
ironic_fei_zhan_faction	ironic_fei_zhan_faction
3k_dlc05_unit_permission_bandit_network	ironic_fei_zhan_faction
3k_dlc05_unit_permission_bandits_no_requirement	ironic_fei_zhan_faction
3k_dlc05_unit_permission_generals_bandits	ironic_fei_zhan_faction
3k_main_unit_permission_special_character_permissions	ironic_fei_zhan_faction
3k_main_unit_permission_world_leader	ironic_fei_zhan_faction
3k_dlc05_unit_permission_bandits_building_units	ironic_fei_zhan_faction
ironic_zhao_wei_faction	ironic_zhao_wei_faction
3k_main_unit_permission_default_units_no_requirement	ironic_zhao_wei_faction
3k_main_unit_permission_generals	ironic_zhao_wei_faction
3k_main_unit_permission_special_character_permissions	ironic_zhao_wei_faction
3k_main_unit_permission_technologies	ironic_zhao_wei_faction
3k_main_unit_permission_world_leader	ironic_zhao_wei_faction
3k_main_unit_permission_faction_huang_zu	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_faction_cai_mao	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_default_units_no_requirement	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_generals	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_special_character_permissions	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_technologies	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_world_leader	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_default_units_no_requirement	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_generals	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_special_character_permissions	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_technologies	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_world_leader	3k_main_unit_permission_faction_cai_mao
3k_main_unit_permission_faction_liu_biao	3k_main_unit_permission_faction_huang_zu
3k_main_unit_permission_faction_liu_biao	3k_main_unit_permission_faction_cai_mao
