3k_main_effect_province_public_order_from_characters_minister	text	tooltip
effects_value_format_3k_main_skill_the_dragons_gaze		FALSE
effects_description_3k_main_effect_economy_gdp_abs_peasantry	[[b]]%+n[[/b]] income (peasantry)	FALSE
effects_description_3k_dlc05_dummy_effect_bandit_network_jing_xiangyang	[[i]]Ownership of {{tr:map_regions}} within Xiangyang will make it easier to expand your local bandit network.[[/i]]	FALSE
effects_description_3k_dummy_effect_kong_rong_monopoly_civilised	Every army reduces faction-wide trade influence by [[b]]%+n%[[/b]]	FALSE
effects_description_3k_main_skill_stifling_deluge	Ability: Stifling Deluge	FALSE
effects_value_format_3k_main_skill_stone_bulwark		FALSE
effects_description_3k_dlc05_effect_underling_limit	[[b]]%+n[[/b]] available Underling positions	FALSE
effects_value_format_3k_dlc06_skill_blow_for_blow		FALSE
effects_description_3k_main_effect_dummy_technologies_earth_eunuchs	[[col:scope_description]]This branch focuses on better overall administration.[[/col]]	FALSE
effects_description_3k_main_dummy_effect_settlement_abandoned_resource	This {{tr:map_region}} is occupied by rural communities. Improve this settlement to start exploiting its resources.	FALSE
effects_value_format_3k_dlc04_ability_way_of_great_peace		FALSE
effects_description_3k_dummy_effect_ceo_subcategory_weapon_halberd	Weapon: Ji	FALSE
effects_description_3k_dlc06_effect_dummy_technologies_unlock_conqueror	Unlock the victory option: Conqueror	FALSE
effects_value_format_3k_dlc06_effect_shamoke_conservative_court_dummy		FALSE
effects_description_3k_dlc04_frontend_description_specialisation_zhang_bao_2	[[b]]Melee damage[[/b]] for all units is increased with the resource.	FALSE
effects_value_format_ep_dyn_ability_cleansing_aura		FALSE
effects_value_format_3k_main_effect_replenishment_faction		FALSE
effects_value_format_3k_main_skill_run_speed		FALSE
effects_value_format_3k_dlc07_effect_force_army_attrition_disease		FALSE
effects_value_format_ep_effect_faction_resource_sima_jiong_control_remove		FALSE
effects_value_format_3k_ytr_ability_desperate_cry		FALSE
effects_description_3k_main_skill_final_rush	Ability: Final Rush	FALSE
effects_description_ep_dummy_effect_faction_resource_null_replenishment	No effect on replenishment	FALSE
effects_value_format_3k_main_dummy_effect_faction_unique_liu_bei_unity_reward		FALSE
effects_value_format_3k_dlc06_effect_dummy_faction_resource_lady_zhurong_wild_fire_harvest		FALSE
effects_value_format_3k_ytr_ability_one_with_the_people		FALSE
effects_value_format_3k_main_effect_province_population_attraction_from_characters		FALSE
effects_description_3k_dlc06_dummy_ancillary_stalk	Enables: Stalk	FALSE
effects_description_3k_dummy_effect_kong_rong_monopoly	Increase your trade monopoly by using the unique diplomacy option [[b]]trade monopoly[[/b]]	FALSE
effects_description_ep_dyn_ability_multishot	Ability: Multishot	FALSE
effects_value_format_3k_dummy_effect_diplomacy_yellow_turban_diplomacy		FALSE
effects_description_3k_main_effect_province_public_order_empty_reserves	[[b]]%+n[[/b]] {{tr:public_order}}	FALSE
effects_value_format_3k_main_skill_roar_of_the_beast		FALSE
effects_description_3k_main_effect_province_food_abs_characters	[[b]]%+n[[/b]] food production	FALSE
effects_value_format_3k_main_dummy_effect_progression_emperor_han		FALSE
effects_description_3k_dlc06_effect_garrison_retinue_gate_pass_nanman_05	A large garrison is stationed here to guard the pass.	FALSE
effects_description_ep_effect_province_public_order_from_forces_positive_good_dummy	[[b]]%+n[[/b]] {{tr:public_order}}	FALSE
effects_description_3k_main_skill_fire_arrows	Enables: Fire Arrows and Flaming Shot	FALSE
effects_description_3k_dlc06_effect_unit_stats_missile_defence_nanman_hidden	[[b]]%+n%[[/b]] ranged block chance	FALSE
effects_value_format_3k_dlc05_dummy_effect_bandit_network_yi_baxi		FALSE
effects_value_format_3k_main_effect_province_food_abs_eunuchs		FALSE
effects_description_3k_ytr_effect_characters_satisfaction_veteran_technologies	[[b]]%+n[[/b]] satisfaction for veterans	FALSE
effects_description_3k_dlc05_effect_bandit_network_cost_reduction_yang_kuaiji	[HIDDEN] %+n cost of establishing connections with the Pirates of Fuchun	FALSE
effects_value_format_3k_main_frontend_description_specialisation_cao_cao_4		FALSE
effects_value_format_3k_dlc04_effect_unit_stats_ranged_damage_heroes		FALSE
effects_value_format_3k_dlc05_effect_unit_cap_wood_reclaimers		FALSE
effects_value_format_ep_effect_dummy_faction_resource_sima_lun_subterfuge		FALSE
effects_value_format_ep_dyn_ability_assassinate		FALSE
effects_value_format_3k_dlc06_skill_rending_strike		FALSE
effects_description_3k_dlc04_effect_unit_stats_morale_abs_metal_units	[[b]]%+n[[/b]] morale for sword and shield infantry	FALSE
effects_value_format_3k_dlc04_effect_pooled_resource_political_influence_increase_from_assignments		FALSE
effects_value_format_3k_dlc06_dummy_effect_bandit_network_you_outer_east		FALSE
effects_value_format_3k_main_frontend_description_specialisation_yuan_shao_1		FALSE
effects_value_format_3k_main_effect_faction_undercover_network_all_factions		FALSE
effects_description_3k_dlc06_dummy_effect_unit_unlock_wolf_pack	Unlock Unit: Wolf Pack	FALSE
effects_description_3k_dlc05_dummy_effect_faction_resource_lu_bu_momentum_flaming_dragon	"[[b]]Flaming Dragon[[/b]]\\nMomentum points provide faction bonuses, as well as faction-wide army bonuses. However, they decay over time very quickly."	FALSE
effects_value_format_3k_main_effect_population_effects_public_order		FALSE
effects_description_3k_dlc06_dummy_effect_replenishment_base	[[b]]%+n%[[/b]] replenishment	FALSE
effects_description_3k_dlc07_dummy_issue_own_character_has_undesirable_traits	Character Personality Trait Re-rolled	FALSE
effects_description_3k_main_skill_swift_fingers	Ability: Swift Fingers	FALSE
effects_description_3k_dlc04_ability_lord_of_the_people	Ability: Lord of the People	FALSE
effects_description_ep_frontend_description_specialisation_prince_of_qi_1	The [[b]]faction leader[[/b]] will generate [[b]]control[[/b]] every turn just by being in office.\\n\\nMilitary success requires [[b]]victory in battle[[/b]] and suffering [[b]]fewer casualties[[/b]] than your enemies.	FALSE
effects_value_format_3k_main_faction_diplomacy_mod		FALSE
effects_value_format_3k_main_effect_characters_satisfaction_bonus_fame		FALSE
effects_description_3k_dlc05_dummy_effect_faction_resources_sun_ce_shared_expertise_court_actions	Shared expertise can be spent to instantly grant a lot of experience to one of the characters in your court.	FALSE
effects_description_3k_dlc07_effect_scheme_credibility_mod	[[b]]%+n[[/b]] credibility	FALSE
effects_value_format_3k_main_effect_force_all_campaign_stance_can_attack_dummy		FALSE
effects_description_3k_main_effect_characters_satisfaction_bonus_infrastructure	[[b]]%+n[[/b]] satisfaction	FALSE
effects_value_format_3k_dlc04_frontend_description_specialisation_zhang_bao_4		FALSE
effects_description_3k_dlc04_effect_dummy_faction_resource_liu_biao_domain_over_n_more	You currently control over %n more counties than your governance allows.\\n\\nThis will cause diplomatic penalties with Han Empire factions.	FALSE
effects_description_3k_main_frontend_description_specialisation_yuan_shao_1	"[[b]]Characters[[/b]] will periodically appear in your court, offering their services in myriad positions around your realm. "	FALSE
effects_value_format_3k_main_effect_unit_stats_unit_hit_chance		FALSE
effects_value_format_3k_dlc04_ability_lord_of_heaven		FALSE
effects_value_format_3k_main_effect_economy_trade_power		FALSE
effects_value_format_3k_main_effect_force_all_campaign_stance_ap_cost		FALSE
effects_value_format_3k_dlc07_dummy_issue_enemy_faction_leader_in_foreign_territory		FALSE
effects_description_3k_main_effect_force_military_supplies_invading_enemies	[[b]]%+n[[/b]] {{tr:military_supplies}}	FALSE
effects_value_format_3k_main_effect_province_food_mod_minister		FALSE
effects_description_3k_dlc06_dummy_effect_bandit_network_xu_xiapi	[[i]]Ownership of {{tr:map_regions}} within Xiapi will make it easier to expand your local bandit network.[[/i]]	FALSE
effects_description_ep_effect_heart_alignment_gain_hidden	[[b]]%+n[[/b]] Spirit alignment	FALSE
effects_description_3k_dlc04_ability_foresight	Ability: Foresight	FALSE
effects_description_3k_main_ancillary_ignore_forest_penalties	Enables: Ignore Forest Penalties	FALSE
effects_description_3k_main_effect_character_num_lives	[[b]]%+n[[/b]] resilience	FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_xu_donghai		FALSE
effects_description_3k_dummy_effect_ceo_subcategory_armour_ytr_wood	Armour: Veteran	FALSE
effects_value_format_3k_dlc05_effect_unit_cap_water_white_tiger_raiders		FALSE
effects_value_format_ep_dummy_effect_faction_resource_null_diplomacy		FALSE
effects_value_format_3k_main_effect_progression_effect_undercover_characters		FALSE
effects_value_format_3k_dummy_effect_ceo_subcategory_armour_ytr_metal		FALSE
effects_value_format_3k_dlc05_effect_replenishment_public_order_bandits		FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yi_baxi		FALSE
effects_value_format_ep_frontend_description_specialisation_prince_of_hejian_1		FALSE
effects_value_format_3k_dlc06_dummy_effect_unit_unlock_tiger_warriors		FALSE
effects_description_3k_dlc06_frontend_description_specialisation_nanman_king_mulu_4	King Mulu knows well how to support his people and push them to achieve their best. Mulu has access to more economic reforms before uniting the tribes and can research [[b]]Economic Reforms[[/b]] faster.	FALSE
effects_value_format_3k_dlc05_dummy_effect_lu_bu_assignments_momentum_cost		FALSE
effects_description_3k_main_dummy_effect_personality_governor_independence_increased	Increases ambition to gain independence as administrator	FALSE
effects_description_3k_main_dummy_effect_character_action_assign_as_heir	The character is assigned as heir to the faction leader	FALSE
effects_description_3k_main_effect_force_army_campaign_recruitment_cost_armour	[[b]]%+n%[[/b]] recruitment cost for melee infantry	FALSE
effects_description_3k_main_effect_characters_satisfaction_relationships_rival_in_local_region	[[b]]%+n[[/b]] satisfaction	FALSE
effects_value_format_3k_main_frontend_description_specialisation_cao_cao_2		FALSE
effects_value_format_3k_dlc05_effect_unit_cap_water_horseback_huntsmen		FALSE
effects_value_format_3k_dummy_effect_ceo_subcategory_weapon_axe_two_handed		FALSE
effects_description_3k_dlc04_effect_unit_stats_missile_block_mod_water_units	[[b]]%+n%[[/b]] ranged block chance for ranged units	FALSE
effects_description_3k_main_effect_tech_ammunition_increase_all	[[b]]%+n%[[/b]] ammunition for all units	FALSE
effects_value_format_3k_dlc06_dummy_effect_nanman_siege_actions_gain_fealty		FALSE
effects_value_format_3k_main_effect_characters_satisfaction_bonus_faction_dong_zhuo_execution		FALSE
effects_description_3k_main_effect_diplomacy_nanman_mod	[[b]]%+n[[/b]] diplomatic relations with Nanman factions	FALSE
effects_description_3k_main_effect_force_military_supplies_from_faction_support	[[b]]%+n[[/b]] {{tr:military_supplies}}	FALSE
effects_value_format_3k_dlc05_ability_analyse_weakness		FALSE
effects_description_ep_effect_dummy_faction_resource_sima_liang_demesne_equal	You currently control as many counties as your jurisdiction allows.	FALSE
effects_description_3k_dlc05_effect_bandit_network_cost_reduction_xu_donghai	[HIDDEN] %+n cost of establishing connections with the Filial and Corrupt	FALSE
effects_description_3k_main_effect_replenishment_faction_support	[[b]]%+n%[[/b]] replenishment	FALSE
effects_description_3k_dlc06_ability_off_guard	Ability: Off Guard	FALSE
effects_value_format_3k_main_effect_dummy_technologies_wood_foraging		FALSE
effects_description_3k_dlc04_effect_pooled_resource_political_influence_increase_from_infrastructure	[[b]]%+n[[/b]] political influence	FALSE
effects_value_format_3k_main_effect_unit_stats_charge_bonus_abs_wood_units		FALSE
effects_value_format_3k_dummy_effect_building_government_administration_yuan_shao		FALSE
effects_value_format_3k_main_effect_economy_gdp_mod_culture		FALSE
effects_description_ep_effect_dummy_faction_resource_sima_liang_demesne_n_more	You currently control %n more counties than your jurisdiction allows.\\n\\nYou may want to consider trading or gifting territory to your vassals or allies in diplomacy.	FALSE
effects_description_3k_main_effect_undercover_character_upkeep_cost_mod	[[b]]%+n%[[/b]] upkeep cost for new spies	FALSE
effects_value_format_3k_main_effect_characters_satisfaction_bonus_minister_skills		FALSE
effects_description_ep_effect_dummy_faction_resource_sima_liang_demesne_one_more	You currently control one more county than your jurisdiction allows.\\n\\nYou may want to consider trading or gifting territory to your vassals or allies in diplomacy.	FALSE
effects_value_format_3k_main_effect_dummy_technologies_earth_ceremonies		FALSE
effects_description_ep_effect_diplomatic_relations_all_princes	[[b]]%+n[[/b]] diplomatic relations with all factions	FALSE
effects_description_3k_main_effect_economy_character_wealth_faction_background_income_mod	[[b]]%+n%[[/b]] income from family estates	FALSE
effects_description_3k_main_skill_natures_ally	Ability: Nature's Ally	FALSE
effects_description_3k_main_effect_province_siege_tower_projectile_advanced	Improved tower projectiles	FALSE
effects_description_3k_main_effect_force_campaign_colonise_cost	[[b]]%+n%[[/b]] colonisation cost	FALSE
effects_description_3k_dlc06_effect_unit_stats_missile_defence_nanman	[[b]]%+n%[[/b]] ranged block chance for Nanman units	FALSE
effects_value_format_3k_dummy_effect_ceo_subcategory_armour_nanman		FALSE
effects_description_3k_ytr_dummy_unlocks_assignment_ytr_heaven_2	Unlocks assignment: Encourage Humility (Increases satisfaction and greatly reduces corruption)	FALSE
effects_value_format_3k_dlc07_frontend_description_specialisation_liu_zhang_1		FALSE
effects_description_3k_dlc05_dummy_effect_mercenary_activity_gain_method	[[b]]Fame and fortune[[/b]] can only be gained through military actions during a mercenary contract.\\n\\n[[b]]Inflicting casualties[[/b]] against the target's forces and [[b]]gifting their seized settlements[[/b]] will generate this resource.\\n\\nThis value resets with each new contract.	FALSE
effects_value_format_ep_effect_faction_resource_influence_assignments		FALSE
effects_value_format_3k_dlc06_frontend_description_specialisation_shamoke_2		FALSE
effects_description_3k_dlc06_dummy_effect_assignment_unlock_growing_the_land	Unlocks assignment: Growing the Land	FALSE
effects_description_3k_main_effect_province_mustering_speed	[[b]]%+n[[/b]] mustering turns	FALSE
effects_value_format_3k_dlc04_effect_faction_resource_liu_biao_domain_gain		FALSE
effects_value_format_3k_dlc07_frontend_description_specialisation_cao_cao_1.5		FALSE
effects_value_format_3k_dlc06_effect_dummy_technologies_economic_a		FALSE
effects_description_3k_main_skill_defence	[[b]]%+n[[/b]] melee evasion	FALSE
effects_value_format_ep_effect_money_alignment_gain		FALSE
effects_value_format_3k_main_effect_force_army_campaign_recruitment_cost_cavalry_melee		FALSE
effects_description_3k_main_effect_force_begin_fatigue_5	Fatigue in battle locked to below: Exhausted	FALSE
effects_value_format_3k_main_effect_progression_effect_trade_agreements		FALSE
effects_description_3k_main_effect_province_building_construction_cost_mod_city_level_population	Construction time bonus for settlement administration:\\n[[b]][[b]]%+n[[/b]][[/b]]/[[col:scope_description]]-5[[/col]]	FALSE
effects_value_format_3k_dlc04_effect_unit_stats_unit_upkeep_crossbow_units		FALSE
effects_description_3k_ytr_faction_trait_huang_shao_2	[[b]]%+n%[[/b]] character experience	FALSE
effects_description_3k_main_skill_god_of_war	Ability: God of War	FALSE
effects_description_3k_dlc04_frontend_description_specialisation_lu_zhi_2	Similar [[b]]works[[/b]] can be displayed together as a set to enable more powerful [[b]]set bonuses[[/b]].	FALSE
effects_description_3k_dlc04_effect_dummy_faction_resource_liu_biao_domain_one_more	You currently control one more county than your governance allows.\\n\\nThis will cause diplomatic penalties with Han Empire factions.	FALSE
effects_value_format_3k_dlc06_effect_campaign_progression_fealty		FALSE
effects_value_format_3k_dlc06_ability_reckless_strike		FALSE
effects_description_3k_ytr_faction_rank_dummy_yt_unlock_vassal_ally	Unlocks the diplomatic options to vassalise and make alliances with regular factions	FALSE
effects_description_3k_dlc07_skill_ability_mighty_thrust	Ability: Mighty Thrust	FALSE
effects_value_format_3k_dlc05_effect_bandit_network_cost_reduction_yang_dongou		FALSE
effects_description_3k_main_ability_shot_to_the_heart	Ability: Heart seeker	FALSE
effects_description_3k_main_effect_stance_ambush_removal_hidden	[HIDDEN]	FALSE
effects_description_3k_ytr_ability_one_with_heaven	Ability: One with Heaven	FALSE
effects_value_format_3k_main_effect_replenishment_enabled_dummy		FALSE
effects_description_3k_dlc06_dummy_effect_bundle_dense_jungle_movement_han	[[b]]-10%[[/b]] campaign movement range [[col:scope_description]](Non-Nanman)[[/col]]	FALSE
effects_description_3k_main_dummy_effect_commandery_population	Population effects are determined by commandery-wide total	FALSE
effects_description_3k_main_effect_force_army_campaign_recruitment_cost_cavalry_shock	[[b]]%+n%[[/b]] recruitment cost for shock cavalry	FALSE
effects_description_3k_dlc04_faction_resource_liu_biao_governance_gain_vassals	%+n governance	FALSE
effects_description_3k_main_effect_undercover_character_turncoat_potential_mod_hidden	[HIDDEN] +n to a character's turncoat potential	FALSE
effects_value_format_3k_main_effect_undercover_character_defence_against_action_cover_cost_bonus_hidden		FALSE
effects_description_dummy_night_battle_enemy_spotting_range	The enemy's spotting ability will be diminished.	FALSE
effects_description_3k_dlc05_effect_pooled_resource_reckless_luck_decay	%-n Reckless Luck per turn	FALSE
effects_value_format_ep_effect_faction_resource_reformation_buildings_negative		FALSE
effects_value_format_3k_ytr_dummy_faction_progression_enlightenment_info		FALSE
effects_description_3k_dlc05_effect_bandit_network_cost_reduction_bing_outer_north	[HIDDEN] %+n cost of establishing connections with the Xiongnu Confederation	FALSE
effects_value_format_3k_main_skill_fire_charge_bonus		FALSE
effects_value_format_3k_dlc05_pooled_factor_juntion_mercenary_activity_events		FALSE
effects_description_3k_dlc07_skill_ability_rally_the_troops	Ability: Rally the Troops	FALSE
effects_value_format_3k_dlc06_ability_bold_command		FALSE
effects_description_3k_dlc05_effect_unlocks_coerce_dummy	Unlocks the 'Coerce' diplomatic option	FALSE
effects_description_3k_main_effect_construction_cost_artisan_to_market	Learning and market buildings construction cost reduction: [[b]]%+n%[[/b]]	FALSE
effects_value_format_3k_main_effect_character_stat_mod_ammunition		FALSE
effects_value_format_3k_main_effect_dummy_technologies_metal_economy		FALSE
effects_description_3k_main_skill_internal_blaze	Ability: Internal Blaze	FALSE
effects_value_format_3k_dlc05_effect_unit_cap_metal_yellow_sky_heralds		FALSE
effects_description_3k_dlc05_dummy_effect_ministerial_position_sun_ce_info	"The effects of Sun Ce's ministers depend on their rank. At rank 3 the base effects of their ministerial positions are applied. At rank 5 and 8, the effects are improved."	FALSE
effects_description_3k_dlc06_dummy_effect_unit_unlock_followers_of_the_flame	Unlock Unit: Followers of the Flame	FALSE
effects_description_3k_dlc07_dummy_experience_to_character_instant	Instantly levels up character	FALSE
effects_description_3k_dummy_effect_assignment_unlock_water_market_stimulation	Unlocks assignment: Stimulate Markets	FALSE
effects_value_format_3k_dlc06_effect_province_building_construction_cost_mod_military_infrastructure		FALSE
effects_value_format_3k_ytr_assignment_character_generation_normal_dummy		FALSE
effects_description_3k_main_effect_character_stat_mod_missile_defence_hidden	[[b]]%+n%[[/b]] ranged block chance	FALSE
effects_value_format_3k_main_effect_force_military_supplies_enemy_territory_from_characters		FALSE
effects_value_format_3k_main_dummy_effect_assignments_filial		FALSE
effects_value_format_3k_dlc05_ability_scattering_blows		FALSE
effects_description_3k_dlc05_effect_unit_cap_fire_xianbei_riders	Xianbei Riders available for recruitment: %+n	FALSE
effects_description_3k_main_effect_economy_gdp_mod_peasantry_from_population	Bonus to income from all sources: [[b]][[b]]%+n%[[/b]][[/b]]/[[col:scope_description]]200%[[/col]]	FALSE
effects_description_ep_effect_faction_resource_sima_liang_jurisdiction_gain_people_in_power	[[b]]%+n[[/b]] jurisdiction	FALSE
effects_description_3k_main_effect_unit_stats_morale_enemy_territory	[[b]]%+n[[/b]] morale in enemy territory	FALSE
effects_value_format_3k_dlc06_effect_attribute_cannot_use_abilities		FALSE
effects_description_3k_dummy_effect_ceo_subcategory_armour_metal	Armour: {{tr:3k_general_type_metal}}	FALSE
effects_value_format_3k_main_frontend_description_specialisation_liu_biao_3		FALSE
effects_value_format_3k_dlc07_effect_scheme_credibility_mod		FALSE
effects_description_3k_main_effect_province_public_order_from_forces_positive_good	[[b]]%+n[[/b]] {{tr:public_order}}	FALSE
effects_description_3k_main_effect_characters_satisfaction_strategist_technologies	[[b]]%+n[[/b]] satisfaction for strategists	FALSE
