faction	active_years_start	active_years_end	sort_order	playstyle
3k_dlc06_faction_nanman_jiaozhi	190	200	161	3k_dlc06_faction_nanman_jiaozhi
3k_dlc06_faction_nanman_yang_feng	190	200	162	3k_dlc06_faction_nanman_yang_feng
3k_dlc06_faction_nanman_king_duosi	190	200	163	3k_dlc06_faction_nanman_king_duosi
3k_dlc06_faction_nanman_yongchang	190	200	164	3k_dlc06_faction_nanman_yongchang
ironic_faction_cao_ren	190	290	165	ironic_faction_zhang_jin_border
ironic_faction_ma_chao	190	290	166	ironic_faction_zhang_jin_border
ironic_faction_sun_quan	190	290	167	ironic_faction_zhang_jin_border
ironic_faction_xiahou_yuan	190	290	168	ironic_faction_zhang_jin_border
ironic_faction_zhang_liao	190	290	169	ironic_faction_zhang_jin_border
ironic_faction_chen_lan	190	290	170	ironic_faction_zhang_jin_border
ironic_faction_yellow_turban_xu_he	190	290	171	ironic_faction_zhang_jin_border
ironic_faction_zhou_yu	190	290	172	ironic_faction_zhang_jin_border
ironic_faction_zhong_yao	190	290	173	ironic_faction_zhang_jin_border
ironic_faction_du_ji	190	290	174	ironic_faction_zhang_jin_border
ironic_faction_zhuge_liang	190	290	175	ironic_faction_zhang_jin_border
ironic_faction_han_xuan	190	290	176	ironic_faction_zhang_jin_border
ironic_faction_liu_du	190	290	177	ironic_faction_zhang_jin_border
ironic_faction_zhao_fan	190	290	178	ironic_faction_zhang_jin_border
ironic_faction_sun_ben	190	290	179	ironic_faction_zhang_jin_border
ironic_faction_lei_xu	190	290	180	ironic_faction_zhang_jin_border
ironic_faction_liu_shan	190	290	181	ironic_faction_zhang_jin_border
ironic_faction_guan_yu	190	290	182	ironic_faction_zhang_jin_border
ironic_faction_zu_lang	190	290	183	ironic_faction_zhang_jin_border
ironic_faction_zhu_jun	190	290	184	ironic_faction_zhang_jin_border
3k_dlc05_faction_wu_jing	190	290	185	3k_dlc05_faction_wu_jing
ironic_faction_wang_sheng	190	198	186	ironic_faction_wang_sheng
ironic_faction_tong_zhi	190	198	187	ironic_faction_tong_zhi
3k_dlc04_faction_liu_xun	182	199	188	3k_dlc04_faction_liu_xun
ironic_faction_yellow_turban_wu_huan	182	199	189	ironic_faction_yellow_turban_wu_huan
ironic_faction_you_tu	182	199	191	ironic_faction_you_tu
ironic_faction_su_dai	182	199	192	ep_faction_prince_of_changsha
ironic_faction_fei_zhan	182	199	193	ironic_faction_zhang_jin_border
ironic_faction_zhao_wei	182	199	194	ep_faction_prince_of_chengdu
3k_dlc07_faction_shanyue_rebels	182	199	195	ironic_faction_zhang_jin_border
3k_main_faction_nanhai	182	199	196	ep_faction_prince_of_hejian
ironic_faction_buyeo	182	199	197	ironic_faction_zhang_jin_border
ironic_faction_gaya	182	199	198	ironic_faction_zhang_jin_border
ironic_faction_korea_ye	182	199	199	ironic_faction_zhang_jin_border
ironic_faction_tamno	182	199	200	ironic_faction_zhang_jin_border
ironic_faction_hu_mao	182	199	200	ironic_faction_zhang_jin_border
