faction_key	optional_campaign_key	faction_group_key
3k_main_faction_liu_bei	3k_dlc04_start_pos	3k_the_han
3k_main_faction_liu_bei	3k_dlc05_start_pos	3k_warlords
3k_main_faction_liu_bei	3k_dlc07_start_pos	3k_warlords
3k_main_faction_liu_bei	3k_main_campaign_map	3k_the_coalition
3k_main_faction_liu_biao	3k_dlc04_start_pos	3k_Imperial_governors
3k_main_faction_liu_biao	3k_dlc05_start_pos	3k_regional_warlords
3k_main_faction_liu_biao	3k_dlc07_start_pos	3k_regional_warlords
3k_main_faction_liu_biao	3k_main_campaign_map	3k_the_empire
3k_main_faction_liu_yan	3k_dlc05_start_pos	3k_regional_warlords
3k_main_faction_liu_yan	3k_dlc07_start_pos	3k_regional_warlords
3k_main_faction_liu_yan	3k_main_campaign_map	3k_the_empire
3k_main_faction_lu_bu	3k_dlc05_start_pos	3k_warlords
3k_main_faction_ma_teng	3k_dlc04_start_pos	3k_Imperial_governors
3k_main_faction_ma_teng	3k_dlc05_start_pos	3k_regional_warlords
3k_main_faction_ma_teng	3k_dlc07_start_pos	3k_regional_warlords
3k_main_faction_ma_teng	3k_main_campaign_map	3k_the_empire
3k_main_faction_shi_xie	3k_dlc05_start_pos	3k_warlords
3k_main_faction_shi_xie	3k_dlc07_start_pos	3k_regional_warlords
3k_main_faction_shi_xie	3k_main_campaign_map	3k_the_empire
3k_main_faction_sun_jian	3k_dlc04_start_pos	3k_imperial_warlords
3k_main_faction_sun_jian	3k_main_campaign_map	3k_the_coalition
3k_main_faction_tao_qian	3k_dlc04_start_pos	3k_Imperial_governors
3k_main_faction_tao_qian	3k_main_campaign_map	3k_the_coalition
3k_main_faction_yellow_turban_anding	3k_dlc07_start_pos	3k_yellow_turban_remnants
3k_main_faction_yellow_turban_anding	3k_main_campaign_map	3k_yellow_turban_remnants
3k_main_faction_yellow_turban_rebels	3k_dlc05_start_pos	3k_yellow_turban_remnants
3k_main_faction_yellow_turban_rebels	3k_main_campaign_map	3k_yellow_turban_remnants
3k_main_faction_yellow_turban_taishan	3k_main_campaign_map	3k_yellow_turban_remnants
3k_main_faction_yuan_shao	3k_dlc05_start_pos	3k_warlords
3k_main_faction_yuan_shao	3k_dlc07_start_pos	3k_warlords
3k_main_faction_yuan_shao	3k_main_campaign_map	3k_the_coalition
3k_main_faction_yuan_shu	3k_dlc04_start_pos	3k_Imperial_governors
3k_main_faction_yuan_shu	3k_dlc05_start_pos	3k_warlords
3k_main_faction_yuan_shu	3k_main_campaign_map	3k_the_coalition
3k_main_faction_zhang_yan	3k_dlc05_start_pos	3k_bandits
3k_main_faction_zhang_yan	3k_dlc07_start_pos	3k_bandits
3k_main_faction_zhang_yan	3k_main_campaign_map	3k_bandits
3k_main_faction_zheng_jiang	3k_dlc05_start_pos	3k_bandits
3k_main_faction_zheng_jiang	3k_dlc07_start_pos	3k_bandits
3k_main_faction_zheng_jiang	3k_main_campaign_map	3k_bandits
ep_faction_prince_of_changsha	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_chengdu	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_chu	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_donghai	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_hejian	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_qi	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_runan	8p_start_pos	3k_the_eight_princes
ep_faction_prince_of_zhao	8p_start_pos	3k_the_eight_princes
