faction_key	optional_campaign_key	faction_group_key
3k_main_faction_han_empire	3k_main_campaign_map	3k_the_empire
3k_main_faction_huang_zu	3k_main_campaign_map	3k_the_empire
3k_main_faction_cai_mao	3k_main_campaign_map	3k_the_empire
3k_main_faction_kong_zhou	3k_main_campaign_map	3k_the_coalition
3k_main_faction_yellow_turban_generic	3k_main_campaign_map	3k_yellow_turban_remnants
3k_dlc05_faction_zhu_fu	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_yulin	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_gaoliang	3k_main_campaign_map	3k_regional_warlords
3k_main_faction_han_fu	3k_main_campaign_map	3k_the_coalition
ironic_faction_goguryeo	3k_main_campaign_map	korea_factions
ironic_faction_bakaja	3k_main_campaign_map	korea_factions
ironic_faction_shitla	3k_main_campaign_map	korea_factions
3k_main_faction_lu_bu	3k_main_campaign_map	3k_the_empire
ironic_faction_xianbei_kuitou	3k_main_campaign_map	barbarian_factions
ironic_faction_xianbei_tuoba	3k_main_campaign_map	barbarian_factions
ironic_faction_di_tribes	3k_main_campaign_map	barbarian_factions
3k_main_faction_tao_qian	3k_main_campaign_map	3k_regional_warlords
ironic_faction_ma_ai	3k_main_campaign_map	3k_regional_warlords
ironic_faction_huang_clan	3k_main_campaign_map	3k_regional_warlords
ironic_faction_zhang_jin_border	3k_main_campaign_map	3k_regional_warlords
3k_dlc06_faction_jiuzhen	3k_main_campaign_map	3k_regional_warlords
3k_dlc06_faction_nanman_jiangyang	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_jianning	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_yunnan	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_ahuinan	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_mangyachang	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_zangke	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_jinhuansanjie	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_dongtuna	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_tu_an	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_xi_ni	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_king_wutugu	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_jiaozhi	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_yang_feng	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_king_duosi	3k_main_campaign_map	3k_nanman
3k_dlc06_faction_nanman_yongchang	3k_main_campaign_map	3k_nanman
3k_dlc05_faction_wu_jing	3k_main_campaign_map	3k_regional_warlords
ironic_faction_wang_sheng	3k_main_campaign_map	3k_regional_warlords
ironic_faction_tong_zhi	3k_main_campaign_map	3k_regional_warlords
3k_dlc04_faction_liu_xun	3k_main_campaign_map	3k_regional_warlords
ironic_faction_yellow_turban_wu_huan	3k_main_campaign_map	3k_yellow_turban_remnants
ironic_faction_you_tu	3k_main_campaign_map	3k_bandits
ironic_faction_su_dai	3k_main_campaign_map	3k_regional_warlords
ironic_faction_fei_zhan	3k_main_campaign_map	3k_bandits
ironic_faction_zhao_wei	3k_main_campaign_map	3k_regional_warlords
3k_dlc07_faction_shanyue_rebels	3k_main_campaign_map	3k_bandits
3k_main_faction_nanhai	3k_main_campaign_map	3k_regional_warlords
ironic_faction_zu_lang	3k_main_campaign_map	3k_bandits
ironic_faction_buyeo	3k_main_campaign_map	korea_factions
ironic_faction_gaya	3k_main_campaign_map	korea_factions
ironic_faction_korea_ye	3k_main_campaign_map	korea_factions
ironic_faction_tamno	3k_main_campaign_map	korea_factions
ironic_faction_hu_mao	3k_main_campaign_map	3k_regional_warlords
