campaign_key	frontend_faction	frontend_faction_leader	is_default
8p_start_pos	3k_main_faction_dong_zhuo	3k_main_political_party_dong_zhuo_ruler	false
8p_start_pos	3k_main_faction_zhang_lu	3k_main_political_party_zhang_lu_190	false
8p_start_pos	ironic_faction_xiongnu_tribes	ironic_main_xiongnu_faction_leader	false
8p_start_pos	ironic_faction_xianbei_kuitou	3k_main_political_party_xianbei_kuitou_190	false
8p_start_pos	3k_dlc05_faction_yang_feng	3k_main_political_party_yang_feng_190	false
8p_start_pos	3k_dlc04_faction_empress_he	3k_dlc04_political_party_empress_he_ruler	false
8p_start_pos	3k_dlc04_faction_liang_rebels	ironic_main_song_jian_faction_leader	false
8p_start_pos	3k_main_faction_liu_yao	3k_main_political_party_liu_yao_190	false
8p_start_pos	ironic_faction_zhang_xian	3k_main_political_party_zhang_xian_190	false
8p_start_pos	3k_main_faction_shi_xie	3k_dlc06_political_party_shi_xie_ruler_190	false
8p_start_pos	3k_main_faction_gaoliang	3k_main_political_party_lai_gong_190	false
8p_start_pos	3k_main_faction_yulin	3k_main_political_party_wu_ju_190	false
8p_start_pos	ironic_faction_zhang_jin_border	3k_main_political_party_zhang_jin_190	false
8p_start_pos	ironic_faction_huang_clan	3k_main_political_party_huang_clan_190	false
8p_start_pos	ironic_faction_ma_ai	3k_main_political_party_ma_ai_190	false
8p_start_pos	3k_main_faction_ma_teng	3k_main_political_party_ma_teng_ruler	false
8p_start_pos	ironic_faction_di_tribes	3k_main_political_party_di_tribes_190	false
8p_start_pos	ironic_faction_gan_ning	3k_main_political_party_gan_ning_190	false
8p_start_pos	3k_main_faction_jia_long	3k_main_political_party_jia_long_190	false
8p_start_pos	ironic_faction_cao_ren	ironic_faction_cao_ren_gathering	false
8p_start_pos	ironic_faction_ma_chao	ironic_faction_ma_chao_gathering	false
8p_start_pos	ironic_faction_sun_quan	ironic_faction_sun_quan_gathering	false
8p_start_pos	ironic_faction_xiahou_yuan	ironic_faction_xiahou_yuan_gathering	false
8p_start_pos	ironic_faction_zhang_liao	ironic_faction_zhang_liao_gathering	false
8p_start_pos	ironic_faction_chen_lan	ironic_faction_chen_lan_gathering	false
8p_start_pos	ironic_faction_yellow_turban_xu_he	ironic_faction_yellow_turban_xu_he_gathering	false
8p_start_pos	ironic_faction_zhou_yu	ironic_faction_zhou_yu_gathering	false
8p_start_pos	ironic_faction_zhong_yao	ironic_faction_zhong_yao_gathering	false
8p_start_pos	ironic_faction_du_ji	ironic_faction_du_ji_gathering	false
8p_start_pos	ironic_faction_zhuge_liang	ironic_faction_zhuge_liang_gathering	false
8p_start_pos	ironic_faction_han_xuan	ironic_faction_han_xuan_gathering	false
8p_start_pos	ironic_faction_liu_du	ironic_faction_liu_du_gathering	false
8p_start_pos	ironic_faction_zhao_fan	ironic_faction_zhao_fan_gathering	false
8p_start_pos	ironic_faction_sun_ben	ironic_faction_sun_ben_gathering	false
8p_start_pos	ironic_faction_lei_xu	ironic_faction_lei_xu_gathering	false
8p_start_pos	ironic_faction_liu_shan	ironic_faction_liu_shan_gathering	false
8p_start_pos	ironic_faction_guan_yu	ironic_faction_guan_yu_gathering	false
8p_start_pos	ironic_faction_zu_lang	ironic_faction_zu_lang_gathering	false
8p_start_pos	ironic_faction_zhu_jun	ironic_faction_zhu_jun_gathering	false
8p_start_pos	3k_main_faction_han_sui	ironic_main_han_sui_faction_leader	false
8p_start_pos	ironic_faction_bian_rang	3k_main_political_party_bian_rang_190	false
8p_start_pos	3k_dlc05_faction_sheng_xian	3k_main_political_party_sheng_xian_190	false
8p_start_pos	3k_main_faction_wang_lang	3k_main_political_party_wang_lang_190	false
8p_start_pos	ironic_faction_zhu_hao	3k_main_political_party_zhu_hao_190	false
8p_start_pos	3k_dlc05_faction_hua_xin	3k_main_political_party_hua_xin_190	false
8p_start_pos	ironic_faction_zhuge_xuan	3k_main_political_party_zhuge_xuan_190	false
8p_start_pos	ironic_faction_liu_pan	3k_main_political_party_liu_pan_190	false
8p_start_pos	ironic_faction_zhang_jin	3k_main_political_party_zhang_jin_190	false
8p_start_pos	3k_dlc05_faction_shi_huang	3k_main_political_party_shi_huang_190	false
8p_start_pos	3k_main_faction_han_empire	3k_main_political_party_han_empire_190	false
8p_start_pos	3k_main_faction_yellow_turban_generic	3k_main_political_party_yt_generic_190	false
8p_start_pos	3k_dlc05_faction_zhu_fu	3k_main_political_party_zhu_fu_190	false
8p_start_pos	ironic_faction_goguryeo	3k_main_political_party_goguryeo_190	false
8p_start_pos	ironic_faction_bakaja	3k_main_political_party_bakaja_190	false
8p_start_pos	ironic_faction_shitla	3k_main_political_party_shitla_190	false
8p_start_pos	ironic_faction_zhang_jin_border	3k_main_political_party_handan_shang_190	false
8p_start_pos	3k_dlc06_faction_jiuzhen	3k_main_political_party_faction_jiuzhen_190	false
8p_start_pos	3k_dlc06_faction_nanman_jiangyang	3k_main_political_party_faction_nanman_jiangyang_190	false
8p_start_pos	3k_dlc06_faction_nanman_jianning	3k_main_political_party_faction_nanman_jianning_190	false
8p_start_pos	3k_dlc06_faction_nanman_yunnan	3k_main_political_party_faction_nanman_yunnan_190	false
8p_start_pos	3k_dlc06_faction_nanman_ahuinan	3k_main_political_party_faction_nanman_ahuinan_190	false
8p_start_pos	3k_dlc06_faction_nanman_mangyachang	3k_main_political_party_faction_nanman_mangyachang_190	false
8p_start_pos	3k_dlc06_faction_nanman_zangke	3k_main_political_party_faction_nanman_zangke_190	false
8p_start_pos	3k_dlc06_faction_nanman_jinhuansanjie	3k_main_political_party_faction_nanman_jinhuansanjie_190	false
8p_start_pos	3k_dlc06_faction_nanman_dongtuna	3k_main_political_party_faction_nanman_dongtuna_190	false
8p_start_pos	3k_dlc06_faction_nanman_tu_an	3k_main_political_party_faction_nanman_tu_an_190	false
8p_start_pos	3k_dlc06_faction_nanman_xi_ni	3k_main_political_party_faction_nanman_xi_ni_190	false
8p_start_pos	3k_dlc06_faction_nanman_king_wutugu	3k_main_political_party_faction_nanman_king_wutugu_190	false
8p_start_pos	3k_dlc06_faction_nanman_jiaozhi	3k_main_political_party_faction_nanman_jiaozhi_190	false
8p_start_pos	3k_dlc06_faction_nanman_yang_feng	3k_main_political_party_faction_nanman_yang_feng_190	false
8p_start_pos	3k_dlc06_faction_nanman_king_duosi	3k_main_political_party_faction_nanman_king_duosi_190	false
8p_start_pos	3k_dlc06_faction_nanman_yongchang	3k_main_political_party_faction_nanman_yongchang_190	false
