ceo_initial_data	stage	initial_data_stage
3k_dlc04_ceo_initial_data_character_historical_cao_de	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_cao_de	3	3k_main_ceo_initial_data_character_historical_cao_de_ancillaries
3k_dlc04_ceo_initial_data_character_historical_cao_de	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_cao_song_jugao
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	3	3k_main_ceo_initial_data_character_historical_cao_song_ancillaries
3k_dlc04_ceo_initial_data_character_historical_cao_song_jugao	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_chen_dan_hangong
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	15	3k_main_ceo_initial_data_stage_character_wealth_medium
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	21	3k_dlc04_ceo_initial_data_character_give_political_support_01
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_chen_dan_hangong	4	3k_main_ceo_initial_data_equipment_permissions_unique_metal
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_chen_deng_yuanlong
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_chen_deng_yuanlong	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_chen_gui_hanyu
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_chen_gui_hanyu	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc04_ceo_initial_data_character_historical_chen_su	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_chen_su	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_chen_su
3k_dlc04_ceo_initial_data_character_historical_chen_su	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_chen_su	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_chen_su	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_chen_su	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_chen_su	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_chen_su	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_chen_su	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_chen_su	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_chen_su	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_cheng_qiu
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_cheng_qiu	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc04_ceo_initial_data_character_historical_chu_gong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_chu_gong	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_chu_gong
3k_dlc04_ceo_initial_data_character_historical_chu_gong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_chu_gong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_chu_gong	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc04_ceo_initial_data_character_historical_chu_gong	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc04_ceo_initial_data_character_historical_chu_gong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_chu_gong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_chu_gong	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_chu_gong	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_deng_sheng_boneng
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	15	3k_main_ceo_initial_data_stage_character_wealth_medium
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	21	3k_dlc04_ceo_initial_data_character_give_political_support_01
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	3	3k_main_ceo_initial_data_character_generic_fire_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_deng_sheng_boneng	4	3k_main_ceo_initial_data_equipment_permissions_unique_fire
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_ding_yuan_jianyang
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	3	3k_main_ceo_initial_data_character_generic_wood_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_ding_yuan_jianyang	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_dong_he_youzai
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	3	3k_main_ceo_initial_data_character_generic_earth_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_dong_he_youzai	4	3k_main_ceo_initial_data_equipment_permissions_generic_earth
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_dong_zhong
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	15	3k_main_ceo_initial_data_stage_character_wealth_medium
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	21	3k_dlc04_ceo_initial_data_character_give_political_support_01
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_dong_zhong	4	3k_main_ceo_initial_data_equipment_permissions_unique_metal
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_du_ji_bohou
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	3	3k_main_ceo_initial_data_character_historical_du_ji_ancillaries
3k_dlc04_ceo_initial_data_character_historical_du_ji_bohou	4	3k_main_ceo_initial_data_equipment_permissions_generic_fire
3k_dlc04_ceo_initial_data_character_historical_feng_fang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_feng_fang	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_feng_fang
3k_dlc04_ceo_initial_data_character_historical_feng_fang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_feng_fang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_feng_fang	15	3k_main_ceo_initial_data_stage_character_wealth_high
3k_dlc04_ceo_initial_data_character_historical_feng_fang	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc04_ceo_initial_data_character_historical_feng_fang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_feng_fang	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_feng_fang	21	3k_dlc04_ceo_initial_data_character_give_political_support_01
3k_dlc04_ceo_initial_data_character_historical_feng_fang	3	3k_main_ceo_initial_data_character_generic_earth_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_feng_fang	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_fu_xie_nanrong
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	3	3k_main_ceo_initial_data_character_generic_wood_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_fu_xie_nanrong	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc04_ceo_initial_data_character_historical_gao_you	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_gao_you	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_gao_you
3k_dlc04_ceo_initial_data_character_historical_gao_you	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_gao_you	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_gao_you	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_gao_you	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_gao_you	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_gao_you	20	3k_main_ceo_initial_data_stage_character_potential_legendary
