key	location	ownership	target	territory	send_to_location_only_if_adult	only_display_in_tooltip
character_to_military_force_retinue_own_neutral	character	yours	military_force_retinue	neutral	true	false
character_to_military_force_retinue_own_own	character	yours	military_force_retinue	yours	true	false
character_to_navy_own	forcewide_when_commanding	yours	navy	any	true	false
character_to_province_all_adjacent	neighbour_faction_province	any	province	any	true	false
character_to_province_allied_adjacent	neighbour_faction_province	enemy	province	enemy	true	false
character_to_province_enemy_adjacent	neighbour_faction_province	enemy	province	enemy	true	false
character_to_province_own	provincewide	yours	province	any	true	false
character_to_province_own_adjacent	neighbour_faction_province	yours	province	yours	true	false
character_to_province_own_factionwide	factionwide	yours	province	any	true	false
character_to_province_own_when_governor	provincewide_when_governor	yours	province	any	true	false
character_to_region_any	regionwide	any	region	any	true	false
character_to_region_any_in_adjacent_province	neighbour_faction_province	any	region	any	true	false
character_to_region_any_provincewide	provincewide	any	region	any	true	false
character_to_region_enemy	regionwide	enemy	region	any	true	false
character_to_region_enemy_provincewide	provincewide	enemy	region	any	true	false
character_to_region_own	regionwide	yours	region	any	true	false
character_to_region_own_factionwide	factionwide	yours	region	any	true	false
character_to_region_own_provincewide	provincewide	yours	region	any	true	false
character_to_region_own_provincewide_when_governor	provincewide_when_governor	yours	region	any	true	false
character_to_region_own_pseudo_provincewide	regionwide	yours	region	any	true	false
character_to_region_provincewide	provincewide	yours	region	yours	true	false
character_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	false
dummy_scope_if_faction_leader	factionwide	yours	faction	any	true	false
faction_to_army_own	factionwide	yours	army	any	true	false
faction_to_army_own_unseen	factionwide	yours	army	any	true	true
faction_to_building_factionwide	factionwide	yours	building	any	true	false
faction_to_character_own	factionwide	yours	character_if_adult	any	true	false
faction_to_character_own_factionwide	factionwide	yours	character_if_adult	any	true	false
faction_to_character_own_factionwide_all_characters	factionwide	yours	character_if_adult	any	true	false
faction_to_character_own_factionwide_all_characters_unseen	factionwide	yours	character_if_adult	any	true	false
faction_to_character_own_factionwide_retinue_effects	factionwide	yours	character_if_adult	any	true	false
faction_to_character_own_factionwide_unseen	factionwide	yours	character_if_adult	any	true	true
faction_to_character_own_territory_allied	factionwide	yours	character_if_adult	allied	true	true
faction_to_character_own_territory_enemy	factionwide	yours	character_if_adult	enemy	true	true
faction_to_character_own_territory_neutral	factionwide	yours	character_if_adult	neutral	true	true
faction_to_character_own_territory_yours	factionwide	yours	character_if_adult	yours	true	true
faction_to_character_own_unseen	factionwide	yours	character_if_adult	any	true	true
faction_to_character_own_when_commanding	factionwide	yours	character_when_commanding	any	true	false
faction_to_character_own_when_governor	factionwide	yours	character_if_governor	any	true	false
faction_to_character_own_when_on_assignment	factionwide	yours	character_if_on_assignment	any	true	false
faction_to_character_undercover_own_factionwide	factionwide	yours	owned_undercover_character	any	true	false
faction_to_character_undercover_own_factionwide_unseen	factionwide	yours	owned_undercover_character	any	true	false
faction_to_encamp_stance_dummy	factionwide	yours	faction	any	true	false
faction_to_faction_allied	factionwide	allied	faction	any	true	false
faction_to_faction_leader	factionwide	yours	character_if_faction_leader	any	true	false
faction_to_faction_leader_army_dummy	factionwide	yours	faction	any	true	false
faction_to_faction_own	factionwide	yours	faction	any	true	false
faction_to_faction_own_characters	factionwide	yours	faction	any	true	false
faction_to_faction_own_unseen	factionwide	yours	faction	any	true	true
faction_to_force_allied	factionwide	allied	force	any	true	false
faction_to_force_enemy	factionwide	enemy	force	any	true	true
faction_to_force_enemy_territory_yours	factionwide	enemy	force	yours	true	false
faction_to_force_own	factionwide	yours	force	any	true	false
faction_to_force_own_factionwide	factionwide	yours	force	any	true	false
faction_to_force_own_factionwide_verbose	factionwide	yours	force	any	true	false
faction_to_force_own_territory_enemy	factionwide	yours	force	enemy	true	true
faction_to_force_own_territory_enemy_verbose	factionwide	yours	force	enemy	true	true
faction_to_force_own_territory_yours	factionwide	yours	force	yours	true	false
faction_to_force_own_unseen	factionwide	yours	force	any	true	true
faction_to_general_own	factionwide	yours	character_if_adult	any	true	true
faction_to_military_force_retinue_own	factionwide	yours	military_force_retinue	any	true	false
faction_to_navy_own	factionwide	yours	navy	any	true	false
faction_to_navy_own_unseen	factionwide	yours	navy	any	true	true
faction_to_province_own	factionwide	yours	province	any	true	false
faction_to_province_own_commandery	factionwide	yours	province	any	true	false
faction_to_province_own_unseen	factionwide	yours	province	any	true	false
faction_to_region_allied	factionwide	allied	region	any	true	false
faction_to_region_own	factionwide	yours	region	any	true	false
faction_to_region_own_province_capitals_only	factionwide	yours	region	any	true	false
faction_to_region_own_unseen	factionwide	yours	region	any	true	true
faction_to_region_verbose	factionwide	yours	region	any	true	false
faction_to_sea_region_own	factionwide	yours	sea_region	any	true	true
force_building_to_faction_own	factionwide	yours	faction	any	true	true
force_to_character_own_factionwide	factionwide	yours	character_if_adult	any	true	false
force_to_character_own_provincewide	provincewide	yours	character_if_adult	any	true	false
force_to_enemy_force_regionwide	regionwide	enemy	force	any	true	false
force_to_faction_own_factionwide	factionwide	yours	faction	any	true	true
force_to_faction_when_garrisoned	factionwide	yours	faction	any	true	false
force_to_force_any	forcewide	any	force	any	true	true
force_to_force_building	force_buildingwide	yours	force_building	any	true	true
force_to_force_hostile_regionwide	regionwide	enemy	force	yours	true	false
force_to_force_own	forcewide	yours	force	any	true	true
force_to_force_own_factionwide	factionwide	yours	force	any	true	false
force_to_general_own	forcewide	yours	character_if_adult	any	true	true
force_to_general_own_forcewide	forcewide	yours	character_if_adult	any	true	true
force_to_province_any	provincewide	any	province	any	true	true
force_to_province_enemy	provincewide	enemy	province	enemy	true	false
force_to_province_enemy_factionwide	factionwide	enemy	province	any	true	true
force_to_province_own	provincewide	yours	province	any	true	false
force_to_province_own_encamp_special	provincewide	yours	province	any	true	false
force_to_province_own_raiding	provincewide	yours	province	yours	true	false
force_to_province_own_territory_own	provincewide	yours	province	yours	true	false
force_to_province_when_garrisoned	provincewide	yours	province	yours	true	false
force_to_region_adjacent	neighbour_region	any	region	any	true	true
force_to_region_any	regionwide	any	region	any	true	false
force_to_region_any_provincewide	provincewide	yours	region	any	true	false
force_to_region_enemy	regionwide	enemy	region	any	true	false
force_to_region_enemy_factionwide	factionwide	enemy	region	any	true	true
force_to_region_own	regionwide	yours	region	yours	true	true
force_to_region_own_provincewide_territory_own	provincewide	yours	region	yours	true	false
force_to_region_own_raiding	regionwide	yours	region	yours	true	false
force_to_region_own_regionwide_territory_own	regionwide	yours	region	yours	true	false
force_to_region_provincewide_enemy	provincewide	enemy	region	enemy	true	false
force_to_region_when_garrisoned	regionwide	yours	region	yours	true	false
force_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	false
navy_to_navy_own	forcewide	yours	navy	any	true	true
navy_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	false
province_to_army_factionwide	factionwide	yours	army	any	true	false
province_to_army_own	provincewide	yours	army	any	true	false
province_to_character_enemy	provincewide	enemy	character_if_adult	any	true	false
province_to_character_own	provincewide	yours	character_if_adult	any	true	false
province_to_character_when_commanding_army_own_factionwide	factionwide	yours	character_when_commanding_army	any	true	false
province_to_character_when_commanding_navy_own_factionwide	factionwide	yours	character_when_commanding_navy	any	true	false
province_to_character_when_commanding_own_factionwide	factionwide	yours	character_when_commanding	any	true	false
province_to_faction	factionwide	yours	faction	any	true	true
province_to_faction_unseen	factionwide	yours	faction	any	true	true
province_to_force_any_provincewide	provincewide	any	force	any	true	false
province_to_force_enemy_provincewide	provincewide	enemy	force	any	true	false
province_to_force_own_factionwide	factionwide	yours	force	any	true	false
province_to_force_own_provincewide	provincewide	yours	force	any	true	false
province_to_force_own_provincewide_unseen	provincewide	yours	force	any	true	true
province_to_navy_factionwide	factionwide	yours	navy	any	true	false
province_to_province_adjacent_unseen	neighbour_faction_province	yours	province	any	true	true
province_to_province_own	provincewide	yours	province	any	true	false
province_to_province_own_factionwide	factionwide	yours	province	any	true	false
province_to_province_own_unseen	provincewide	yours	province	any	true	true
province_to_region_capital_spoof	provincewide	yours	region	any	true	false
province_to_region_own	provincewide	yours	region	any	true	false
province_to_region_own_factionwide	factionwide	yours	region	any	true	false
province_to_region_own_unseen	provincewide	yours	region	any	true	true
province_to_regions_own_in_adjacent_province	neighbour_faction_province	yours	region	any	true	false
province_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	false
province_to_sea_region_own_factionwide	factionwide	yours	sea_region	any	true	false
region_to_character_any	regionwide	any	character_if_adult	any	true	false
region_to_character_enemy	regionwide	enemy	character_if_adult	any	true	false
region_to_character_own	regionwide	yours	character_if_adult	any	true	false
region_to_character_own_provincewide	provincewide	yours	character_if_adult	any	true	false
region_to_faction	factionwide	yours	faction	yours	true	false
region_to_faction_unseen	factionwide	yours	faction	yours	true	true
region_to_force_any	regionwide	any	force	any	true	false
region_to_force_enemy	regionwide	enemy	force	any	true	false
region_to_force_own	regionwide	yours	force	any	true	false
region_to_force_own_factionwide	factionwide	yours	force	any	true	false
region_to_force_own_in_adjacent_province	neighbour_province_force	yours	force	any	true	false
region_to_force_own_in_adjacent_regions	neighbour_province_force	yours	force	any	true	false
region_to_force_own_in_adjacent_regions_all_owners	neighbour_province_force	yours	force	any	true	false
region_to_force_own_provincewide	provincewide	yours	force	yours	true	false
region_to_province_own	provincewide	yours	province	any	true	false
region_to_province_own_factionwide	factionwide	yours	province	any	true	false
region_to_province_own_unseen	provincewide	yours	province	any	true	true
region_to_region_adjacent	neighbour_region	any	region	any	true	false
region_to_region_adjacent_own	neighbour_region	yours	region	any	true	false
region_to_region_own	regionwide	yours	region	any	true	false
region_to_region_own_factionwide	factionwide	yours	region	any	true	false
region_to_region_own_factionwide_silk	factionwide	yours	region	any	true	false
region_to_region_own_factionwide_spice	factionwide	yours	region	any	true	false
region_to_region_own_provincewide	provincewide	yours	region	any	true	false
region_to_region_own_provincewide_unseen	provincewide	yours	region	any	true	true
region_to_region_own_provincewide_verbose	provincewide	yours	region	any	true	false
region_to_region_own_unseen	regionwide	yours	region	any	true	true
region_to_region_own_unseen_province_pool_view	regionwide	yours	region	any	true	false
region_to_region_own_unseen_province_pool_view_hidden	regionwide	yours	region	any	true	true
region_to_region_unseen	regionwide	any	region	any	true	true
region_to_sea_region_own	sea_regionwide	yours	sea_region	any	true	false
