campaign_group	resource	initial_amount
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_confederate_194	3k_dlc06_pooled_resource_shamoke_confederate	0
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_confederate_200	3k_dlc06_pooled_resource_shamoke_confederate	4
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_vassalise	3k_dlc06_pooled_resource_shamoke_vassalise	0
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_vassalise_194	3k_dlc06_pooled_resource_shamoke_vassalise	1
3k_dlc06_campaign_group_faction_pooled_resource_shamoke_vassalise_200	3k_dlc06_pooled_resource_shamoke_vassalise	0
3k_dlc06_campaign_group_faction_pooled_resource_shi_xie	3k_dlc06_pooled_resource_family_member_faction_leaders	0
3k_dlc06_campaign_group_faction_pooled_resource_shi_xie	3k_dlc06_pooled_resource_splendour	60
3k_dlc07_campaign_group_faction_pooled_resource_governance_200	3k_dlc04_pooled_resource_liu_biao_governance	500
3k_dlc07_campaign_group_faction_pooled_resource_imperial_favour	3k_dlc07_pooled_resource_imperial_favour	50
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_190	3k_dlc07_pooled_resource_ambition	0
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_194	3k_dlc07_pooled_resource_ambition	250
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_198	3k_dlc07_pooled_resource_ambition	600
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_tradeoffs_tracker_190	3k_dlc07_pooled_resource_tradeoffs_tracker	0
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_tradeoffs_tracker_194	3k_dlc07_pooled_resource_tradeoffs_tracker	0
3k_dlc07_campaign_group_faction_pooled_resource_liu_yan_tradeoffs_tracker_198	3k_dlc07_pooled_resource_tradeoffs_tracker	0
3k_dlc07_campaign_group_faction_pooled_resource_sun_ce	3k_dlc05_pooled_resource_reckless_luck	20
3k_dlc07_campaign_group_faction_pooled_resource_sun_ce	3k_dlc05_pooled_resource_shared_expertise	60
3k_main_campaign_group_faction_all	3k_main_pooled_resource_food	0
3k_main_campaign_group_faction_all	3k_main_pooled_resource_satisfaction	0
3k_main_campaign_group_faction_pooled_resource_cao_cao	3k_main_pooled_resource_credibility	40
3k_main_campaign_group_faction_pooled_resource_dong_zhuo	3k_main_pooled_resource_intimidation	85
3k_main_campaign_group_faction_pooled_resource_liu_bei	3k_main_pooled_resource_unity	120
3k_main_campaign_group_faction_pooled_resource_sun_jian	3k_main_pooled_resource_heroism	40
3k_main_campaign_group_faction_pooled_resource_yuan_shao	3k_main_pooled_resource_lineage	40
3k_main_campaign_group_faction_pooled_resource_yuan_shu	3k_main_pooled_resource_legitimacy	0
3k_main_campaign_group_faction_pooled_resource_zheng_jiang	3k_main_pooled_resource_infamy	0
3k_main_campaign_group_faction_province_all	3k_main_pooled_resource_supply	5
3k_main_campaign_group_pooled_resource_kong_rong_trade_monopoly	3k_main_pooled_resource_kong_rong	0
3k_main_campaign_group_pooled_resource_population_regions_all	3k_main_pooled_resource_population	5
ep_campaign_group_faction_pooled_resource_control	ep_pooled_resource_sima_jiong_control	250
ep_campaign_group_faction_pooled_resource_demesne	ep_pooled_resource_sima_liang_demesne	0
ep_campaign_group_faction_pooled_resource_influence	ep_pooled_resource_influence	30
ep_campaign_group_faction_pooled_resource_jurisdiction	ep_pooled_resource_sima_liang_jurisdiction	5
ep_campaign_group_faction_pooled_resource_reformation	ep_pooled_resource_reformation	450
ep_campaign_group_faction_pooled_resource_sima_wei	ep_pooled_resource_sima_wei	95
ep_campaign_group_faction_pooled_resource_subterfuge	ep_pooled_resource_sima_lun_subterfuge	1000
ep_campaign_group_factions_eight_princes	ep_pooled_resource_brain_alignment	0
ep_campaign_group_factions_eight_princes	ep_pooled_resource_fist_alignment	0
ep_campaign_group_factions_eight_princes	ep_pooled_resource_heart_alignment	0
ep_campaign_group_factions_eight_princes	ep_pooled_resource_money_alignment	0
ep_main_campaign_group_faction_province_all	3k_main_pooled_resource_supply	5
