frontend_faction_leader	frontend_faction_leader_unique_feature
3k_main_political_party_wu_ju_190	ep_unqiue_features_sima_jiong_judiciary
3k_main_political_party_wang_kuang_190	ep_unique_feature_assignment_sima_wei_reward_populace
3k_main_political_party_wang_kuang_190	ep_unique_features_political_action_present_gift
3k_main_political_party_han_fu_190	ep_unique_features_sima_yue_labour
3k_main_political_party_han_fu_190	ep_unique_features_sima_yue_minister_military
3k_main_political_party_han_fu_190	ep_unique_features_sima_yue_minister_province
3k_main_political_party_chen_gui_190	ep_unqiue_features_sima_lun_judiciary
ironic_main_sun_ce_faction_leader	3k_dlc05_unique_features_sun_ce_hand_maiden
ironic_main_sun_ce_faction_leader	3k_dlc05_unique_features_sun_ce_tiger
ironic_main_sun_ce_faction_leader	3k_main_unique_features_sun_jian_fealty
ironic_main_sun_ce_faction_leader	3k_main_unique_features_sun_jian_mercenary_1
ironic_main_sun_ce_faction_leader	3k_main_unique_features_sun_jian_mercenary_2
ironic_main_sun_ce_faction_leader	3k_main_unique_features_sun_jian_mercenary_3
3k_main_political_party_han_fu_190	unit_wood_ironic_spear_milita_infantry
3k_main_political_party_han_fu_190	unit_wood_ironic_han_fu_wood_infantry
3k_main_political_party_zhang_yang_190	unit_metal_ironic_zhang_yang_metal_infantry
3k_main_political_party_zhang_yang_190	unit_earth_ironic_zhang_yang_earth_cavalry
3k_main_political_party_wang_kuang_190	unit_water_ironic_wang_kuang_water_archers
3k_main_political_party_wang_kuang_190	unit_wood_ironic_wang_kuang_wood_infantry
3k_main_political_party_chen_gui_190	unit_water_ironic_chen_gui_water_crossbow
3k_main_political_party_chen_gui_190	unit_water_ironic_chen_gui_water_archers
3k_main_political_party_yang_feng_190	3k_ytr_unit_earth_white_wave_horsemen
3k_main_political_party_yang_feng_190	3k_ytr_unit_metal_white_wave_veterans
3k_main_political_party_liu_biao_ruler	ep_unique_features_sima_ai_archers_of_jing
3k_main_political_party_cai_mao_190	ep_unique_features_sima_ai_archers_of_jing
3k_main_political_party_huang_zu_190	ep_unique_features_sima_ai_archers_of_jing
3k_main_political_party_zhang_lu_190	ironic_tao_penitents_wood
3k_main_political_party_zhang_lu_190	ironic_zhenren_defenders_wood
3k_main_political_party_zhang_lu_190	ironic_zhang_lu_unique_roster
ironic_main_xiongnu_faction_leader	ep_unique_features_sima_lun_xiongnu_cataphrachts
ironic_main_xiongnu_faction_leader	ep_unique_features_sima_lun_xiongnu_cavalry
ironic_main_wuhuan_faction_leader	3k_mod_unit_earth_wuhuan_cavalry
ironic_main_wuhuan_faction_leader	3k_mod_unit_fire_wuhuan_dragons
ironic_main_wuhuan_faction_leader	3k_mod_unit_metal_wuhuan_infantry
ironic_main_wuhuan_faction_leader	3k_mod_unit_water_wuhuan_archers
ironic_main_wuhuan_faction_leader	ironic_wuhuan_feature_recharge_movement
ironic_main_xiongnu_faction_leader	ironic_barbarian_feature_constant_war
ironic_main_wuhuan_faction_leader	ironic_barbarian_feature_constant_war
3k_main_political_party_jia_long_190	ironic_jia_long_assignments
3k_main_political_party_jia_long_190	ironic_jia_long_country_estate
3k_main_political_party_goguryeo_190	ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_gaema_lancers
3k_main_political_party_goguryeo_190	ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_noble_gaema_lancers
3k_main_political_party_goguryeo_190	ironic_goguryeo_unit_rew_iro_goguryeo_unit_fire_noble_gaema_cataphracts
3k_main_political_party_goguryeo_190	ironic_goguryeo_unit_rew_iro_goguryeo_unit_wood_gaema_tribesmen
3k_main_political_party_goguryeo_190	ironic_korea_unique_mechanic_five_gods
3k_main_political_party_kong_zhou_190	ironic_kong_zhou_unique_school
3k_main_political_party_chen_wen_190	ironic_chen_wen_unique_inn
3k_main_political_party_liu_yu_190	ironic_liu_yu_unique_unit_wuhuan_nobles
3k_main_political_party_liu_yu_190	ironic_liu_yu_unique_unit_xianbei_mercenary
3k_main_political_party_jia_long_190	ironic_jia_long_unique_unit_gentry_household_guards
3k_main_political_party_jia_long_190	ironic_jia_long_unique_unit_yi_spearmen
3k_main_political_party_chen_wen_190	ironic_chen_wen_unit_water_ironic_alliance_sharpshooters
3k_main_political_party_chen_wen_190	ironic_chen_wen_unit_wood_ironic_alliance_defenders
3k_main_political_party_kong_zhou_190	ironic_kong_zhou_unit_wood_ironic_scholar_spearmen
3k_main_political_party_kong_zhou_190	ironic_kong_zhou_unit_water_ironic_scholar_archers
3k_main_political_party_liu_dai_190	ironic_liu_dai_unit_water_ironic_yan_crossbow
3k_main_political_party_liu_dai_190	ironic_liu_dai_unit_metal_ironic_yanjin_swashbucklers
3k_main_political_party_liu_dai_190	ironic_unique_buildings_liu_dai
3k_main_political_party_zhang_chao_190	ironic_unique_buildings_zhang_chao
3k_main_political_party_ying_shao_190	3k_dlc04_unique_features_lu_zhi_assignment_teacher
3k_main_political_party_ze_rong_190	ironic_unique_buildings_ze_rong
3k_main_political_party_gongsun_du_190	ironic_unique_buildings_gongsun_du
3k_main_political_party_zhang_chao_190	unit_metal_artist_guangling
3k_main_political_party_zhang_chao_190	unit_metal_guangling_pirates
3k_main_political_party_ying_shao_190	unit_metal_savant_warriors
3k_main_political_party_ying_shao_190	unit_wood_empire_watchmen
3k_main_political_party_gongsun_du_190	unit_metal_liaodong_headhunters
3k_main_political_party_gongsun_du_190	unit_water_liaodong_rangers
3k_main_political_party_lu_kang_190	unit_wood_yang_spearmen
3k_main_political_party_lu_kang_190	unit_metal_stalwart_axes
3k_main_political_party_ze_rong_190	unit_metal_bomb_throwers
3k_main_political_party_ze_rong_190	unit_water_warrior_monks
3k_main_political_party_xianbei_kuitou_190	ironic_gongsun_du_3k_mod_unit_earth_xianbei_swordguard
3k_main_political_party_xianbei_kuitou_190	ironic_gongsun_du_3k_mod_unit_metal_xianbei_headhunters
3k_main_political_party_xianbei_kuitou_190	ep_unique_features_sima_yong_xianbei_horse_archers
3k_main_political_party_xianbei_kuitou_190	ep_unique_features_sima_yong_xianbei_riders
3k_main_political_party_xianbei_tuoba_190	ironic_gongsun_du_3k_mod_unit_earth_xianbei_swordguard
3k_main_political_party_xianbei_tuoba_190	ironic_gongsun_du_3k_mod_unit_metal_xianbei_headhunters
3k_main_political_party_xianbei_tuoba_190	ep_unique_features_sima_yong_xianbei_horse_archers
3k_main_political_party_xianbei_tuoba_190	ep_unique_features_sima_yong_xianbei_riders
3k_main_political_party_di_tribes_190	ironic_di_marauders_earth
3k_main_political_party_di_tribes_190	ironic_di_horse_archers_water
3k_main_political_party_di_tribes_190	ironic_di_raiders_fire
3k_main_political_party_di_tribes_190	ironic_di_cataphracts_fire
3k_main_political_party_xianbei_kuitou_190	ironic_barbarian_feature_constant_war
3k_main_political_party_xianbei_tuoba_190	ironic_barbarian_feature_constant_war
3k_main_political_party_di_tribes_190	ironic_barbarian_feature_constant_war
3k_main_political_party_ma_ai_190	ironic_ma_ai_assignments
3k_main_political_party_lu_bu_190	3k_dlc05_unique_features_lu_bu_coerce
3k_main_political_party_lu_bu_190	3k_dlc05_unique_features_lu_bu_raze
3k_main_political_party_lu_bu_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_lu_bu_190	3k_dlc05_unit_fire_formation_breakers
3k_main_political_party_lu_bu_190	3k_dlc05_unit_metal_camp_crushers
3k_main_political_party_wang_lang_190	ironic_wang_lang_assignments
3k_main_political_party_wang_lang_190	ironic_wang_lang_buildings
3k_main_political_party_wang_lang_190	ironic_wang_lang_unit_inspector_cavalry
3k_main_political_party_wang_lang_190	ironic_wang_lang_unit_scholar_archers
3k_main_political_party_wu_jing_190	ironic_wu_jing_unit_wu_enginners
3k_main_political_party_wu_jing_190	ironic_wu_jing_unit_fuchun_militia
3k_main_political_party_wu_jing_190	ironic_wu_jing_building_military_conquest
3k_main_political_party_liu_yao_190	ironic_liu_yao_unit_yang_halberdiers
3k_main_political_party_liu_yao_190	ironic_liu_yao_unit_yang_crossbows
3k_main_political_party_liu_yao_190	ironic_liu_yao_building_labour_houses
3k_main_political_party_zu_lang_190	unit_metal_zu_lang_shanyue_bandits
3k_main_political_party_zu_lang_190	unit_metal_zu_lang_coastal_marauders
3k_main_political_party_tong_zhi_190	unit_metal_tong_zhi_wu_drafted_guards
3k_main_political_party_tong_zhi_190	unit_metal_tong_zhi_southern_honor_guard
3k_main_political_party_wang_sheng_190	unit_wood_wang_sheng_shanyue_levies
3k_main_political_party_wang_sheng_190	unit_wood_wang_sheng_provincial_defenders
3k_main_political_party_hua_xin_190	unit_wood_hua_xin_poyang_civic_spearmen
3k_main_political_party_hua_xin_190	unit_wood_hua_xin_southern_ambushers
3k_main_political_party_zhu_hao_190	unit_water_zhu_hao_volunteer_bowmen
3k_main_political_party_zhu_hao_190	unit_wood_zhu_hao_zhu_loyalist_guards
3k_main_political_party_zhuge_xuan_190	unit_wood_zhuge_xuan_yuzhang_spearmen
3k_main_political_party_zhuge_xuan_190	unit_water_zhuge_xuan_white_dragon_crossbowmen
3k_main_political_party_sheng_xian_190	unit_wood_sheng_xian_danyang_volunteers
3k_main_political_party_sheng_xian_190	unit_wood_sheng_xian_wu_peacekeepers
3k_main_political_party_ma_ai_190	unit_water_ma_ai_wraths_of_jiuquan
3k_main_political_party_ma_ai_190	unit_fire_ma_ai_wusun_horsemen
3k_main_political_party_handan_shang_190	unit_metal_handan_shang_caravan_guards
3k_main_political_party_handan_shang_190	unit_earth_handan_shang_nothern_pillagers
3k_main_political_party_huang_clan_190	unit_wood_huang_ang_frontier_guardians
3k_main_political_party_huang_clan_190	unit_earth_huang_ang_household_riders
3k_main_political_party_zu_lang_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_zu_lang_190	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_main_political_party_you_tu_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_you_tu_190	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_main_political_party_pan_lin_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_pan_lin_190	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_main_political_party_fei_zhan_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_fei_zhan_190	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_main_political_party_gan_ning_190	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_ni_xiaode_190	ep_unique_features_sima_yong_assignment
3k_main_political_party_ni_xiaode_190	ep_unique_features_sima_yong_security
3k_main_political_party_zhao_wei_190	ep_unique_features_sima_yong_government_support
3k_main_political_party_zhao_wei_190	3k_main_unique_features_zhao_wei_yi_archers
3k_main_political_party_zhao_wei_190	3k_main_unique_features_zhao_wei_yi_marksmen
3k_main_political_party_su_dai_190	ep_unique_features_sima_ai_assignment
3k_main_political_party_su_dai_190	ep_unique_features_sima_ai_reformation_buildings
3k_main_political_party_han_empire_190	3k_dlc04_unique_features_lu_zhi_defenders_of_the_empire
3k_main_political_party_han_empire_190	3k_dlc04_unique_features_lu_zhi_destroyers_of_traitors
3k_main_political_party_han_empire_190	3k_main_unique_features_governors_proclamation
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_pan_190	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_yu_190	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_yan_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_dai_190	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_yao_190	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_hua_xin_190	3k_main_unique_features_hua_xin_admin
3k_main_political_party_bian_rang_190	ep_unqiue_features_sima_jiong_captains
3k_main_political_party_bian_rang_190	3k_main_unique_features_bian_rang_assignment
ironic_main_xiongnu_faction_leader	3k_main_unique_features_xiongnu_encampment
3k_main_political_party_zhang_yang_190	3k_main_unique_features_zhang_forge
3k_main_political_party_zhuge_xuan_190	3k_main_unique_features_zhuge_school
3k_main_political_party_zhuge_xuan_190	3k_main_unique_features_zhuge_scroll
3k_main_political_party_xianbei_kuitou_190	3k_main_unique_features_northern_tribes_captain
3k_main_political_party_xianbei_tuoba_190	3k_main_unique_features_northern_tribes_captain
3k_main_political_party_di_tribes_190	3k_main_unique_features_northern_tribes_captain
ironic_main_wuhuan_faction_leader	3k_main_unique_features_northern_tribes_captain
ironic_main_xiongnu_faction_leader	3k_main_unique_features_northern_tribes_captain
3k_main_political_party_gongsun_du_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_han_fu_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_liu_yu_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_liu_dai_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_zhang_yang_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_wang_kuang_190	3k_main_unique_features_northern_captain_contest
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_northern_captain_contest
3k_main_political_party_yuan_shao_ruler	3k_main_unique_features_northern_captain_contest
3k_main_political_party_yuan_shu_ruler	3k_main_unique_features_northern_captain_contest
3k_main_political_party_gongsun_zan_ruler	3k_main_unique_features_northern_captain_contest
ironic_main_gao_gan_faction_leader	3k_main_unique_features_northern_captain_contest
3k_main_political_party_you_tu_190	3k_main_unique_features_you_tu_jiangdong_breakers
3k_main_political_party_you_tu_190	3k_main_unique_features_you_tu_yue_enforcers
3k_main_political_party_you_tu_190	3k_main_unique_features_you_tu_chest_gamble
3k_main_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_edicts
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_stables
3k_main_political_party_zhu_hao_190	ep_unqiue_features_sima_jiong_captains
3k_dlc04_main_political_party_prince_liu_chong_ruler	3k_main_unique_features_liu_chong_garrisons
