frontend_faction_leader	frontend_faction_leader_unique_feature
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_unique_features_lu_bu_raze
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_unit_fire_formation_breakers
3k_dlc05_political_party_lu_bu_ruler	3k_dlc05_unit_metal_camp_crushers
3k_dlc05_political_party_ma_teng_ruler	3k_main_unique_features_building_ma_teng_supply
3k_dlc05_political_party_ma_teng_ruler	3k_main_unique_features_governors_proclamation
3k_dlc05_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_hunters
3k_dlc05_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_marauders
3k_dlc05_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_raiders
3k_dlc05_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_peacekeepers
3k_dlc05_political_party_prince_liu_chong_ruler	3k_dlc04_unique_features_prince_liu_chong_chen_royal_guard
3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_unique_features_sun_ce_hand_maiden
3k_dlc05_political_party_sun_ce_ruler	3k_dlc05_unique_features_sun_ce_tiger
3k_dlc05_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_fealty
3k_dlc05_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_1
3k_dlc05_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_2
3k_dlc05_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_3
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_white_tiger_raiders
3k_dlc05_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_white_tiger_warriors
3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_occupation_option
3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_taoists
3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_technology
3k_dlc05_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_captain_armoury
3k_dlc05_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_captains
3k_dlc05_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_defenders_of_hebei
3k_dlc05_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_palace
3k_dlc05_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_warriors_of_ye
3k_dlc05_political_party_yuan_shu_ruler	3k_main_unique_feature_assignment_yuan_shu_investment
3k_dlc05_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_decadence
3k_dlc05_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_rapid_tiger_infantry
3k_dlc05_political_party_yuan_shu_ruler	3k_main_unique_features_yuan_shu_warriors_of_the_left
3k_dlc05_political_party_zhang_yan_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc05_political_party_zhang_yan_ruler	3k_main_unique_Features_zhang_yan_black_mountain
3k_dlc05_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_hunters
3k_dlc05_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_marauders
3k_dlc05_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_outlaws
3k_dlc05_political_party_zheng_jiang_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc05_political_party_zheng_jiang_ruler	3k_main_unique_feature_zheng_fists_of_the_bandit_queen
3k_dlc05_political_party_zheng_jiang_ruler	3k_main_unique_feature_zheng_jiang_hidden_axes
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_unique_features_meng_huo_faction_bonus
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_unique_features_meng_huo_fealty
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_unique_features_meng_huo_nanzhong_champions
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_unique_features_meng_huo_nanzhong_elephants
3k_dlc06_political_party_nanman_king_meng_huo_ruler_190	3k_dlc06_unique_features_meng_huo_nanzhong_spearmen
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_unique_features_meng_huo_faction_bonus
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_unique_features_meng_huo_fealty
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_unique_features_meng_huo_nanzhong_champions
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_unique_features_meng_huo_nanzhong_elephants
3k_dlc06_political_party_nanman_king_meng_huo_ruler_194	3k_dlc06_unique_features_meng_huo_nanzhong_spearmen
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_unique_features_meng_huo_faction_bonus
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_unique_features_meng_huo_fealty
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_unique_features_meng_huo_nanzhong_champions
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_unique_features_meng_huo_nanzhong_elephants
3k_dlc06_political_party_nanman_king_meng_huo_ruler_198	3k_dlc06_unique_features_meng_huo_nanzhong_spearmen
3k_dlc06_political_party_nanman_king_mulu_ruler_190	3k_dlc06_unique_features_king_mulu_fealty
3k_dlc06_political_party_nanman_king_mulu_ruler_190	3k_dlc06_unique_features_king_mulu_ravine_warriors
3k_dlc06_political_party_nanman_king_mulu_ruler_190	3k_dlc06_unique_features_king_mulu_southern_elephants
3k_dlc06_political_party_nanman_king_mulu_ruler_190	3k_dlc06_unique_features_king_mulu_war_elephants
3k_dlc06_political_party_nanman_king_mulu_ruler_194	3k_dlc06_unique_features_king_mulu_fealty
3k_dlc06_political_party_nanman_king_mulu_ruler_194	3k_dlc06_unique_features_king_mulu_ravine_warriors
3k_dlc06_political_party_nanman_king_mulu_ruler_194	3k_dlc06_unique_features_king_mulu_southern_elephants
3k_dlc06_political_party_nanman_king_mulu_ruler_194	3k_dlc06_unique_features_king_mulu_war_elephants
3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_unique_features_king_mulu_fealty
3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_unique_features_king_mulu_ravine_warriors
3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_unique_features_king_mulu_southern_elephants
3k_dlc06_political_party_nanman_king_mulu_ruler_198	3k_dlc06_unique_features_king_mulu_war_elephants
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_unique_features_shamoke_cultural_reform
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_unique_features_shamoke_fealty
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_unique_features_shamoke_might_of_the_valley
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_unique_features_shamoke_wuling_fighters
3k_dlc06_political_party_nanman_king_shamoke_ruler_190	3k_dlc06_unique_features_shamoke_wuling_slingers
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_unique_features_shamoke_cultural_reform
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_unique_features_shamoke_fealty
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_unique_features_shamoke_might_of_the_valley
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_unique_features_shamoke_wuling_fighters
3k_dlc06_political_party_nanman_king_shamoke_ruler_194	3k_dlc06_unique_features_shamoke_wuling_slingers
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_unique_features_shamoke_cultural_reform
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_unique_features_shamoke_fealty
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_unique_features_shamoke_might_of_the_valley
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_unique_features_shamoke_wuling_fighters
3k_dlc06_political_party_nanman_king_shamoke_ruler_198	3k_dlc06_unique_features_shamoke_wuling_slingers
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_unique_features_lady_zhurong_fealty
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_unique_features_nanman_lady_zhurong_assignment_trailblazer
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_unique_features_nanman_lady_zhurong_followers_of_the_flame
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_unique_features_nanman_lady_zhurong_tiger_slingers
3k_dlc06_political_party_nanman_lady_zhurong_ruler_190	3k_dlc06_unique_features_nanman_lady_zhurong_tiger_warriors
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_unique_features_lady_zhurong_fealty
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_unique_features_nanman_lady_zhurong_assignment_trailblazer
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_unique_features_nanman_lady_zhurong_followers_of_the_flame
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_unique_features_nanman_lady_zhurong_tiger_slingers
3k_dlc06_political_party_nanman_lady_zhurong_ruler_194	3k_dlc06_unique_features_nanman_lady_zhurong_tiger_warriors
3k_dlc06_political_party_shi_xie_ruler_190	3k_dlc06_unique_features_shi_xie_bonds_of_family
3k_dlc06_political_party_shi_xie_ruler_190	3k_dlc06_unique_features_shi_xie_tribute_chests
3k_dlc06_political_party_shi_xie_ruler_190	3k_main_unique_features_governors_proclamation
3k_dlc06_political_party_shi_xie_ruler_194	3k_dlc06_unique_features_shi_xie_bonds_of_family
3k_dlc06_political_party_shi_xie_ruler_194	3k_dlc06_unique_features_shi_xie_tribute_chests
3k_dlc06_political_party_shi_xie_ruler_194	3k_main_unique_features_governors_proclamation
3k_dlc06_political_party_shi_xie_ruler_198	3k_dlc06_unique_features_shi_xie_bonds_of_family
3k_dlc06_political_party_shi_xie_ruler_198	3k_dlc06_unique_features_shi_xie_tribute_chests
3k_dlc06_political_party_shi_xie_ruler_198	3k_main_unique_features_governors_proclamation
3k_dlc07_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_conscription
3k_dlc07_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_garrisons
3k_dlc07_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_heavy_tiger_and_leopard_cavalry
3k_dlc07_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_schemes
3k_dlc07_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_tiger_and_leopard_cavalry
3k_dlc07_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_confederate
3k_dlc07_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_dlc07_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_tax_collector
3k_dlc07_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_archers
3k_dlc07_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_marksmen
3k_dlc07_political_party_liu_biao_ruler	3k_main_unique_features_building_liu_biao_gentlemen
3k_dlc07_political_party_liu_biao_ruler	3k_main_unique_features_governors_proclamation
3k_dlc07_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_imperial_defenders
3k_dlc07_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_infantry_of_jing
3k_dlc07_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_ministerial_position
3k_dlc07_political_party_liu_zhang_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_defenders
3k_dlc07_political_party_liu_zhang_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_marksmen
3k_dlc07_political_party_liu_zhang_ruler	3k_dlc07_unique_features_liu_yan_inheritance
3k_dlc07_political_party_ma_teng_ruler	3k_main_unique_features_building_ma_teng_supply
3k_dlc07_political_party_ma_teng_ruler	3k_main_unique_features_governors_proclamation
3k_dlc07_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_hunters
3k_dlc07_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_marauders
3k_dlc07_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_raiders
3k_dlc07_political_party_sun_ce_ruler	3k_dlc05_unique_features_sun_ce_hand_maiden
3k_dlc07_political_party_sun_ce_ruler	3k_dlc05_unique_features_sun_ce_tiger
3k_dlc07_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_fealty
3k_dlc07_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_1
3k_dlc07_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_2
3k_dlc07_political_party_sun_ce_ruler	3k_main_unique_features_sun_jian_mercenary_3
3k_dlc07_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_building
3k_dlc07_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_stance
3k_dlc07_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_technology
3k_dlc07_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_captain_armoury
3k_dlc07_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_captains
3k_dlc07_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_defenders_of_hebei
3k_dlc07_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_palace
3k_dlc07_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_warriors_of_ye
3k_dlc07_political_party_zhang_yan_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc07_political_party_zhang_yan_ruler	3k_main_unique_Features_zhang_yan_black_mountain
3k_dlc07_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_hunters
3k_dlc07_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_marauders
3k_dlc07_political_party_zhang_yan_ruler	3k_main_unique_features_zhang_yan_black_mountain_outlaws
3k_dlc07_political_party_zheng_jiang_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_dlc07_political_party_zheng_jiang_ruler	3k_main_unique_feature_zheng_fists_of_the_bandit_queen
3k_dlc07_political_party_zheng_jiang_ruler	3k_main_unique_feature_zheng_jiang_hidden_axes
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_conscription
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_garrisons
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_heavy_tiger_and_leopard_cavalry
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_schemes
3k_main_political_party_cao_cao_ruler	3k_main_unique_features_cao_cao_tiger_and_leopard_cavalry
3k_main_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_conscription
3k_main_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_heavy_xiliang_cavalry
3k_main_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_occupation_options
3k_main_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_threaten
3k_main_political_party_dong_zhuo_ruler	3k_main_unique_features_dong_zhuo_xiliang_cavalry
3k_main_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_military
3k_main_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_white_horse_fellows
3k_main_political_party_gongsun_zan_ruler	3k_main_unique_features_gongsun_zan_white_horse_raiders
3k_main_political_party_kong_rong_ruler	3k_main_unique_feature_assignment_kong_rong_investment
3k_main_political_party_kong_rong_ruler	3k_main_unique_features_governors_proclamation
3k_main_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_fury_of_beihai
3k_main_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_public_schools
3k_main_political_party_kong_rong_ruler	3k_main_unique_features_kong_rong_thunder_of_jian_an
3k_main_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_confederate
3k_main_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_occupation_option
3k_main_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_tax_collector
3k_main_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_archers
3k_main_political_party_liu_bei_ruler	3k_main_unique_features_liu_bei_yi_marksmen
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_building_liu_biao_gentlemen
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_governors_proclamation
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_imperial_defenders
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_infantry_of_jing
3k_main_political_party_liu_biao_ruler	3k_main_unique_features_liu_biao_ministerial_position
3k_main_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_defenders
3k_main_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_dongzhoubing_marksmen
3k_main_political_party_liu_yan_ruler	3k_dlc07_unique_features_liu_yan_inheritance
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_building_ma_teng_supply
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_governors_proclamation
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_hunters
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_marauders
3k_main_political_party_ma_teng_ruler	3k_main_unique_features_ma_teng_qiang_raiders
3k_main_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_fealty
3k_main_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_1
3k_main_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_2
3k_main_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_3
3k_main_political_party_sun_jian_ruler	3k_main_unique_features_sun_jian_mercenary_captain
3k_main_political_party_tao_qian_ruler	3k_dlc04_unique_features_tao_qian_territorial_archers
3k_main_political_party_tao_qian_ruler	3k_dlc04_unique_features_tao_qian_territorial_spearmen
3k_main_political_party_tao_qian_ruler	3k_main_unique_features_governors_proclamation
3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_mercenary_treaty
3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_shanyue_enclave
3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_white_tiger_raiders
3k_main_political_party_white_tiger_yan_ruler	3k_dlc05_unique_features_white_tiger_yan_white_tiger_warriors
3k_main_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_building
3k_main_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_stance
3k_main_political_party_yellow_anding_ruler	3k_ytr_unique_features_gong_du_technology
3k_main_political_party_yellow_taishan_ruler	3k_ytr_unique_features_huang_shao_assignment
3k_main_political_party_yellow_taishan_ruler	3k_ytr_unique_features_huang_shao_building
3k_main_political_party_yellow_taishan_ruler	3k_ytr_unique_features_huang_shao_technology
3k_main_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_occupation_option
3k_main_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_taoists
3k_main_political_party_yellow_turban_ruler	3k_ytr_unique_features_he_yi_technology
3k_main_political_party_yuan_shao_ruler	3k_main_unique_features_yuan_shao_captain_armoury
