unit	additional_building_requirement	campaign_cap	caste	create_time	can_trade	land_unit	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	is_naval	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	min_health_fraction	restrict_xp_gain_in_campaign	is_mergeable	turns_to_muster_to_full_strength	unit_card	campaign_siege_escalation_percentage_effectiveness	voiceover_actor_group	spawning_health_fraction	adc_plays_as_conversation
rew_iro_ni_xiaode_wood_nanhai_pearl_halberdiers		0	melee_infantry	0	false	rew_iro_ni_xiaode_wood_nanhai_pearl_halberdiers	0	1250	3k_main_campaign_ship_transport	1	1	320	0	1520			315	heavy		false	false	0	190825027	true		vo_Empire	3k_main_unit_polearm_infantry_wood	3k_main_unit_polearm_infantry_wood	3	false	default		true		1000.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_chen_spear_defenders	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_zhu_fu_metal_wuling_improvisers		0	melee_infantry	0	false	rew_iro_zhu_fu_metal_wuling_improvisers	0	650	3k_main_campaign_ship_transport	1	1	320	0	540			140	light		false	false	0	190825028	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	1	false	default		true		480.0000	90.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_militia_2h_axemen	5.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_zhu_fu_water_wuling_inconstant_guard		0	missile_infantry	0	false	rew_iro_zhu_fu_water_wuling_inconstant_guard	0	1200	3k_main_campaign_ship_transport	1	1	320	0	1460			300	medium		false	false	0	190825029	true		vo_Empire	3k_main_unit_glavie_bow_infantry_wood	3k_main_unit_glavie_bow_infantry_wood	3	false	default		true		640.0000	470.0000	false	vo_Empire	0.1000	false	true	8	ui/vaca_units/wood/tao_penitents	4.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_bian_rang_water_scholar_crossbows		0	missile_infantry	0	false	rew_iro_bian_rang_water_scholar_crossbows	0	980	3k_main_campaign_ship_transport	1	1	320	0	900			215	light		false	false	0	190825030	true		vo_Empire	3k_main_unit_crossbow_infantry_water	3k_main_unit_crossbow_infantry_water	2	false	default		true		190.0000	580.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_elite_crossbowmen	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_bian_rang_wood_retainer_spearguards		0	melee_infantry	0	false	rew_iro_bian_rang_wood_retainer_spearguards	0	1230	3k_main_campaign_ship_transport	1	1	320	0	1490			310	heavy		false	false	0	190825031	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	3	false	default		true		990.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_elite_spearmen	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_su_dai_water_hired_marksmen		0	missile_infantry	0	false	rew_iro_su_dai_water_hired_marksmen	0	900	3k_main_campaign_ship_transport	1	1	320	0	800			195	light		false	false	0	190825032	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	2	false	default		true		175.0000	530.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_jianan_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_su_dai_metal_caravan_guards		0	melee_infantry	0	false	rew_iro_su_dai_metal_caravan_guards	0	1280	3k_main_campaign_ship_transport	1	1	320	0	1550			320	heavy		false	false	0	190825033	true		vo_Empire	3k_main_unit_sword_infantry_metal	3k_main_unit_sword_infantry_metal	3	false	default		true		1030.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_sword_guards_of_the_eight_talents	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_lai_gong_wood_gaoliang_levy_spears		0	melee_infantry	0	false	rew_iro_lai_gong_wood_gaoliang_levy_spears	0	840	3k_main_campaign_ship_transport	1	1	320	0	720			180	light		false	false	0	190825034	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	2	false	default		true		540.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_guanxibing_spearmen	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_lai_gong_water_southern_watch_archers		0	missile_infantry	0	false	rew_iro_lai_gong_water_southern_watch_archers	0	1180	3k_main_campaign_ship_transport	1	1	320	0	1420			295	medium		false	false	0	190825035	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	3	false	default		true		220.0000	620.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_dan_yang_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_wu_ju_metal_yulin_storm_axes		0	melee_infantry	0	false	rew_iro_wu_ju_metal_yulin_storm_axes	0	920	3k_main_campaign_ship_transport	1	1	320	0	840			205	light		false	false	0	190825036	true		vo_Empire	3k_main_unit_axe_infantry_metal	3k_main_unit_axe_infantry_metal	2	false	default		true		660.0000	110.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_qingzhou_2h_axe_infantry	5.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_wu_ju_metal_yulin_tempest_glaives		0	melee_infantry	0	false	rew_iro_wu_ju_metal_yulin_tempest_glaives	0	1270	3k_main_campaign_ship_transport	1	1	320	0	1540			318	heavy		false	false	0	190825037	true		vo_Empire	3k_main_unit_glaive_infantry_metal	3k_main_unit_glaive_infantry_metal	3	false	default		true		1020.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_militia_ji_infantry	4.0000	vo_actor_group_generic_any_male_metal_general	0.2000	true
rew_iro_wu_huan_ytr_wood_jiangdong_zealot_spears		0	melee_infantry	0	false	rew_iro_wu_huan_ytr_wood_jiangdong_zealot_spears	0	820	3k_main_campaign_ship_transport	1	1	320	0	700			175	light		false	false	0	190825038	true		vo_Empire	3k_main_unit_spear_infantry_wood	3k_main_unit_spear_infantry_wood	2	false	default		true		530.0000	0.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_ytr_peasant_spearmen	4.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
rew_iro_wu_huan_ytr_water_faithful_archers		0	missile_infantry	0	false	rew_iro_wu_huan_ytr_water_faithful_archers	0	1150	3k_main_campaign_ship_transport	1	1	320	0	1390			290	medium		false	false	0	190825039	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	3	false	default		true		200.0000	600.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_ytr_yellow_turban_archers	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_zhang_jin_water_vermilion_veil_archers		0	missile_infantry	0	false	rew_iro_zhang_jin_water_vermilion_veil_archers	0	800	3k_main_campaign_ship_transport	1	1	320	0	700			175	light		false	false	0	190825040	true		vo_Empire	3k_main_unit_ranged_infantry_water	3k_main_unit_ranged_infantry_water	2	false	default		true		180.0000	420.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/hv_unit_ytr_archery_masters	6.0000	vo_actor_group_generic_any_male_water_general	0.2000	true
rew_iro_zhang_jin_wood_meridian_halberdiers		0	melee_infantry	0	false	rew_iro_zhang_jin_wood_meridian_halberdiers	0	1250	3k_main_campaign_ship_transport	1	1	320	0	1400			285	heavy		false	false	0	190825041	true		vo_Empire	3k_main_unit_glavie_bow_infantry_wood	3k_main_unit_glavie_bow_infantry_wood	3	false	default		true		900.0000	260.0000	false	vo_Empire	0.1000	false	true	8	ui/hvo/units_reworked/3k_dlc07_unit_wood_northern_veteran_spears	3.0000	vo_actor_group_generic_any_male_wood_general	0.2000	true
