key	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	sort_order	victory_screen_image	defeat_screen_image	frontend_character	faction_leader_effect_bundle	starting_progression_level	is_recommended
3k_main_political_party_yang_feng_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_yang_feng_190	3k_main_political_party_yang_feng_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_gongsun_du_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_gongsun_du_190	3k_main_political_party_gongsun_du_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_liu_dai_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_liu_dai_190	3k_main_political_party_liu_dai_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_ying_shao_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_ying_shao_190	3k_main_political_party_ying_shao_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_chen_gui_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_chen_gui_190	3k_main_political_party_chen_gui_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_ze_rong_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_ze_rong_190	3k_main_political_party_ze_rong_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhang_chao_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhang_chao_190	3k_main_political_party_zhang_chao_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_chen_wen_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_chen_wen_190	3k_main_political_party_chen_wen_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_bian_rang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_bian_rang_190	3k_main_political_party_bian_rang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_lu_kang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_lu_kang_190	3k_main_political_party_lu_kang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhang_lu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhang_lu_190	3k_main_political_party_zhang_lu_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_jia_long_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_jia_long_190	3k_main_political_party_jia_long_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_liu_yao_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_liu_yao_190	3k_main_political_party_liu_yao_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_sheng_xian_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_sheng_xian_190	3k_main_political_party_sheng_xian_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_wang_lang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_wang_lang_190	3k_main_political_party_wang_lang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhu_hao_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhu_hao_190	3k_main_political_party_zhu_hao_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_hua_xin_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_hua_xin_190	3k_main_political_party_hua_xin_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhuge_xuan_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhuge_xuan_190	3k_main_political_party_zhuge_xuan_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_liu_pan_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_liu_pan_190	3k_main_political_party_liu_pan_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhang_xian_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhang_xian_190	3k_main_political_party_zhang_xian_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_zhang_jin_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhang_jin_190	3k_main_political_party_zhang_jin_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_shi_huang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_shi_huang_190	3k_main_political_party_shi_huang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_gan_ning_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_gan_ning_190	3k_main_political_party_gan_ning_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_han_empire_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_han_empire_190	3k_main_political_party_han_empire_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_huang_zu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_huang_zu_190	3k_main_political_party_huang_zu_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_cai_mao_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_cai_mao_190	3k_main_political_party_cai_mao_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_kong_zhou_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_kong_zhou_190	3k_main_political_party_kong_zhou_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_yt_generic_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_yt_generic_190	3k_main_political_party_yt_generic_190	3k_main_yellow_turban_1	false
3k_main_political_party_zhu_fu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_zhu_fu_190	3k_main_political_party_zhu_fu_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_wu_ju_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_wu_ju_190	3k_main_political_party_wu_ju_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_lai_gong_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_lai_gong_190	3k_main_political_party_lai_gong_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_han_fu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_han_fu_190	3k_main_political_party_han_fu_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_goguryeo_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_goguryeo_190	3k_main_political_party_goguryeo_190	ironic_korea_progression_1	false
3k_main_political_party_bakaja_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_bakaja_190	3k_main_political_party_bakaja_190	ironic_korea_progression_1	false
3k_main_political_party_shitla_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_shitla_190	3k_main_political_party_shitla_190	ironic_korea_progression_1	false
3k_main_political_party_lu_bu_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	-1.0000	-1.0000	vo_actor_hero_Lu_Bu_dlc05	5	ui/post_campaign_background/campaign_victory_lu_bu.png	ui/post_campaign_background/campaign_defeat_lu_bu.png	3k_main_template_historical_lu_bu_hero_fire	3k_dlc05_frontend_leader_bundle_lu_bu_ruler	3k_dlc04_cao_cao_0	false
3k_main_political_party_xianbei_kuitou_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	287.0000	629.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_xianbei_kuitou_190	3k_main_political_party_xianbei_kuitou_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_xianbei_tuoba_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	646.0000	665.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_xianbei_tuoba_190	3k_main_political_party_xianbei_tuoba_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_di_tribes_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_fire	207.0000	453.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_di_tribes_190	3k_main_political_party_di_tribes_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_ma_ai_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	59.0000	596.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_ma_ai_190	3k_main_political_party_ma_ai_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_huang_clan_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	112.0000	619.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_huang_clan_190	3k_main_political_party_huang_clan_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_handan_shang_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	121.0000	577.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_handan_shang_190	3k_main_political_party_handan_shang_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_faction_jiuzhen_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_jiuzhen_190	3k_main_political_party_faction_jiuzhen_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_wang_sheng_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	121.0000	577.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_wang_sheng_190	3k_main_political_party_wang_sheng_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_tong_zhi_190		3k_main_faction_intro_fire	ui/loading_ui/load_images/campaign_1.png	3k_main_faction_intro_sun_jian	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_tong_zhi_190	3k_main_political_party_tong_zhi_190	3k_dlc04_cao_cao_0	false
3k_main_political_party_faction_nanman_jiangyang_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_jiangyang_190	3k_main_political_party_faction_nanman_jiangyang_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_jianning_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_jianning_190	3k_main_political_party_faction_nanman_jianning_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_yunnan_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_yunnan_190	3k_main_political_party_faction_nanman_yunnan_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_ahuinan_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_ahuinan_190	3k_main_political_party_faction_nanman_ahuinan_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_mangyachang_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_mangyachang_190	3k_main_political_party_faction_nanman_mangyachang_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_zangke_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_zangke_190	3k_main_political_party_faction_nanman_zangke_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_jinhuansanjie_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_jinhuansanjie_190	3k_main_political_party_faction_nanman_jinhuansanjie_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_dongtuna_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_dongtuna_190	3k_main_political_party_faction_nanman_dongtuna_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_tu_an_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_tu_an_190	3k_main_political_party_faction_nanman_tu_an_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_xi_ni_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_xi_ni_190	3k_main_political_party_faction_nanman_xi_ni_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_king_wutugu_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_king_wutugu_190	3k_main_political_party_faction_nanman_king_wutugu_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_jiaozhi_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_jiaozhi_190	3k_main_political_party_faction_nanman_jiaozhi_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_yang_feng_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_yang_feng_190	3k_main_political_party_faction_nanman_yang_feng_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_king_duosi_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_king_duosi_190	3k_main_political_party_faction_nanman_king_duosi_190	3k_dlc06_nanman_0	false
3k_main_political_party_faction_nanman_yongchang_190		3k_dlc06_faction_intro_all	ui/loading_ui/load_images/campaign_1.png	3k_dlc06_faction_intro_all	-1.0000	-1.0000	vo_actor_group_sound	0	ui/post_campaign_background/campaign_victory_red.png	ui/post_campaign_background/campaign_defeat_red.png	3k_main_political_party_faction_nanman_yongchang_190	3k_main_political_party_faction_nanman_yongchang_190	3k_dlc06_nanman_0	false
