key	persistent_factors	default_factor	ai_ignored	minimum	maximum	overflow_behaviour	reset_policy	icon_path	ui_value_scale_factor	income_policy	shared
3k_dlc05_pooled_resource_lu_bu_personal_victories	true	3k_dlc05_pooled_factor_personal_victories_characters_defeated	false	0	10000	DISCARD	NONE	ui/skins/default/dlc_05_ph_lu_bu_pooled_personal_victories_resource.png	1.0000	END_OF_ROUND	false
3k_dlc05_pooled_resource_mercenary_activity	false	3k_dlc05_pooled_factor_mercenary_activity	false	0	100	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/mh_political_parties_icon_warlords.png	1.0000	END_OF_ROUND	false
3k_dlc05_pooled_resource_reckless_luck	true	3k_dlc05_pooled_factor_reckless_luck_from_ambitions	false	0	250	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_heroism.png	1.0000	END_OF_ROUND	false
3k_dlc05_pooled_resource_shared_expertise	false	3k_dlc05_pooled_factor_shared_expertise_from_characters	false	0	99	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_heroism.png	1.0000	END_OF_ROUND	false
3k_dlc05_pooled_resource_white_tiger_confederation	false	3k_dlc05_pooled_factor_white_tiger_confederation	false	0	8	DISCARD	END_OF_TURN	UI/skins/default/3k_dlc05_white_tiger_yan_pooled_resource.png	1.0000	ECONOMICS_UPDATE	false
3k_dlc06_pooled_resource_family_member_faction_leaders	true	3k_dlc06_pooled_factor_family_member_faction_leaders	false	0	100	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_flaming_confinement	false	3k_dlc06_pooled_factor_resource_flaming_confinement_increase	false	0	60	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_goddess_of_fire	false	3k_dlc06_pooled_factor_resource_goddess_of_fire_increase	false	0	18	DISCARD	NONE	ui/skins/default/3k_dlc06_lady_zhurongs_pooled_resource.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_mulu_pride	false	3k_dlc06_pooled_factor_mulu_pride	false	0	200	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/3k_dlc06_king_mulu_pooled_resource.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_mulu_rituals	true	3k_dlc06_pooled_factor_mulu_rituals	false	0	8	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_shamoke_confederate	false	3k_dlc06_pooled_factor_shamoke_confederate	false	0	10	DISCARD	NONE	ui/skins/default/3k_dlc06_shamoke_alignment_2_icon.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_shamoke_vassalise	false	3k_dlc06_pooled_factor_shamoke_vassalise	false	0	10	DISCARD	NONE	ui/skins/default/3k_dlc06_shamoke_alignment_1_icon.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_smouldering_fire	false	3k_dlc06_pooled_factor_resource_smouldering_fire_increase	false	0	9	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_dlc06_pooled_resource_splendour	true	3k_dlc06_pooled_factor_splendour_court_members_own	false	0	260	DISCARD	NONE	ui/skins/default/3k_dlc06_shi_xie_pooled_resource.png	1.0000	END_OF_ROUND	false
3k_dlc07_pooled_resource_ambition	true	3k_dlc07_pooled_factor_ambition_tradeoffs	false	0	10000	DISCARD	NONE	ui/skins/default/3k_dlc07_pooled_resource_ambition.png	1.0000	END_OF_ROUND	false
3k_dlc07_pooled_resource_imperial_favour	false	3k_dlc07_pooled_factor_imperial_favour	false	0	100	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/3k_dlc07_pooled_resource_imperial_favour.png	1.0000	END_OF_ROUND	false
3k_dlc07_pooled_resource_tradeoffs_tracker	true	3k_dlc07_pooled_factor_ambition_tradeoffs_tracker	false	0	8	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_credibility	false	3k_main_pooled_factor_credibility	false	0	100	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_credibility.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_food	false	3k_main_pooled_factor_food	false	-2147483647	2147483647	DISCARD	END_OF_TURN	ui/skins/default/icon_food_26.png	1.0000	ECONOMICS_UPDATE	false
3k_main_pooled_resource_heroism	false	3k_main_pooled_factor_heroism	false	0	200	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_heroism.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_infamy	false	3k_main_pooled_factor_infamy	false	0	500	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_infamy.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_intimidation	false	3k_main_pooled_factor_intimidation	false	0	100	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_intimidation.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_kong_rong	false	3k_main_pooled_factor_trade_monopoly	false	0	500	DISCARD	NONE	ui/skins/default/3k_main_ui_building_group_district_market.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_legitimacy	false	3k_main_pooled_factor_legitimacy_propaganda	false	0	400	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_conceit.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_lineage	false	3k_main_pooled_factor_lineage	false	0	1000	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_lineage.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_population	false	3k_main_pooled_factor_population	false	0	0	DISTRIBUTE_TO_NEIGHBOURS	NONE	ui/skins/default/icon_population.png	1000.0000	END_OF_ROUND	false
3k_main_pooled_resource_satisfaction	false	3k_main_pooled_factor_satisfaction	false	-2147483647	2147483647	DISCARD	END_OF_TURN	UI/Campaign UI/Effect_Bundles/satisfaction.png	1.0000	ECONOMICS_UPDATE	false
3k_main_pooled_resource_supply	false	3k_main_pooled_factor_supply	false	0	0	DISCARD	NONE	ui/skins/default/placeholder.png	1.0000	END_OF_ROUND	false
3k_main_pooled_resource_unity	false	3k_main_pooled_factor_unity_from_characters	false	0	1000	DISCARD	NONE	ui/skins/default/3k_main_pooled_resource_cohesion.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_brain_alignment	true	ep_pooled_factor_brain_alignment	false	0	250	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_alignment_effect_icon_brain.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_fist_alignment	true	ep_pooled_factor_fist_alignment	false	0	250	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_alignment_effect_icon_fist.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_heart_alignment	true	ep_pooled_factor_heart_alignment	false	0	250	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_alignment_effect_icon_heart.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_influence	false	ep_pooled_factor_influence	false	0	500	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_donghai_specialisation.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_money_alignment	true	ep_pooled_factor_money_alignment	false	0	250	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_alignment_effect_icon_coin.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_reformation	false	ep_pooled_factor_reformation	false	0	2000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_changsha_specialisation.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_sima_jiong_control	false	ep_pooled_factor_control	false	0	1000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_qi_specialisation.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_sima_liang_demesne	false	ep_pooled_factor_demesne	false	-2147483647	2147483647	DISCARD	END_OF_TURN	UI/Campaign UI/Effect_Bundles/regional_faction_support.png	1.0000	ECONOMICS_UPDATE	false
ep_pooled_resource_sima_liang_jurisdiction	false	ep_pooled_factor_jurisdiction	false	0	1000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_runan_specialisation.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_sima_lun_subterfuge	false	ep_pooled_factor_subterfuge	false	0	1000	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_zhao_specialisation.png	1.0000	END_OF_ROUND	false
ep_pooled_resource_sima_wei	false	ep_pooled_factor_sima_wei	false	0	400	DISCARD	NONE	UI/Campaign UI/Effect_Bundles/ep_frontend_leader_prince_of_chu_specialisation.png	1.0000	END_OF_ROUND	false
