key	playable	effect_bundle	initial_power
3k_main_political_party_faction_nanman_jiangyang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_jianning_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_yunnan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_ahuinan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_mangyachang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_zangke_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_jinhuansanjie_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_dongtuna_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_tu_an_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_xi_ni_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_king_wutugu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_jiaozhi_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_yang_feng_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_king_duosi_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_faction_nanman_yongchang_190	true	3k_main_dummy_effect_bundle	60
ironic_faction_cao_ren_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_ma_chao_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_sun_quan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_xiahou_yuan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhang_liao_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_chen_lan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_yellow_turban_xu_he_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhou_yu_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhong_yao_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_du_ji_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhuge_liang_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_han_xuan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_liu_du_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhao_fan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_sun_ben_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_lei_xu_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_liu_shan_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_guan_yu_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zu_lang_gathering	true	3k_main_dummy_effect_bundle	60
ironic_faction_zhu_jun_gathering	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_wu_jing_190	true	effect_Bundle_wu_jing_satisfaction	60
3k_main_political_party_liu_xun_190	true	3k_main_dummy_effect_bundle	60
ironic_faction_yellow_turban_wu_huan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_fei_zhan_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_su_dai_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_you_tu_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_pan_lin_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zu_lang_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_zhao_wei_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_ni_xiaode_190	true	ep_prince_of_hejian_faction_trait	60
3k_main_political_party_buyeo_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_gaya_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_korea_ye_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_tamno_190	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_hu_mao_190	true	3k_main_dummy_effect_bundle	60
