key	playable	effect_bundle	initial_power
3k_dlc06_political_party_nanman_xi_ni_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_yang_feng_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_yang_feng_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_yongchang_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_yongchang_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_yunnan_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_yunnan_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_nanman_zangke_ruler	false	3k_main_dummy_effect_bundle	60
3k_dlc06_political_party_nanman_zangke_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_shi_xie_council	false	3k_main_dummy_effect_bundle	40
3k_dlc06_political_party_shi_xie_ruler	true	3k_dlc06_shi_xie_faction_bundle	60
3k_dlc07_political_party_liu_zhang_ruler	true	3k_dlc07_liu_yan_faction_bundle	60
3k_dlc07_political_party_liu_zhang_separatists_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_cao_cao_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_cao_cao_ruler	true	3k_main_effect_bundle_ai_cao_cao_bonus_income	40
3k_main_political_party_dong_zhuo_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_dong_zhuo_ruler	true	3k_main_dummy_effect_bundle	40
3k_main_political_party_gongsun_zan_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_gongsun_zan_ruler	true	3k_main_dummy_effect_bundle_gongsun_zan_military_government	40
3k_main_political_party_kong_rong_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_kong_rong_ruler	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_bei_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_liu_bei_ruler	true	3k_main_dummy_effect_bundle	40
3k_main_political_party_liu_biao_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_liu_biao_ruler	true	3k_main_dummy_effect_bundle	60
3k_main_political_party_ma_teng_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_ma_teng_ruler	true	3k_main_faction_trait_ma_teng	60
3k_main_political_party_sun_jian_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_sun_jian_ruler	true	3k_main_dummy_effect_bundle	40
3k_main_political_party_tao_qian_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_tao_qian_ruler	true	3k_main_effect_bundle_tao_qian_bonus_income	60
3k_main_political_party_yellow_anding_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_yellow_anding_ruler	true	3k_ytr_faction_trait_gong_du	40
3k_main_political_party_yellow_taishan_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_yellow_taishan_ruler	true	3k_ytr_faction_trait_huang_shao	40
3k_main_political_party_yellow_turban_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_yellow_turban_ruler	true	3k_ytr_faction_trait_he_yi	40
3k_main_political_party_yuan_shao_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_yuan_shao_ruler	true	3k_main_dummy_effect_bundle	40
3k_main_political_party_yuan_shu_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_yuan_shu_ruler	true	3k_dlc05_yuan_shu_faction_bundle	60
3k_main_political_party_zhang_yan_council	false	3k_main_dummy_effect_bundle	40
3k_main_political_party_zhang_yan_ruler	true	3k_dlc05_zhang_yan_faction_bundle	60
3k_main_political_party_zheng_jiang_council	false	3k_main_dummy_effect_bundle	60
3k_main_political_party_zheng_jiang_ruler	true	3k_dlc05_zheng_jiang_faction_bundle	40
ep_political_party_prince_of_changsha_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_changsha_ruler	true	3k_main_dummy_effect_bundle	60
ep_political_party_prince_of_chengdu_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_chengdu_ruler	true	ep_prince_of_chengdu_faction_trait	60
ep_political_party_prince_of_chu_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_chu_ruler	true	ep_main_effect_bundle_ep_bonus_income	60
ep_political_party_prince_of_donghai_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_donghai_ruler	true	3k_main_dummy_effect_bundle	60
ep_political_party_prince_of_hejian_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_hejian_ruler	true	ep_prince_of_hejian_faction_trait	60
ep_political_party_prince_of_qi_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_qi_ruler	true	ep_main_effect_bundle_ep_bonus_income	60
ep_political_party_prince_of_runan_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_runan_ruler	true	3k_main_dummy_effect_bundle	60
ep_political_party_prince_of_zhao_council	false	3k_main_dummy_effect_bundle	40
ep_political_party_prince_of_zhao_ruler	true	ep_main_effect_bundle_ep_bonus_income	60
